"","GS","IBM","AMGN","HON","AXP","CAT","MMM","WBA","DOW","TRV"
"T+1",0.0010050972119693,0.0017621736294368,-0.00170605724120068,0.00228003862978174,0.00212391704446289,0.00102150274801601,0.000733470282312883,-0.00154831787838749,0.00344484390257875,0.00036044620069564
"T+2",0.00367625338611492,0.00184572601419334,0.000319959251746814,0.00172813437501011,0.00189952274807278,0.00214750890174522,0.000353672051296488,-0.00258593716841978,0.00140052973511624,0.00150950828329655
"T+3",0.000846343588048175,0.00131420702047365,-0.000546403753167056,0.00102978226002177,0.001523288610113,0.00136266697788045,0.000330126191707453,-0.00247594045179942,0.00254899724206537,-5.12975342673238e-05
"T+4",0.00196111835836551,0.00139034503669168,-9.75762518818438e-05,0.00111672363502009,0.00172981428192666,0.0020654319288586,0.00034830503862318,-0.00231017542693282,0.00188007987404665,0.000552103383563333
"T+5",0.00127431268236287,0.0013538137989104,-0.000333825709362937,0.000999793853138208,0.0015916496925417,0.0014301475833578,0.000368148632419464,-0.00217255364043731,0.00226725937020929,0.000163489375637421
"T+6",0.00160985616145731,0.00136251873317365,-0.000209324438826357,0.0010391601991263,0.00168183814665127,0.00200461165463952,0.000385116375787654,-0.00206328687066061,0.00204291453240749,0.000357870015515731
"T+7",0.00142611619761774,0.00135953751672403,-0.000274941121283864,0.00101378110743722,0.00162280017437478,0.00148513972040446,0.000399165242127506,-0.00197693583399928,0.00217288370675941,0.000248567146853124
"T+8",0.0015210815973875,0.00136037078717118,-0.000240358532190157,0.00102516058212466,0.00166143416817409,0.00195488394977724,0.000410739839835079,-0.00190872858999391,0.00209758660796528,0.000306670898465933
"T+9",0.00147056188748022,0.00136011084814498,-0.000258584934054014,0.00101898925440058,0.00163615142011171,0.00153010711591359,0.000420268505207241,-0.00185485571001891,0.00214120943395188,0.000274952836338659
"T+10",0.00149704997312354,0.00136018716583465,-0.000248978893994336,0.00102200630186473,0.00165269681113503,0.00191422116643594,0.000428111914039371,-0.00181230494371728,0.0021159368441007,0.000292049823289965
"T+11",0.00148306049804807,0.00136016400485711,-0.00025404165989555,0.00102044720427678,0.00164186926567879,0.00156687735658533,0.000434567998490464,-0.00177869681668739,0.00213057834617889,0.000282778608495166
"T+12",0.00149042197067705,0.0013601709070758,-0.000251373380519664,0.00102122908642928,0.00164895496909317,0.00188097084542678,0.000439882129075738,-0.00175215190984761,0.00212209589186214,0.00028779182200687
"T+13",0.00148654114116457,0.00136016882954982,-0.000252779670078928,0.00102083060400299,0.00164431798156686,0.00159694471070158,0.000444256292771519,-0.0017311857883652,0.00212701014386441,0.000285077362626592
"T+14",0.00148858515839222,0.0013601694514647,-0.000252038499442011,0.00102103193126486,0.00164735249374506,0.00185378176104763,0.000447856751260472,-0.00171462599207996,0.00212416310551218,0.000286546192129944
"T+15",0.00148750808517427,0.00136016926473383,-0.000252429125902549,0.0010209297367054,0.00164536666477566,0.00162153105463189,0.000450820358037921,-0.0017015464698032,0.00212581251774709,0.000285751146639361
"T+16",0.00148807550586809,0.00136016932070805,-0.000252223250191785,0.00102098148049782,0.00164666622017833,0.00183154900398122,0.00045325975989232,-0.00169121579302191,0.00212485694202799,0.000286181425107656
"T+17",0.00148777654408742,0.00136016930391418,-0.000252331754895292,0.00102095524566715,0.00164581577219381,0.00164163552759358,0.000455267678571256,-0.00168305625320838,0.00212541054829791,0.000285948542449602
"T+18",0.00148793405142731,0.00136016930895034,-0.000252274568592744,0.00102096853737273,0.0016463723177423,0.00181336908001318,0.00045692043513277,-0.00167661155540415,0.00212508982028445,0.000286074583055969
"T+19",0.00148785106660688,0.00136016930743968,-0.000252304708053002,0.00102096180056431,0.00164600810622886,0.00165807513464588,0.000458280850910691,-0.00167152130145146,0.0021252756318697,0.000286006366378515
"T+20",0.001487894787611,0.00136016930789275,-0.00025228882335642,0.00102096521434451,0.00164624645154827,0.00179850319385715,0.000459400635355606,-0.00166750083593238,0.00212516798319617,0.000286043286867025
"T+21",0.00148787175279194,0.00136016930775686,-0.000252297195224507,0.00102096348426313,0.00164609047489957,0.00167151794812074,0.000460322351512845,-0.00166432532776709,0.00212523034872035,0.000286023304550414
