"","CVX","NKE","CAT","MCD","KO","DD","RTX","MMM","AXP","TRV"
"T+1",0.00156104676305583,0.00347150089479402,9.37236710651149e-05,0.00462832155286326,-0.000198791053112315,0.00589060363833757,0.00236383050949712,-0.000764687436323342,0.00367976149141801,-0.000137913582541256
"T+2",0.00184528541334423,0.000103759724456896,0.00779916872996495,0.00196194411477278,0.000152456511986914,0.0042021895860983,0.000201656721307258,0.000626750322529914,0.00400391230363121,6.3717125084232e-05
"T+3",-0.000452801215933135,0.000759445595927966,0.00339972282316783,0.000263075643903999,0.000745508085816484,-0.00164023720670566,0.00138646987990853,0.00102739908073149,0.000102076806839006,0.000218197345742153
"T+4",0.000447644859712449,0.000612696997083346,0.00166899893235785,0.000977259512022659,0.000253727223794873,0.000722601137110728,0.00101066636689192,0.000784134858042329,0.000725090440939586,0.000259520678240501
"T+5",0.000383175772719843,0.000655325200391613,0.00198172735897555,0.00105839530927449,0.000750339000168304,0.000974573676639377,0.00109778117450898,0.00102566620344896,0.00122541844259924,0.000271145538846868
"T+6",0.000290751966409811,0.000638579521378704,0.00226293532263116,0.000944917652313457,0.000259604093334144,0.000448876696757367,0.00108409081379058,0.000797496670913681,0.00104199494047558,0.000274403664541893
"T+7",0.000336974350149563,0.000646656584390751,0.00226588844365354,0.000957560682615802,0.000745601273035583,0.000586738073478131,0.00108443840879145,0.00101392684930866,0.000995710107497423,0.000275317071322179
"T+8",0.000330296745776429,0.000642379950083571,0.00222875735086344,0.00097027710647343,0.000264404782115465,0.00063564185269125,0.00108516760361814,0.000808702469559907,0.00103227519120677,0.000275573137502206
"T+9",0.00032692706414968,0.000644723117910644,0.00222245110970463,0.000965920671857506,0.000740859028373455,0.000592966542152452,0.00108482840693113,0.0010033068313921,0.00103317426904684,0.000275644923678579
"T+10",0.000329182876113942,0.000643424447978172,0.00222641205917471,0.000965107442482415,0.000269101409451433,0.000598893136803428,0.00108492890972161,0.000818773363759084,0.00102732258001432,0.0002756650483768
"T+11",0.000328706540538083,0.000644146923190143,0.00222788588112041,0.000965865887895414,0.000736208811235878,0.000604710733833481,0.00108490704838914,0.000993757147405654,0.00102819259837802,0.000275670690180026
"T+12",0.000328603490291406,0.000643744509283337,0.00222759088600862,0.000965818031155342,0.000273705799891609,0.000601572289518099,0.00108491008562416,0.000827828850417496,0.00102895405857997,0.000275672271815849
"T+13",0.000328708359770451,0.000643968738517829,0.00222734685243657,0.000965725412593208,0.000731649808550493,0.000601597108232538,0.00108491017148171,0.000985170286330166,0.00102868707887371,0.000275672715215197
"T+14",0.000328679147544525,0.000643843779993907,0.00222734744639892,0.000965751160512724,0.000278219863516588,0.00060216920031668,0.00108490993889405,0.000835971337739196,0.00102861453511679,0.000275672839518769
"T+15",0.000328677241601443,0.000643913419714461,0.00222738017148728,0.00096575832844902,0.000727180241142345,0.000601963833605395,0.00108491003443717,0.000977449176248483,0.00102866865013935,0.000275672874366313
"T+16",0.000328681871502508,0.000643874608809444,0.00222738530198858,0.000965753354330877,0.000282645373331093,0.000601930034688956,0.0010849100078764,0.00084329287703677,0.00102867061073646,0.000275672884135551
"T+17",0.000328680233207591,0.000643896238600543,0.00222738174299944,0.000965753420073638,0.000722798354636599,0.000601979901572003,0.00108491001327451,0.000970506529774351,0.00102866184169888,0.000275672886874282
"T+18",0.000328680291336884,0.000643884184037851,0.00222738049038269,0.00096575407913159,0.000286984066533604,0.000601968655806032,0.00108491001263668,0.000849876238554862,0.00102866304991913,0.000275672887642064
"T+19",0.000328680483643379,0.000643890902204632,0.00222738076684683,0.000965753933079634,0.000718502428970616,0.000601963374077739,0.00108491001256675,0.000964263860060521,0.00102866420749618,0.000275672887857305
"T+20",0.000328680397491484,0.00064388715808116,0.00222738097835215,0.000965753874339013,0.000291237646232896,0.000601967308829359,0.00108491001263815,0.000855795847412568,0.00102866381945231,0.000275672887917647
"T+21",0.000328680407294806,0.000643889244730934,0.00222738097505744,0.000965753906317115,0.000714290777823695,0.000601966905381192,0.00108491001261162,0.00095865059351999,0.00102866370609471,0.000275672887934563
