"","CVX","MRK","MCD","NKE","DD","KO","MMM","RTX","AXP","TRV"
"T+1",-0.00397295954943382,0.000770708753663548,0.00282859710143023,0.00112729701896477,-0.00203941509693995,-0.00139191743231339,-0.00374832896724091,-0.00132710833788018,-0.00562646686758175,-0.00348602253885648
"T+2",0.00363029788128156,7.05863004549274e-05,0.000312030433339104,0.00156266364858124,0.00519036998614316,0.000266469051737293,0.0031040757962626,0.00359126076794785,0.00574155805592369,0.00421967974760953
"T+3",0.00198230322513972,0.000845622624561503,0.00126563708854893,0.00139292574499528,-0.00246397965733026,0.000457053746548099,-0.00204045904648119,-0.00159473577342901,3.51380867759806e-05,-0.0029669250210687
"T+4",0.000935882937416427,8.71403129320827e-05,0.000590081648145213,0.0013195356452661,0.00305070733968963,0.000283034906128133,0.00201442418525898,0.00283455420696239,0.00135871294746001,0.00217035005434612
"T+5",0.00137500156415467,0.000831851341068824,0.0011611264924012,0.00130340292462811,-0.000532565750241708,0.000214925985397828,-0.0011764259081559,-0.000880711338815589,0.0014440893477061,-0.00134133686471277
"T+6",0.00148690484685327,0.000100728653641834,0.000663868524435086,0.00130142873380613,0.00170946912416711,0.000221372264303477,0.0013346358266566,0.00223018266880066,0.00123336346028725,0.00103763562910083
"T+7",0.00139514716734854,0.000818512786585468,0.00109879414266422,0.00130149879499369,0.000327804576270893,0.000232024104224497,-0.000641458315581195,-0.000374207651578702,0.00132498676977236,-0.000570973631040038
"T+8",0.00138995648230549,0.000113823911265237,0.000718141468453135,0.00130160728370378,0.00117386940790663,0.000233781428219267,0.000913640160913713,0.00180610926611971,0.00130733966250566,0.000516307209095524
"T+9",0.00140637829677002,0.000805656440313518,0.00105132509491061,0.00130163901267117,0.000657175010495736,0.000232794634207184,-0.000310153389950554,-1.91831949723961e-05,0.00130421496741223,-0.000218540421848216
"T+10",0.00140477892811442,0.000126445706350008,0.000759686924146218,0.00130164445763652,0.000972358710402621,0.000232318324644976,0.000652917873936201,0.00150889375670773,0.00130799110217094,0.000278103815181294
"T+11",0.00140222235779776,0.000793264917303573,0.0010149605494707,0.00130164482070239,0.00078019138066647,0.00023233275652442,-0.000104976510020639,0.000229636222388654,0.00130655309328278,-5.75502711137255e-05
"T+12",0.00140288161192876,0.000138611158370777,0.000791517086888038,0.0013016446998345,0.000897330921928803,0.000232399722361012,0.000491452766578457,0.00130059003447554,0.001306770133162,0.000169299397606651
"T+13",0.00140321756688533,0.000781321411832092,0.000987099309752973,0.00130164464526289,0.000825932587370152,0.000232414244835527,2.20893704185268e-05,0.000404021488519109,0.00130684833466641,1.59845232672622e-05
"T+14",0.00140305440573179,0.000150336766486594,0.00081590429829989,0.00130164463303391,0.000869449265645419,0.000232408894283994,0.000391457552528851,0.00115460022358147,0.00130678254025807,0.000119601381283576
"T+15",0.00140302183410804,0.00076980972575182,0.00096575294785167,0.00130164463149125,0.00084292666306884,0.000232405646695476,0.000100781170280676,0.000526239525375175,0.00130680455899586,4.95726039918627e-05
"T+16",0.00140305456556922,0.000161638433325687,0.000834588975345552,0.00130164463152955,0.000859091578039019,0.000232405561659049,0.000329530595079942,0.00105228316158003,0.00130680225499552,9.6901096051176e-05
"T+17",0.00140305516530134,0.000758714246562133,0.000949398069290486,0.00130164463160905,0.000849239465251699,0.000232405973202987,0.000149514940071137,0.000611896122763716,0.00130680056159656,6.49144436126441e-05
"T+18",0.00140304949672733,0.000172531486554166,0.000848904558758253,0.00130164463163287,0.000855244074517023,0.000232406085584485,0.00029117927901619,0.000980574176463957,0.00130680168008497,8.65324138804443e-05
"T+19",0.00140305025194144,0.000748019926234918,0.000936867500648029,0.00130164463163705,0.000851584421732402,0.000232406058382643,0.000179695725389939,0.000671928609497372,0.00130680135229852,7.19220497796273e-05
"T+20",0.00140305110370695,0.000183030699663865,0.000859872686705066,0.00130164463163735,0.000853814884141337,0.000232406036739053,0.000267428339128092,0.00093031688363527,0.00130680136882676,8.17963689924626e-05
"T+21",0.00140305084617261,0.000737712260805975,0.000927266992156333,0.00130164463163726,0.000852455475932093,0.000232406035046258,0.000198386662011014,0.000714002420193812,0.00130680140268289,7.51228748040831e-05
