"","MCD","MRK","DD","NKE","RTX","MMM","KO","WBA","AXP","TRV"
"T+1",0.00151335653728941,-0.000616275278291795,0.000146831047434117,0.00127853853546297,0.000667740199075529,0.00339521308723813,0.001155250486236,-0.000293867783736742,0.00555841011945319,-0.00134134954613279
"T+2",0.00134557123822874,0.000822855945509897,0.000402911929188981,-0.000700861835898836,0.000321073035906206,-0.000682878686268454,-0.000569405887089983,0.00216415033225553,-0.00299583592405214,0.00177459478983965
"T+3",0.00121141718955768,0.0011836510515754,0.00141974600355055,0.001571127229978,0.00140780441713364,0.00187291170638896,0.000521447352134231,-0.00174977429183223,0.00344455035069501,-0.00118631863910861
"T+4",0.00110067290122577,0.000818517089097607,0.000675624898011619,0.00103713506098341,0.00117654214975796,-0.000238524839018879,0.00078863898736277,-0.000642702523685769,-0.00162511505051007,0.00112039700171035
"T+5",0.00100925557369019,0.00104179092633069,0.00108130259998178,0.000909093485162928,0.00117198797601495,0.00148822818292139,0.000629268095547385,-0.000519981254326775,0.00237707123633593,-0.000646025468023941
"T+6",0.00093379228753403,0.000916892834732942,0.00088202020869299,0.00102977814382194,0.00118530968343283,7.56127407895155e-05,0.000587970416882615,-0.000715046634440896,-0.000782980287123669,0.000704395974293879
"T+7",0.000871498762762198,0.000985229370706184,0.000975285360214006,0.00100462671688103,0.00118249091824728,0.00123122755480444,0.000611231347663483,-0.000659900809732004,0.00171216588350362,-0.000327825288528761
"T+8",0.000820076628554195,0.000948060057878259,0.000932723482829977,0.000996677201164263,0.00118243137700869,0.000285856286053331,0.000617600600364754,-0.00065377373815685,-0.000257978858346727,0.000461160664519258
"T+9",0.000777628622983935,0.000968244635821634,0.000951878979891068,0.00100304706275228,0.00118259467643097,0.00105923407172663,0.000614208995312417,-0.000663495564316443,0.00129762959672376,-0.000141905625056169
"T+10",0.000742588591980857,0.000957288311947,0.0009433254758641,0.00100188672887518,0.00118256032081861,0.000426558614627589,0.0006132286496272,-0.00066074862321954,6.93352379477174e-05,0.000319051748801421
"T+11",0.000713663704787643,0.00096323476745706,0.000947127534629038,0.00100140741131187,0.0011825595456445,0.000944130028529022,0.00061372264942309,-0.000660442719730437,0.00103918534846508,-3.32838085500465e-05
"T+12",0.000689786753906332,0.000960007482502343,0.000945441985338049,0.00100174150033679,0.00118256154733321,0.000520721525034487,0.000613873260747856,-0.000660927243866122,0.000273400477631304,0.00023602600582229
"T+13",0.000670076779600112,0.000961758992337504,0.000946188070568202,0.00100168939635803,0.00118256112861576,0.000867098384374754,0.000613801386526998,-0.000660790412422708,0.000878057281851793,3.01774203098949e-05
"T+14",0.00065380656615942,0.000960808416459755,0.000945858128357063,0.00100166112929469,0.00118256111856106,0.000583738632040503,0.000613778288418702,-0.000660775139777063,0.000400625740938636,0.000187519031701201
"T+15",0.000640375810680346,0.000961324310735484,0.000946003960394652,0.00100167854078493,0.0011825611430966,0.000815546118821979,0.000613788733796688,-0.000660799287872965,0.000777601365239381,6.72540193691798e-05
"T+16",0.000629288974395363,0.000961044325874149,0.000945939524231661,0.00100167628656072,0.00118256113799356,0.000625911880066156,0.000613792270368219,-0.000660792471986931,0.000479944823643638,0.000159179308956105
"T+17",0.000620136999363019,0.000961196278555869,0.000945967990116806,0.0010016746485864,0.00118256113786357,0.000781045542950827,0.000613790754164691,-0.000660791709482284,0.000714971735314869,8.89156578593847e-05
"T+18",0.000612582215938814,0.000961113811178675,0.000945955416175293,0.00100167555016342,0.00118256113816431,0.000654135689973258,0.000613790213513098,-0.000660792912993884,0.000529396612679948,0.000142622104557855
"T+19",0.000606345884176006,0.000961158567666017,0.000945960969967746,0.00100167545789681,0.00118256113810212,0.000757956553113464,0.000613790433323673,-0.000660792573479184,0.000675925050194116,0.000101571257185788
"T+20",0.000601197909486063,0.000961134277537904,0.000945958517004787,0.00100167536434273,0.00118256113810044,0.000673024048896613,0.000613790515855012,-0.000660792535410392,0.000560227521907514,0.000132948720666587
"T+21",0.000596948353109613,0.000961147460215067,0.000945959600388654,0.00100167541071692,0.00118256113810413,0.000742504595044682,0.000613790484029879,-0.000660792595391928,0.000651581243265082,0.000108965166671577
