"","MRK","AA","T","BA","VZ","RTX","MMM","DD","MDLZ"
"T+1",-0.00222078269711012,-0.00554750813061854,-0.00924088139243385,-0.00366645547802569,-0.00353819512739614,-0.00433843680679247,-0.00421541700269127,-0.00699054141340561,-0.00414960134429765
"T+2",-0.00467414792345253,-0.00795098830415519,-0.00314028648505176,-0.00126835226906203,-0.00157678902576055,0.00121622584319679,-0.001928365798286,-0.00533396820006972,0.0012541242915835
"T+3",0.00085184711603823,-0.006728000955909,0.000389883662045095,-0.00173307571871796,-0.000744956188542891,0.000190326890571697,0.000244802913833998,-0.00325167652823472,0.00065841164371211
"T+4",-0.000644285601714287,-0.00563932057858286,-0.00153263922591442,-0.00159653663222506,-0.00110650566212503,-0.000336075866446679,-0.000584590027253764,-0.0035658094766807,-3.43789742838189e-06
"T+5",-0.000952916139936833,-0.00513223117678401,-0.00227387576594429,-0.00165474953004515,-0.00131208042514921,9.73299529726229e-05,-0.000837221248746136,-0.00361694535651494,0.000553612254248652
"T+6",-0.000629611052648281,-0.00496735598607247,-0.00170277610543275,-0.0016252835439473,-0.00124925598060287,-1.06594919907165e-05,-0.000635506154906087,-0.00359767884793397,0.00031256796015915
"T+7",-0.000692908619579173,-0.00493478755178172,-0.0015628123255344,-0.00164102090705606,-0.00120039133603035,-3.8610011491143e-05,-0.000625618153073726,-0.00359777757793267,0.000363867699464347
"T+8",-0.000719106578996456,-0.00493724548823807,-0.00172495054443906,-0.00163249322567423,-0.00121034679143663,-5.88397852402565e-06,-0.000665139278794912,-0.00359857993119151,0.000376937872889507
"T+9",-0.000701014198224942,-0.00494324488459335,-0.0017462952804854,-0.00163713147820562,-0.00122159776187636,-1.61794289954025e-05,-0.000659675403327573,-0.00359848168397215,0.000358194859869196
"T+10",-0.000703245935144454,-0.00494662762406181,-0.00170198530693149,-0.00163460629623604,-0.00122027670099104,-1.72843777969413e-05,-0.00065330144753252,-0.00359845930743498,0.000368106731983577
"T+11",-0.000705152192257669,-0.00494790104407594,-0.0017005637098338,-0.00163598140360789,-0.00121775721569776,-1.48968494585373e-05,-0.000655501608353132,-0.00359846608162834,0.00036518196534582
"T+12",-0.000704184229171128,-0.0049482259334533,-0.0017122599327643,-0.00163523253190387,-0.00121785744412985,-1.58175090069842e-05,-0.000656285589067818,-0.00359846623266614,0.000365187002639906
"T+13",-0.000704229549680282,-0.00494825243428297,-0.0017115358532901,-0.00163564036744533,-0.00121840733972289,-1.58184958472278e-05,-0.000655729435707829,-0.00359846592877555,0.000365756418992886
"T+14",-0.000704356421446966,-0.00494822422652017,-0.00170855140020099,-0.00163541825931355,-0.00121842597160859,-1.56509319583236e-05,-0.000655685833524224,-0.00359846595802615,0.000365376547350624
"T+15",-0.000704307149887181,-0.00494820309230908,-0.00170901977543036,-0.00163553922001328,-0.00121830891543925,-1.57294426272844e-05,-0.000655797821032718,-0.00359846596743461,0.000365517799997208
"T+16",-0.000704305076497265,-0.00494819386204072,-0.00170975474633407,-0.00163547334446629,-0.00121829634236309,-1.57229861659627e-05,-0.00065578525040187,-0.00359846596509575,0.000365498203297927
"T+17",-0.000704313005990069,-0.00494819104195095,-0.00170956370750787,-0.00163550922048211,-0.0012183206306329,-1.57117684383569e-05,-0.000655766650385173,-0.00359846596497251,0.000365483580746936
"T+18",-0.000704310646698231,-0.00494819056139763,-0.00170938979559831,-0.0016354896822985,-0.0012183251145058,-1.57182082553311e-05,-0.000655772440345193,-0.00359846596508577,0.000365497148173388
"T+19",-0.000704310275188316,-0.00494819065088613,-0.00170945593157835,-0.00163550032285074,-0.00121832021200305,-1.57172200756092e-05,-0.000655774844724874,-0.0035984659650777,0.000365490984103913
"T+20",-0.000704310746326417,-0.00494819077241304,-0.0017094951236277,-0.0016354945279747,-0.00121831888787328,-1.57165153032699e-05,-0.000655773318015265,-0.00359846596507386,0.000365492428666826
"T+21",-0.000704310642599628,-0.00494819083548062,-0.00170947419543254,-0.00163549768388123,-0.00121831984677789,-1.57170256272678e-05,-0.000655773151186188,-0.00359846596507465,0.00036549267459908
