"","KO","GS","AXP","UNH","DD","CAT","RTX","NKE","MMM","TRV"
"T+1",-0.000236185924113786,0.00125206139443186,-0.000286083741831698,0.000700300905286569,0.00120809857444834,-0.0029614239892779,-0.000495164877681272,0.00215609074990416,0.000380723856721674,0.0018192438126611
"T+2",0.000150624077151764,0.000272791676200829,0.00117462291023476,0.00336794157202462,0.000120245517245898,0.00195330249931038,-0.000335210065718227,0.00190840265067263,0.000154221422217002,0.00121160842352489
"T+3",0.000497228849729645,0.000399606874849661,0.00100437868180129,0.00315833947534835,0.000181918697093068,-0.00325875020216367,-0.000221819508674294,0.00153464962860312,0.000215425405328063,0.0004494902614879
"T+4",0.000586296375897542,0.000353675176839742,0.000665675036366428,0.00256261297073041,0.000305850984579649,0.00096768614102292,-0.000183737588357585,0.0014209875725571,0.000201149059433795,0.00111907286808338
"T+5",0.000615504899304069,0.000378480884346054,0.000366395833282159,0.00206201204971411,0.000401771910261158,-0.0025808770389911,-0.000170329917830988,0.00141604140502051,0.000204512759481239,0.000645602035970574
"T+6",0.000624454539646295,0.000364275745990065,0.000124876666603083,0.00170556958938611,0.00047082176824182,0.00038373016940452,-0.000165628475241745,0.00142549306936407,0.0002037208052623,0.000968822647833013
"T+7",0.000627245790058525,0.00037246408703095,-6.68709834220183e-05,0.00146346987628558,0.000520071274074081,-0.00209476217652427,-0.000163979338835212,0.00142948001325013,0.000203907273935839,0.000749622597591597
"T+8",0.000628112244811284,0.000367740678593698,-0.000218627245625627,0.00130154759721662,0.000555155029859852,-2.28816813002593e-05,-0.000163400883817015,0.00143001662753998,0.000203863369336282,0.00089809030604636
"T+9",0.000628381543535122,0.000370465564960707,-0.00033865972903298,0.00119381662078385,0.000580143433703137,-0.00175488193716739,-0.000163197983066801,0.00142981940121229,0.000203873706806707,0.000797555334967257
"T+10",0.000628465215373271,0.000368893592692037,-0.00043358886215627,0.00112227016144781,0.000597941028568516,-0.000307009389039628,-0.00016312681295885,0.00142969319018925,0.000203871272818157,0.000865629416747
"T+11",0.000628491214711603,0.000369800455834434,-0.00050866297756606,0.00107478445069628,0.000610617045858286,-0.0015173645847385,-0.000163101849106588,0.00142966608173674,0.000203871845908094,0.000819535622122997
"T+12",0.000628499293295237,0.00036927729085608,-0.000568034608980918,0.00104327484369241,0.000619645307893091,-0.000505563067414415,-0.00016309309270679,0.001429668581417,0.000203871710972341,0.000850746240023811
"T+13",0.000628501803509646,0.000369579102215047,-0.000614988043154705,0.00102236792186816,0.000626075522456999,-0.00135138280686059,-0.000163090021284294,0.00142967219657664,0.000203871742743371,0.000829613192816375
"T+14",0.000628502583493667,0.000369404988693936,-0.000652120669512672,0.00100849634752121,0.000630655325178731,-0.00064431623420447,-0.000163088943942422,0.00142967328567131,0.000203871735262786,0.000843922606884354
"T+15",0.000628502825853576,0.000369505433946696,-0.000681486613001745,0.000999292753963292,0.000633917205904669,-0.00123539151290609,-0.000163088566050579,0.00142967332969939,0.000203871737024112,0.000834233548493795
"T+16",0.000628502901160655,0.000369447487563568,-0.000704710357617295,0.000993186319157217,0.000636240420793025,-0.000741279644805528,-0.00016308843350004,0.00142967323788998,0.000203871736609403,0.000840794114273697
"T+17",0.000628502924560385,0.000369480916553245,-0.00072307660944543,0.000989134803356943,0.000637895088106414,-0.00115433454152644,-0.000163088387006194,0.0014296731995612,0.000203871736707047,0.000836351884534024
"T+18",0.000628502931831247,0.000369461631529909,-0.000737601364678322,0.000986446692458109,0.000639073594637047,-0.000809039561341213,-0.000163088370697865,0.00142967319449622,0.000203871736684057,0.000839359766128425
"T+19",0.000628502934090479,0.000369472756967102,-0.000749088113119949,0.000984663177449752,0.000639912964358989,-0.0010976903539783,-0.000163088364977504,0.00142967319642697,0.00020387173668947,0.000837323097109492
"T+20",0.000628502934792477,0.000369466338755904,-0.000758172286150364,0.000983479846197218,0.000640510790091642,-0.000856391508436661,-0.000163088362971012,0.00142967319764383,0.000203871736688195,0.000838702147634748
"T+21",0.000628502935010605,0.00036947004139107,-0.0007653564079291,0.000982694726462321,0.000640936580535685,-0.0010581062944166,-0.000163088362267209,0.0014296731979023,0.000203871736688495,0.000837768377673341
