"","AA","MRK","T","VZ","BA","RTX","MMM","DD","MDLZ","TRV"
"T+1",-0.00378652748807347,-0.00486276171881964,-0.00315432929679286,-0.000212197982074957,-0.000486842715024367,0.000420489604949898,-0.00226088452453575,-0.00412304484667146,0.00074885982370629,-0.000651511658921011
"T+2",-0.00305172072657264,0.000259746937900475,0.00306030183465373,0.00383836588360707,-0.000689675308387101,0.00201532762047299,4.39018230684774e-05,-0.00342079948841932,0.00334663188136203,-0.000271350457402575
"T+3",-0.0035064153418869,-0.000264225428986505,3.84574263388152e-05,-0.000112699413656541,-0.000659769514833061,0.00024641901440244,0.000797073525156308,-0.00331111716425986,-0.000513175561090935,-0.000193166142263231
"T+4",-0.00387168476155394,-0.00078695247243383,-0.00150716761941633,-0.00127703496949498,-0.000653433629662535,0.000414660530038918,0.000336124620495827,-0.00334321050294462,0.00173902635165403,-0.000168371641711306
"T+5",-0.00402850068129392,-0.000539303386432649,-0.000748004872522078,-0.000527964316716757,-0.000648892692582292,0.000623623244627644,0.000216225713330531,-0.00334148046341758,0.000885668705275204,-0.000161064249701096
"T+6",-0.00407359129584329,-0.000551386681648578,-0.000363615608271004,-0.00022306827691738,-0.000646300828787569,0.000554138072728985,0.000307078037854375,-0.00334093735384389,0.0010537545813678,-0.000158887652438508
"T+7",-0.00407978625532379,-0.000581121803484322,-0.000554326373872264,-0.000358598334727519,-0.000644780873157277,0.000540393607471551,0.000325405530189619,-0.00334105379933219,0.00110119720155086,-0.000158240348198401
"T+8",-0.00407755912772636,-0.000569453687043645,-0.000649917251443508,-0.000433768178275122,-0.000643892640613021,0.000553090384097383,0.000307729229300592,-0.00334105105017262,0.00103419345753592,-0.000158047799610951
"T+9",-0.00407543064810534,-0.000569325905763677,-0.000602010878579193,-0.000410787962522166,-0.000643373341240971,0.000552202331139803,0.000305092406616672,-0.00334104859632959,0.0010728288249845,-0.000157990525655586
"T+10",-0.00407446163002997,-0.000570961762434346,-0.000578240312587484,-0.000393059316639503,-0.000643069753784273,0.000550631982282024,0.00030849114374988,-0.00334104899927407,0.00105834536106336,-0.000157973489317651
"T+11",-0.00407416618203622,-0.000570428037493453,-0.00059027374032146,-0.000396571857844489,-0.000642892272291763,0.000551101819229062,0.000308833321685794,-0.0033410490037248,0.00106111751625185,-0.000157968421803323
"T+12",-0.00407411794410757,-0.000570384555901739,-0.000596184458407673,-0.000400606163728493,-0.000642788514216521,0.000551216651343508,0.000308186988308097,-0.00334104899332086,0.00106198046022949,-0.000157966914454475
"T+13",-0.00407412800973911,-0.000570472064409669,-0.000593161977125479,-0.000400171320051318,-0.000642727855838329,0.000551125970987382,0.000308151506723981,-0.00334104899463779,0.00106081778083937,-0.000157966466088597
"T+14",-0.00407414027551775,-0.000570448515849185,-0.000591692312000689,-0.00039928136112338,-0.000642692394128206,0.000551129994691112,0.000308273132979597,-0.00334104899471028,0.00106148039508486,-0.00015796633272069
"T+15",-0.00407414622162779,-0.000570444504349446,-0.000592451442259111,-0.000399305103904104,-0.000642671662731738,0.000551141721470707,0.000308274438768683,-0.00334104899466834,0.00106123465777351,-0.000157966293049967
"T+16",-0.00407414813850197,-0.000570449070533164,-0.000592816846610726,-0.000399495865180688,-0.000642659542876325,0.000551138575682417,0.000308251784735064,-0.00334104899467233,0.00106128029692507,-0.00015796628124978
"T+17",-0.00407414849603878,-0.000570448079657514,-0.000592626191868609,-0.000399505522931333,-0.000642652457444552,0.000551137638156542,0.000308252526776649,-0.0033410489946728,0.00106129593706043,-0.000157966277739775
"T+18",-0.00407414845711942,-0.000570447790187308,-0.000592535345831761,-0.000399465769811887,-0.000642648315205086,0.000551138282501877,0.000308256703479629,-0.00334104899467264,0.00106127576953386,-0.000157966276695713
"T+19",-0.0040741483873346,-0.000570448022981823,-0.000592583226230058,-0.000399460656559501,-0.000642645893595741,0.000551138270821199,0.000308256384075088,-0.00334104899467265,0.00106128713100751,-0.000157966276385153
"T+20",-0.00407414835110614,-0.000570447984061802,-0.000592605810962836,-0.000399468701884926,-0.000642644477890091,0.000551138183765278,0.000308255621956682,-0.00334104899467265,0.00106128296304107,-0.000157966276292776
"T+21",-0.00407414833878012,-0.000570447965396546,-0.000592593787019182,-0.000399470407284719,-0.000642643650249376,0.000551138204588291,0.00030825571442488,-0.00334104899467265,0.00106128371298258,-0.000157966276265298
