"","HD","DIS","VZ","T","BA","RTX","DD","MMM","MDLZ","TRV"
"T+1",0.00145071330983598,-0.00095985549408114,0.00308190623131702,0.00162607867793694,0.00246898070341603,0.00398701820795283,0.00908104975033952,0.00418487449976801,0.00417547126314394,0.00294310034564242
"T+2",0.00272393821042537,0.00448032732846834,-0.00192403669148196,-0.00108075191377919,0.00204668056682405,-0.000105183420918647,-0.00313254727957674,-0.00105910515391991,-0.0019721930301637,-0.000379441356362227
"T+3",0.00274518566351361,0.00101047416051869,0.00136537573470752,0.00131957698307955,0.00362506578949372,0.00221091834750553,0.00315943575291421,0.00245689876631672,0.0019676923155789,0.00118895652990744
"T+4",0.00269208718252882,0.00191858269181785,-0.000957408429708166,-0.000497562475242529,0.00227460279416647,0.00124873474867729,0.00138294864005684,0.000535673873358885,-0.000487048777388222,0.000459683668111603
"T+5",0.00263712228862369,0.00179851754265659,0.000657250878043631,0.000888303226153853,0.0035169349268267,0.00169884247772844,0.00217774522375968,0.00160408475768307,0.00104351446326,0.000799261565390286
"T+6",0.00258462485204869,0.00178856569994553,-0.000468928837041285,-0.000168252674534713,0.00238132411975027,0.00149820223196275,0.00192924508271937,0.00101090582157051,8.92072444769209e-05,0.000641162032481653
"T+7",0.00253473310537167,0.00179896781233642,0.000315986133430797,0.000637259118660805,0.00341994385001664,0.00158937393261721,0.0020316231061647,0.00134028733099022,0.000684218759931619,0.000714770411946293
"T+8",0.00248733299009031,0.00179588006287297,-0.000231161243413418,2.31423992482099e-05,0.00247007523550458,0.00154826334245159,0.00199758538683951,0.00115739033205491,0.000313228483942026,0.000680499677887984
"T+9",0.00244230101384718,0.00179636854838549,0.000150230881506826,0.000491340836404668,0.00333878003590614,0.00156685794811261,0.00201093941885099,0.00125894841917144,0.000544541292780952,0.000696455515445594
"T+10",0.00239951892101807,0.0017963741560425,-0.000115622498641636,0.000134389512473297,0.00254430407940121,0.00155845786580453,0.00200633215590224,0.00120255578361339,0.000400317524678986,0.00068902676445901
"T+11",0.00235887430671762,0.00179634410721792,6.96931076977927e-05,0.000406526789233825,0.00327089389830914,0.00156225446725029,0.00200808779473332,0.00123386918731486,0.000490241188612442,0.000692485457309015
"T+12",0.00232026037848404,0.00179635435687933,-5.94829255555733e-05,0.000199051168786371,0.00260638950478668,0.001560538849982,0.00200746843434303,0.00121648164653684,0.000434173694040395,0.000690875152124316
"T+13",0.00228357567920131,0.00179635247784834,3.05604698125515e-05,0.00035722917950391,0.00321411352955595,0.00156131416871255,0.00200770036774809,0.00122613650798911,0.000469131833089453,0.000691624881256201
"T+14",0.00224872382074001,0.00179635254983721,-3.22051451835433e-05,0.000236635333245746,0.00265831812191779,0.00156096379917514,0.00200761744155706,0.00122077540771324,0.000447335398361968,0.000691275820856634
"T+15",0.00221561323071325,0.00179635263250771,1.15462304414187e-05,0.000328575266548531,0.00316662209306559,0.00156112213454154,0.00200764817246251,0.00122375229104917,0.000460925497256043,0.000691438337100654
"T+16",0.00218415691187342,0.00179635259928447,-1.89510867680253e-05,0.000258480882813355,0.00270175152462651,0.00156105058163016,0.00200763709598714,0.00122209930305422,0.000452452056977397,0.00069136267246037
"T+17",0.00215427221352907,0.00179635260622176,2.30736153335664e-06,0.000311920367210558,0.00312689997450561,0.00156108291698072,0.00200764117509788,0.0012230171654637,0.000457735255482088,0.000691397900556021
"T+18",0.00212588061438231,0.00179635260569056,-1.25110443314295e-05,0.000271178465499454,0.00273807947971386,0.00156106830438117,0.00200763969771567,0.00122250749969159,0.000454441175920294,0.000691381498988281
"T+19",0.00209890751621608,0.00179635260547872,-2.18173199127237e-06,0.000302239815992651,0.00309367615944559,0.00156107490793214,0.00200764023974823,0.00122279050419921,0.000456495037827961,0.000691389135263231
"T+20",0.00207328204788921,0.00179635260558378,-9.38187851136607e-06,0.000278558852317893,0.00276846439635693,0.00156107192373487,0.00200764004286237,0.00122263335895675,0.000455214452870423,0.000691385579950956
"T+21",0.0020489368791242,0.001796352605559,-4.36294712430215e-06,0.000296613058965734,0.00306588756389332,0.00156107327231745,0.00200764011493464,0.00122272061773378,0.00045601289887468,0.000691387235240407
