"","KO","IBM","MRK","RTX","UNH","DD","CAT","AXP","MMM","TRV"
"T+1",0.000479662805622743,0.000589237443612939,-0.0037475228229615,0.00245092972659664,7.41307102258468e-05,0.00315879207136733,0.00322394949097741,-0.000729820560529431,-0.00121387756729283,2.41093296084391e-05
"T+2",-0.000138011939536302,-0.00293222789665298,-0.00169724193733581,0.000798484762138199,-6.28853311968524e-07,-1.97383490139492e-05,0.000245320128157974,-0.00146871508587127,0.00251254900787552,0.000444513096822532
"T+3",0.00134717549717169,-0.00223791288114383,0.000397576164040025,0.000314836088739011,0.000199699540481807,0.00185480828349539,-0.000118178715212891,-0.000879489623432489,0.000614121405995414,0.00119995267654815
"T+4",0.000152657302674165,-0.00122656211592088,0.000722947092526426,0.000102478817727908,0.000377821918002749,0.000204095824021901,-0.000256078615534573,-0.000945130023105976,0.000982661240293174,0.000482092352126707
"T+5",0.00106356733310484,-0.00061449109438221,0.000570195122674906,4.51750149737623e-06,0.00052131136820487,0.00155700151641364,-0.000218967965848804,-0.00095039561669621,0.000817005330654488,0.001094482115812
"T+6",0.000372052900168517,-0.000331470340645238,0.000492124152093879,-4.0882308715606e-05,0.000635967286334285,0.000435718269078929,-0.000256456046504206,-0.000948016444097314,0.00085263789348709,0.000576501110835668
"T+7",0.00089680741518228,-0.000221956002245834,0.000488734559029019,-6.19315605437036e-05,0.000727518907440914,0.00136337808975733,-0.000230509156810852,-0.000948224861200199,0.000838054601808846,0.00101431386270992
"T+8",0.000498612081016432,-0.000186407818246057,0.000496762948811139,-7.1691248362666e-05,0.000800617454589386,0.000595689163351393,-0.000249844920521981,-0.000948254192686219,0.000841446857346703,0.000644284093198855
"T+9",0.000800770598380333,-0.000177478049021602,0.000499297085694342,-7.62164371120789e-05,0.000858981999184886,0.00123096482880674,-0.000235667906148678,-0.000948244840995755,0.000840153609905747,0.000957023565117967
"T+10",0.000571486782901866,-0.000176423344308346,0.000499055758175025,-7.83145923053649e-05,0.000905582356986194,0.000705259621440497,-0.000246098854210651,-0.000948245445967272,0.000840473045716369,0.000692704467081889
"T+11",0.000745471839766996,-0.000176998302220368,0.000498701234673886,-7.92874258345397e-05,0.000942789762135938,0.00114029226114781,-0.000238429911881107,-0.000948245591792249,0.000840357673468687,0.000916099942550575
"T+12",0.0006134485659569,-0.000177560575083192,0.000498634077758049,-7.97384911708777e-05,0.000972497495257946,0.000780293103232143,-0.000244069115485357,-0.000948245555998552,0.000840387516987899,0.000727292025619526
"T+13",0.000713630415700241,-0.000177872926685944,0.000498656696776883,-7.99476327471002e-05,0.00099621721995834,0.00107820038220114,-0.000239922585210496,-0.000948245557481402,0.000840377174789065,0.000886867457537802
"T+14",0.000637610463094928,-0.000178010532378952,0.000498670429027808,-8.00446036189054e-05,0.00101515590294489,0.000831675507575937,-0.00024297156955264,-0.000948245558158221,0.000840379946827329,0.000751998544807624
"T+15",0.00069529589422753,-0.000178061596197994,0.000498671511522304,-8.00895652671272e-05,0.00103027722993307,0.00103568030388336,-0.000240729625151981,-0.000948245558024969,0.000840379016158569,0.000865986164344833
"T+16",0.00065152305761146,-0.000178077337501913,0.00049867022937123,-8.01104122469799e-05,0.00104235064232642,0.000866861814533988,-0.000242378146726189,-0.000948245558027165,0.000840379272535034,0.000769646858683254
"T+17",0.000684738744619375,-0.000178080911884671,0.000498669762732124,-8.01200781864231e-05,0.0010519904898698,0.0010065628552033,-0.000241165974304286,-0.000948245558030159,0.000840379188530746,0.000851070278639185
"T+18",0.000659534029807661,-0.000178081110473243,0.000498669784716373,-8.01245599092424e-05,0.00105968729153881,0.000890957148509905,-0.000242057295368885,-0.000948245558029678,0.000840379212165725,0.000782253368741485
"T+19",0.000678659861785439,-0.00017808072232084,0.000498669843996119,-8.01266379110287e-05,0.00106583269536033,0.000986623432426206,-0.000241401899137269,-0.000948245558029672,0.000840379204565077,0.000840415591483189
"T+20",0.000664146805336486,-0.000178080418647573,0.000498669857327462,-8.01276014002042e-05,0.00107073940723283,0.000907457462681929,-0.00024188381776099,-0.000948245558029685,0.000840379206738651,0.000791258427069902
"T+21",0.00067515959723674,-0.000178080261430048,0.000498669854107287,-8.01280481329247e-05,0.0010746571028146,0.000972969056829716,-0.000241529458750902,-0.000948245558029683,0.000840379206049654,0.000832804755584308
