"","WMT","CAT","MCD","UNH","AXP","DD","RTX","MMM","NKE","TRV"
"T+1",0.00096298815994526,0.00134506153796457,-0.000679762552808569,0.00170081464353737,0.000525941894027106,-0.00224150516225843,0.00266369341271535,0.00101163073777523,0.000829616982906434,3.08147212494058e-05
"T+2",0.00054003991163654,0.00187779274347202,0.000597526700099137,0.00156817590327875,0.000881663449427691,0.00188002051878833,0.00306349193245897,0.00100232877203743,7.21053772683926e-05,0.00139069140381632
"T+3",0.000327118610258724,0.000392191207711239,0.000269087617035051,0.00154217251936036,0.000709062651705079,0.00269907444411367,0.00299479910950723,0.00100618316058278,0.000419174032652978,0.000790422904548559
"T+4",0.000233717054613592,0.000840882521646771,0.000256981631249402,0.00152458396932346,0.000804591811314538,0.00217269819542031,0.0028683611703854,0.00101140850804198,0.000707698658671912,0.000747658098156038
"T+5",0.000192657046606273,0.000823552019553847,0.000298018600560432,0.00150814173385807,0.000751205908142756,0.00177269746208271,0.00274161299578192,0.00101646377673646,0.000824260750130861,0.000793006687484661
"T+6",0.000174607408338321,0.000789309764105305,0.00028323861693017,0.00149229167426739,0.000781059924097565,0.00171330372473699,0.0026221377143678,0.00102117012704947,0.000852630976997265,0.000792074403087613
"T+7",0.000166672932684197,0.000802293529114645,0.000284510161507076,0.00147697587470859,0.0007643644697381,0.00177300371967703,0.00251051449510695,0.00102552816011477,0.000853687226688632,0.0007890065575441
"T+8",0.000163185001106031,0.00080101169472648,0.00028564349046804,0.00146217361897913,0.000773701204703807,0.00181123837667839,0.00240636653719941,0.00102956054722971,0.000850693375525409,0.000789335176910575
"T+9",0.000161651734482467,0.000800281477409891,0.000285057907918615,0.00144786748786195,0.000768479745276991,0.00181491746570392,0.00230921286365223,0.00103329120817923,0.000848895990716723,0.000789519874501044
"T+10",0.000160977722826491,0.000800639746018428,0.000285162698486932,0.0014340408380775,0.000771399785207545,0.00180835446286273,0.00221858652939915,0.00103674266477,0.000848274845398828,0.000789481174151874
"T+11",0.000160681432732252,0.000800585225209963,0.000285186230567892,0.00142067759833921,0.000769766787130385,0.00180475801698867,0.00213404938179284,0.00103993580544983,0.00084815646540122,0.00078947168174718
"T+12",0.000160551185993688,0.000800571472508332,0.00028516541220793,0.00140776223704785,0.000770680022148945,0.00180461366662651,0.00205519234342191,0.00104288996227097,0.000848169068739677,0.000789475184829912
"T+13",0.000160493930576662,0.000800580930374875,0.0002851709890792,0.00139527974323406,0.000770169306177633,0.00180531746190852,0.00198163377163317,0.00104562302134464,0.000848191016159081,0.000789475542439549
"T+14",0.000160468761556577,0.000800578998239186,0.000285171098539122,0.00138321560903743,0.000770454918093572,0.00180564987008409,0.00191301765938121,0.00104815153025642,0.000848201624308078,0.000789475268497739
"T+15",0.000160457697458105,0.000800578799806077,0.000285170439477355,0.00137155581283916,0.000770295192979989,0.00180564251892988,0.00184901191899449,0.00105049079813842,0.000848204750358227,0.000789475267237872
"T+16",0.000160452833769548,0.000800579038466374,0.000285170686232738,0.001360286802965,0.000770384517376085,0.00180556859944703,0.00178930677589482,0.00105265498834453,0.000848205148920547,0.000789475286362945
"T+17",0.000160450695731239,0.000800578976452792,0.00028517066212514,0.00134939548193463,0.000770334563755399,0.00180553847945376,0.0017336132694872,0.00105465720420198,0.000848204975876301,0.000789475284805231
"T+18",0.000160449755866822,0.000800578975873943,0.000285170644334614,0.00133886919123908,0.000770362499731781,0.00180554130593008,0.00168166185466902,0.00105650956834654,0.000848204829386373,0.00078947528361159
"T+19",0.000160449342709996,0.000800578981599968,0.000285170653985006,0.00132869569662824,0.000770346876864696,0.00180554892991248,0.00163320109728998,0.00105822329612034,0.0008482047698053,0.000789475283822404
"T+20",0.000160449161089583,0.000800578979739007,0.000285170652160104,0.00131886317389158,0.000770355613769847,0.00180555159612851,0.00158799645726299,0.00105980876347637,0.00084820475517877,0.00078947528388713
"T+21",0.000160449081250713,0.000800578979849745,0.000285170651810768,0.00130936019511535,0.000770350727758131,0.00180555111586428,0.00154582915343842,0.00106127556980084,0.000848204754569386,0.000789475283866928
