"","WMT","GS","AXP","CAT","RTX","UNH","DD","NKE","MMM","TRV"
"T+1",0.000585265634867259,0.00137691935917362,0.000317163373104988,-0.00270211160816867,0.00181533553166192,0.00124830814807163,-0.000231538268262772,0.00097049909765442,-0.00237495159368488,0.000680925032995311
"T+2",-0.000133662656079174,0.000986153648270348,5.12206034393133e-06,-0.00142300213215011,-0.00102719322984524,0.00125095066544234,0.00155225814523393,0.00118967368745051,-0.000781594627828546,-0.000885421737580277
"T+3",-8.22614598441439e-05,0.00167015934028102,-0.000159137418746085,-0.00103829215607671,0.000483918135522146,0.00198140217654341,-0.000430674315466163,0.00131964921390039,-0.000700229085291491,0.000941957214088934
"T+4",-9.83316491905704e-05,0.00108460468395524,-0.000285152182642323,-0.000866651130834487,-0.000465424651083302,0.00144064890733557,0.00144489569723024,0.00141597436758627,-0.000409220628132595,-0.000300439096414972
"T+5",-0.000104931967503955,0.00155761548296732,-0.000384970311776319,-0.000816436449526481,0.000171503849055628,0.00174186685652309,-0.000343505803300451,0.00148696276656175,-0.000248649097599514,0.000448244939007431
"T+6",-0.000110135935643578,0.00117818753687077,-0.000464209154030715,-0.000793368818971916,-0.000265331790743907,0.00159219168800553,0.00136103901243362,0.00153928542792479,-0.000121483863425843,1.48550288105685e-05
"T+7",-0.000113831951145927,0.00148228023702438,-0.000527120552693027,-0.000786831217376479,3.63614274407641e-05,0.0016621653107437,-0.000263618799966921,0.00157785022343416,-3.17271626455697e-05,0.000262016911264873
"T+8",-0.000116491586813903,0.00123859195239183,-0.000577069312590108,-0.000783725738172789,-0.000172447532616751,0.00163065055646566,0.00128489415394546,0.00160627468636678,3.3792636495943e-05,0.0001218685090413
"T+9",-0.000118402180507428,0.00143387172442448,-0.000616726358069182,-0.000782877162856492,-2.7829937073228e-05,0.00164449740930647,-0.00019104281544419,0.00162722514341344,8.11390922071475e-05,0.000201158635844075
"T+10",-0.000119774991888084,0.00127738442118824,-0.0006482122513244,-0.000782458293203992,-0.000128010125834243,0.00163851760665038,0.00121571966875131,0.0016426668300873,0.000115456253559269,0.000156339182961996
"T+11",-0.000120761364234609,0.00140278538008522,-0.000673210620841686,-0.000782348546282113,-5.86084720576912e-05,0.00164106791722375,-0.000125110412993628,0.00165404823750971,0.000140307263353678,0.000181664967398124
"T+12",-0.000121470080712897,0.00130229543790003,-0.000693058191103495,-0.000782291930174522,-0.000106688661705065,0.00163999029456904,0.00115287739823375,0.00166243698659203,0.000158308135690011,0.000167356283375351
"T+13",-0.00012197929896524,0.00138282295964976,-0.000708816260645986,-0.000782277798055656,-7.33793928865836e-05,0.0016404424499699,-6.52134455524673e-05,0.00166861997508847,0.000171346051314553,0.000175440035472771
"T+14",-0.000122345176227633,0.00131829230498641,-0.000721327452314822,-0.000782270127921464,-9.64556207206186e-05,0.00164025375319949,0.00109578769286277,0.00167317719170944,0.000180789556077782,0.00017087318268298
"T+15",-0.000122608061875236,0.00137000388508434,-0.000731260770387336,-0.000782268317689913,-8.04687015217308e-05,0.00164033217214703,-1.07994309774299e-05,0.00167653612135042,0.000187629540740753,0.000173453168881257
"T+16",-0.000122796947249904,0.00132856485846736,-0.000739147373881352,-0.00078226727594167,-9.15442391390388e-05,0.00164029968944494,0.00104392396431605,0.00167901184486136,0.000192583791470874,0.000171995642881199
"T+17",-0.000122932662855087,0.00136177198390637,-0.000745408978937966,-0.000782267045555275,-8.38712448321766e-05,0.00164031310966332,3.8633538814893e-05,0.00168083659487335,0.00019617218907824,0.000172819050099168
"T+18",-0.000123030175568938,0.00133516148482022,-0.000750380409023779,-0.000782266903676502,-8.91869996626756e-05,0.00164030757646183,0.000996807828030406,0.00168218154013543,0.0001987712904459,0.000172353878914435
"T+19",-0.000123100239209369,0.00135648578351372,-0.000754327498767488,-0.000782266874589591,-8.55043109457345e-05,0.00164030985409985,8.35414273721494e-05,0.00168317284181846,0.000200653837552735,0.00017261667013398
"T+20",-0.000123150580477873,0.00133939757658842,-0.00075746130879317,-0.000782266855209024,-8.80556318096836e-05,0.00164030891777385,0.000954004690641459,0.00168390348793059,0.000202017379473012,0.000172468210337281
"T+21",-0.000123186751069338,0.00135309119531506,-0.000759949411652425,-0.000782266851573694,-8.62881084988084e-05,0.00164030930229168,0.000124338459457083,0.00168444201595926,0.000203005002333623,0.000172552080378962
