"","CAT","IBM","MCD","AMGN","HON","AXP","MMM","WBA","DOW","TRV"
"T+1",0.00144685910373941,-0.00171696982501641,0.0043793136510004,0.0015698452594897,0.00297180835052032,0.00294200025903282,0.00250906754151282,0.00177297919200589,0.00390953386838515,0.00900526185734427
"T+2",0.00194643981333034,0.00201805411909499,0.00298653505271566,-0.00303202341931573,0.00305153249655708,-0.00101367174156281,0.00508583024886653,-0.00465188243134811,0.00274336636296508,0.00537336745544898
"T+3",0.00163672034805448,-7.5562633200936e-06,0.0028519799259918,0.00129864010349222,-0.000860254654043536,0.00135564985922075,0.000529807269335304,0.00189681681617923,0.00228593939630266,0.00469786658904926
"T+4",0.00135934872685822,-7.97426253506979e-05,0.0026692411158032,-0.00154255008816671,-0.000283745137716382,0.000890404149559766,-0.000498950999505019,-0.000480728390902336,0.00190695486574476,0.00400314237064941
"T+5",0.00114803208665065,0.000190925463851299,0.00250609665334663,0.000409679009502818,0.000148287659505256,0.00106054228549059,-6.66995283776665e-05,0.00113436662356615,0.00159921075616188,0.00343279333072007
"T+6",0.000989068078089051,0.000146536275613088,0.00235741529870243,-0.000922683559243555,7.02518200718591e-06,0.00101817028511498,0.000132345976832346,0.000406572263496934,0.00134922283275635,0.00295794998111948
"T+7",0.000869617013187142,0.00012105453039634,0.00222207913379705,-1.24834897160849e-05,-2.90454507763562e-05,0.00103140748601027,0.00010682129068067,0.000831500437961817,0.00114615304688572,0.00256299866324039
"T+8",0.000779865835135032,0.000131712283770756,0.00209888161123828,-0.000634197032779829,-4.9059419529073e-06,0.00102780538487101,7.71798086454051e-05,0.000621780657886884,0.000981195705461342,0.002234476163702
"T+9",0.000712430623497467,0.000132830016544807,0.00198673444936486,-0.000209526054395721,-3.74717993890131e-06,0.00102887002626035,7.59565127970938e-05,0.00073700880813858,0.00084719780760552,0.0019612107048814
"T+10",0.000661762714411474,0.000131259966953096,0.00188464644716309,-0.000499603237920308,-7.1210710553002e-06,0.00102857070954032,7.96037000014891e-05,0.000677934035192914,0.00073834883807475,0.00173390805838397
"T+11",0.00062369303552761,0.000131428975891581,0.00179171533885487,-0.00030146206017969,-6.76832812271727e-06,0.00102865742952598,8.03186638891746e-05,0.000709595260933471,0.000649928807928837,0.00154483735671795
"T+12",0.000595089122938869,0.00013159428330943,0.00170711978685805,-0.000436805086671898,-6.37401726490416e-06,0.00102863275649062,7.99560637221115e-05,0.000693104678970326,0.000578103582897247,0.00138756804714555
"T+13",0.000573597378353901,0.000131540200383443,0.0016301121244339,-0.000344357190736406,-6.47995548562378e-06,0.00102863985349214,7.98082375552225e-05,0.000701852871913474,0.000519758624833725,0.00125675118597631
"T+14",0.000557449409650185,0.000131529971720367,0.00156001174761656,-0.000407504983966912,-6.51632705376983e-06,0.00102863782551578,7.9832571897779e-05,0.000697266486017648,0.000472363936826318,0.00114793751334805
"T+15",0.000545316523358689,0.000131538840076819,0.00149619909994953,-0.000364371024559222,-6.49682503999796e-06,0.0010286384073202,7.98554068059244e-05,0.000699689296477558,0.000433864355613594,0.00105742612785068
"T+16",0.00053620039658985,0.000131538381005727,0.0014381101967631,-0.000393834262448533,-6.49493039375977e-06,0.00102863824080634,7.98557450487689e-05,0.000698415651760022,0.000402590434086282,0.000982138613820698
"T+17",0.000529350932639644,0.000131537349272398,0.00138523164060271,-0.000373708996907279,-6.49779996951415e-06,0.00102863828853191,7.98528431427694e-05,0.000699087296819207,0.000377186049495905,0.000919514340226086
"T+18",0.000524204541239567,0.000131537611410968,0.00133709608375406,-0.000387455833376081,-6.49762046422206e-06,0.0010286382748649,7.98523564207317e-05,0.000698733824675073,0.000356549598264416,0.000867423370112621
"T+19",0.000520337765001991,0.000131537690163756,0.00129327809776174,-0.000378065869675348,-6.49726700712159e-06,0.00102863827878073,7.98526574647574e-05,0.000698920090763497,0.000339786227440982,0.00082409401854318
"T+20",0.000517432436333974,0.000131537641409584,0.00125339041343599,-0.000384479812148672,-6.4973438492898e-06,0.00102863827765913,7.9852766372935e-05,0.000698822017578464,0.000326169031431275,0.000788052595176735
"T+21",0.000515249497847082,0.000131537641082831,0.00121708049811607,-0.000380098681468912,-6.49737917190884e-06,0.00102863827798045,7.98527440596694e-05,0.00069887368295021,0.000315107531383351,0.000758073282049984
