"","NKE","CVX","MCD","KO","CAT","DD","RTX","MMM","AXP","TRV"
"T+1",0.000746416960470799,0.0012380180845744,-0.000229477340850564,0.000188087686749841,5.62191806560038e-05,0.00138895036661254,-0.00314749389952769,0.00447776679606098,-0.00084291584063598,0.00152872403628216
"T+2",0.000727892841561751,-0.0012797517287171,0.00110564727383583,0.00124778934877556,0.000755914878560842,0.00133118757604575,0.000649972176454322,0.0011244889745294,-0.000568574209354784,0.00131575633970733
"T+3",0.000749736763314642,0.0014119690277134,0.00138164026721669,0.000236751268051553,0.000957562593225514,0.00131929249325939,0.00161330587175327,0.00215349499425353,0.000150844837706529,0.00116865894119576
"T+4",0.000731255293488846,-0.000281727492511154,0.00149932035141392,0.000891439668794125,0.00112411240066854,0.00130989933087418,1.50004309531975e-05,0.00092960567825484,0.000608489197195652,0.00106292964917607
"T+5",0.000746747033154759,0.00070940731120563,0.00154552045381223,0.000459247424311895,0.00125589636256572,0.00130112088309341,0.00150920618987653,0.00206997384955461,0.000875613142928168,0.000986928444440366
"T+6",0.000733765396965561,0.000137386776225103,0.00156378467674007,0.00074423498360449,0.00136027893845404,0.0012928473568278,0.000223511437746494,0.00097918065595841,0.00102987021685417,0.000932296620802766
"T+7",0.000744643525447687,0.000466602424927571,0.00157100067747931,0.000556301721157693,0.0014429555205735,0.0012850467053971,0.00131083755281703,0.00201932399562314,0.00111882427924764,0.000893025714962782
"T+8",0.000735528061370688,0.000277235736683705,0.00157385179270999,0.000680232654360099,0.00150843983525786,0.00127769177288861,0.000394784555667288,0.00102711884007065,0.00117011107176116,0.000864796672935482
"T+9",0.000743166478632885,0.000386147977182586,0.00157497829216991,0.000598507474448465,0.00156030694556913,0.00127075708600338,0.00116588145041846,0.00197355498679812,0.00119967993090904,0.000844504836097644
"T+10",0.000736765771246401,0.000323509726482093,0.00157542338169942,0.000652400435394994,0.00160138849534181,0.00126421863254036,0.00051692796068071,0.0010707720993387,0.0012167274889309,0.000829918487688965
"T+11",0.000742129324144934,0.000359534435082808,0.00157559924035671,0.000616861189779724,0.00163392729925014,0.00125805377254513,0.00106306213187089,0.00193191468142141,0.00122655604224411,0.000819433406343217
"T+12",0.000737634867835918,0.000338815811009747,0.00157566872360758,0.000640297237023418,0.00165969978752391,0.00125224115967291,0.000603461210813088,0.00111049171521569,0.00123222256964701,0.000811896432198163
"T+13",0.000741401053775685,0.000350731557597062,0.00157569617703082,0.000624842538959312,0.00168011298874953,0.00124676066726456,0.000990238954845231,0.00189402709955246,0.00123548953392346,0.000806478641206371
"T+14",0.00073824513111059,0.000343878544070963,0.00157570702411178,0.000635034005539364,0.00169628134548138,0.00124159331865589,0.000664745809630561,0.00114663175715315,0.00123737306060815,0.000802584179229212
"T+15",0.000740889676023494,0.000347819866056931,0.00157571130988571,0.000628313331306746,0.00170908755635046,0.00123672122146936,0.0009386648172079,0.00185955399263308,0.00123845898395203,0.000799784729395411
"T+16",0.000738673646501062,0.00034555312327115,0.00157571300323143,0.000632745221632461,0.00171923076629711,0.00123212750566022,0.000708148070734493,0.00117951481521916,0.00123908505923855,0.000797772405377888
"T+17",0.000740530596186556,0.000346856777951848,0.00157571367228672,0.00062982265000061,0.00172726473583529,0.00122779626510256,0.000902139610698782,0.00182818764347762,0.00123944601497875,0.000796325889743778
"T+18",0.000738974541946506,0.000346107016868655,0.00157571393663615,0.00063174991451204,0.00173362807316932,0.00122371250251302,0.00073888588572759,0.00120943441264017,0.00123965411941792,0.000795286093239087
"T+19",0.000740278457080498,0.000346538221305064,0.00157571404108286,0.000630478996647602,0.00173866817966141,0.00121986207752147,0.000876272179553987,0.00179964806734134,0.00123977409938438,0.000794538657991468
"T+20",0.000739185825067491,0.000346290225950082,0.00157571408235065,0.000631317092409013,0.00174266021593392,0.00121623165770871,0.000760654641678679,0.00123665762004422,0.0012398432723074,0.000794001380315631
"T+21",0.000740101409743767,0.00034643285364799,0.0015757140986559,0.000630764417429025,0.00174582212404559,0.00121280867244196,0.00085795266677168,0.00177368051204812,0.00123988315307601,0.000793615169868809
