"","BA","IBM","KO","MCD","CAT","DD","RTX","MMM","AXP","TRV"
"T+1",0.00268919974817822,0.000993804167834426,0.00118063265995817,0.00111512298423901,0.00325315509098856,0.00102593023381645,0.00135953151847702,-0.00118563712481242,0.00291948350296868,-0.000410935927349495
"T+2",0.00265847685413761,-0.000125552986120388,0.000873572439192167,0.00119676612686032,0.00113426231581893,0.000916786927753016,0.000263152201672463,-0.000110759224028296,0.00233189741870271,-4.92252093728937e-05
"T+3",0.00248233096636863,0.000293181212842573,0.000619860920061634,0.00118718430237699,0.000846639235830242,0.00118758912696903,0.00137501532510101,1.93293625240817e-05,0.00220804666565691,3.36573257772299e-05
"T+4",0.00232827581606081,0.000137795179689082,0.000464446735027944,0.00119535606323331,0.000842275295435466,0.00109316486609035,0.000562343158286233,0.000254082498434579,0.00214422300057358,0.000104496928821461
"T+5",0.00221170040612824,0.000195231109480711,0.000373137292971013,0.00119061909372719,0.000878847101645618,0.00111466648457283,0.00112875413170444,0.000397851574096499,0.00209081237104431,0.000148508399509101
"T+6",0.00212601224307831,0.000174041668903387,0.000319867627505268,0.00119346230103279,0.00091866597760503,0.00111137802310464,0.000737332147486805,0.000509883556872884,0.00204154952475333,0.000177265734126287
"T+7",0.00206343365637233,0.000181851524896774,0.000288828287733769,0.00119176200111549,0.000956093985652552,0.00111153445688165,0.00100739975269132,0.00059112791172911,0.00199548662730347,0.00019588964726969
"T+8",0.00201779933724822,0.000178974373294685,0.000270746051427595,0.00119277920399572,0.000990494095995857,0.00111163820600375,0.000821117358290916,0.000651247412107234,0.00195233802561039,0.000207969520216404
"T+9",0.00198453251763643,0.00018003407005541,0.000260212481471491,0.00119217068732213,0.00102199216711869,0.0011115923008668,0.000949600824345736,0.000695478529863975,0.00191190979800101,0.000215802688656191
"T+10",0.00196028331025856,0.000179643813209914,0.000254076328296,0.00119253471898958,0.00105081443577231,0.00111160412349457,0.000860983584960808,0.000728073819294191,0.00187402926608626,0.000220882326829951
"T+11",0.00194260762925247,0.000179787525768443,0.000250501820033755,0.00119231694517301,0.00107718530430475,0.0011116020201939,0.000922104290225455,0.000752083042964297,0.00183853573688533,0.000224176334289721
"T+12",0.00192972356120747,0.000179734604936498,0.000248419553440329,0.00119244722350186,0.00110131281376105,0.00111160221495921,0.000879948392561642,0.00076977025674658,0.00180527877838556,0.000226312411708037
"T+13",0.00192033218013911,0.000179754092275344,0.000247206565891574,0.00119236928739752,0.00112338773428625,0.00111160224641991,0.000909023966565063,0.000782799650059913,0.00177411745434847,0.000227697601534795
"T+14",0.00191348666990121,0.000179746916391424,0.000246499961468721,0.00119241591093357,0.00114358467366243,0.00111160222526921,0.000888970094155078,0.000792397935837342,0.00174491971143206,0.00022859586061527
"T+15",0.00190849688109319,0.000179749558780613,0.000246088341571734,0.00119238801944307,0.00116206339574526,0.00111160223151846,0.000902801559619925,0.000799468626139076,0.00171756181767253,0.000229178357940991
"T+16",0.00190485975380723,0.00017974858577034,0.000245848559688004,0.00119240470490514,0.00117897007442033,0.00111160223025386,0.000893261784313149,0.000804677338045234,0.00169192783790859,0.000229556092096184
"T+17",0.00190220860054813,0.000179748944062827,0.000245708878996706,0.00119239472319963,0.00119443844835566,0.00111160223041312,0.000899841514648136,0.000808514399456342,0.00166790914245174,0.000229801042734869
"T+18",0.00190027613763261,0.000179748812128503,0.00024562751048288,0.00119240069453231,0.00120859087868734,0.0011116022304165,0.000895303373037008,0.000811341017935492,0.00164540394674029,0.000229959886764644
"T+19",0.00189886753822155,0.000179748860710773,0.000245580110695689,0.00119239712231573,0.00122153931690807,0.00111160223040744,0.000898433399380654,0.000813423281159259,0.00162431688000428,0.000230062892929193
"T+20",0.00189784079029029,0.000179748842821291,0.000245552498788821,0.00119239925931462,0.00123338619044315,0.00111160223041061,0.000896274571880011,0.00081495720594969,0.00160455858111053,0.000230129689710604
"T+21",0.00189709237927572,0.000179748849408747,0.000245536413961313,0.0011923979809027,0.0012442252128923,0.00111160223040989,0.000897763548542138,0.000816087190493404,0.00158604531987501,0.0002301730056619
