"","VZ","HPQ","UNH","AXP","BA","RTX","DD","MMM","AA","TRV"
"T+1",0.000318544402524788,-0.00302362674482859,0.000757072563987939,0.00122515206614867,-0.00277717754320774,0.00285927486629558,-0.00156421719572285,0.000266924472191807,-0.000609085165143921,-0.000431307906812566
"T+2",0.000706979603206886,-0.00202897113643511,-0.000200040700462949,0.00041100288189532,-0.00302350800786982,0.000473404911186845,0.00419279669185274,0.00103648016601434,2.93108315578656e-05,0.00153479552219741
"T+3",0.000607381323366364,-0.00220572399778708,0.000227166287430427,0.000446132810224109,-0.00276347515825449,0.00025502791646786,-0.00302260933691256,0.000480532011821348,-0.000191678619962708,0.000830928186857671
"T+4",0.000589193383517367,-0.00228190626068048,0.00028323551914748,0.000516944564459055,-0.00250521484921084,0.000388174532068145,0.00395489418731464,0.000568985182953908,-0.000201498121486775,0.000966656670693017
"T+5",0.000581566321774424,-0.00232432593844664,0.000254288886946327,0.000571422667609305,-0.00227004508214868,0.000504319278097178,-0.00293421209594883,0.000536592179532436,-0.000205087485054403,0.000905884103311154
"T+6",0.000578963257598007,-0.00234759398245357,0.000251066540905434,0.000611029278810176,-0.00205680906425877,0.000567462441056765,0.00385502612038077,0.000543589113505166,-0.000205502253715332,0.000913977605904704
"T+7",0.00057803900537427,-0.00236036697856409,0.000253018739436529,0.000639666253301719,-0.00186350321403268,0.000596629833284126,-0.00283688780880475,0.000541516266469183,-0.000205581220948391,0.000908350566755269
"T+8",0.000577713489185524,-0.00236737842781565,0.00025319934521765,0.000660360367223638,-0.00168826671615466,0.000608983343465143,0.00375900139605139,0.000542020495092098,-0.000205592858968419,0.000908623287697037
"T+9",0.00057759865573482,-0.00237122721368836,0.000253068269675197,0.000675313850569657,-0.00152941062124021,0.000613929655541334,-0.00274224931363151,0.000541882169045315,-0.00020559479973067,0.00090805232376811
"T+10",0.000577558159066975,-0.0023733399225562,0.000253058491192041,0.000686119116758394,-0.00138540375937593,0.000615830538430913,0.00366572005688937,0.000541917393975033,-0.000205595104019202,0.000908021554499981
"T+11",0.000577543876719787,-0.00237449964900877,0.000253067254634975,0.00069392691034357,-0.00125485808378474,0.000616537604190093,-0.00265030645850423,0.000541908004535126,-0.00020559515319557,0.000907957496350329
"T+12",0.000577538839697069,-0.00237513625609877,0.000253067757590154,0.000699568755359271,-0.00113651529654809,0.000616793412736201,0.00357509641112554,0.000541910437760258,-0.000205595161024656,0.000907947505865791
"T+13",0.00057753706326156,-0.00237548570797697,0.000253067174080251,0.000703645504398649,-0.00102923472040138,0.000616883679546159,-0.00256098309990597,0.000541909796169383,-0.00020559516228034,0.000907939633885917
"T+14",0.00057753643675628,-0.00237567753212894,0.000253067150320016,0.00070659132844631,-0.000931982304034412,0.000616914787981446,0.00348705468237466,0.000541909963544368,-0.000205595162481,0.00090793774459603
"T+15",0.000577536215803193,-0.00237578282990403,0.000253067189018199,0.000708719955750922,-0.000843820655123421,0.000616925260170138,-0.00247420461196055,0.000541909919592076,-0.000205595162513124,0.000907936707902443
"T+16",0.000577536137878445,-0.00237584063087084,0.000253067189963801,0.00071025808366644,-0.000763900005035137,0.000616928700384054,0.00340152130999221,0.000541909931087138,-0.000205595162518262,0.000907936397978915
"T+17",0.000577536110396293,-0.00237587235947822,0.000253067187407362,0.000711369521765242,-0.00069145001811415,0.000616929800714724,-0.00238989848996768,0.00054190992807326,-0.000205595162519084,0.000907936255048691
"T+18",0.00057753610070401,-0.00237588977622022,0.000253067187385876,0.000712172637445677,-0.000625772366605399,0.000616930141945182,0.00331842482954829,0.000541909928862251,-0.000205595162519216,0.000907936207050992
"T+19",0.000577536097285779,-0.0023758993367691,0.000253067187554105,0.000712752961979141,-0.000566233999643245,0.000616930243819437,-0.00230799429488739,0.000541909928655508,-0.000205595162519237,0.000907936186793018
"T+20",0.000577536096080253,-0.00237590458482841,0.000253067187552844,0.000713172299532054,-0.000512261041428566,0.000616930272732906,0.00323769581267643,0.00054190992870965,-0.00020559516251924,0.000907936179556373
"T+21",0.000577536095655093,-0.00237590746563858,0.000253067187541816,0.000713475309267372,-0.000463333259779882,0.000616930280345994,-0.00222842359452572,0.000541909928695466,-0.000205595162519241,0.000907936176639692
