"","VZ","CAT","MCD","AXP","UNH","RTX","DD","MMM","NKE","TRV"
"T+1",-0.000375860835448313,-0.00153312338201244,-0.000460955344209423,0.00264147020171124,0.0026290627398486,0.000932210830567301,-0.00054991144504509,0.00223802146923172,0.00120150226037871,0.000708555944814563
"T+2",0.000750971341282503,-0.0019447392777165,-1.66144290253239e-05,0.000338686880664488,0.00311044240547663,0.00133099355595167,0.000382053304249826,0.00162850930061907,0.00143949832352638,0.000939021075386349
"T+3",0.000217634705655207,-0.00154421429829919,6.90538963483361e-05,0.00181846262142732,0.00308414826934224,0.001010447284012,0.00121452646360329,0.00119685973518638,0.00131752271340666,3.17057169142904e-05
"T+4",0.000668991627969123,-0.00117592872032621,4.12393412464719e-05,0.00131362224799913,0.00303171666387869,0.00103325929834843,0.00145486852863262,0.00104767535354797,0.00125367342671819,0.000408851825483181
"T+5",0.000258289267962384,-0.000900862663587762,4.23816868696428e-05,0.00151307360870627,0.0029794254129821,0.00104349161659042,0.00147132980068855,0.00102046031938495,0.00122393128764588,0.000299233839094013
"T+6",0.000634318546085824,-0.000701063214033286,4.31682990384403e-05,0.00143740341743938,0.00292866293779619,0.00104132118166415,0.00145523534027972,0.00102325553369143,0.00121018181790947,0.000324503640919647
"T+7",0.000289860888803794,-0.000556551645684308,4.30136850007072e-05,0.00146642259192995,0.00287945833550005,0.00104116999789036,0.00144734968854758,0.00102765449996923,0.00120382894963711,0.000319995827871229
"T+8",0.000605410700631178,-0.000452098140382607,4.30093859844723e-05,0.00145532596615753,0.00283176782394846,0.00104127646284652,0.0014457556503894,0.00102955120303187,0.00120089374973789,0.000320467888344015
"T+9",0.000316341737121783,-0.000376606569951649,4.30153211466192e-05,0.00145957248046932,0.0027855450327805,0.00104126964634504,0.00144586858737379,0.00103001717166935,0.00119953761015001,0.00032052661471852
"T+10",0.000581152189779457,-0.000322047510316672,4.30145977367439e-05,0.001457947738888,0.00274074480355987,0.00104126615534749,0.00144606281768973,0.0010300417550599,0.00119891103808942,0.000320473909096736
"T+11",0.000338564481481403,-0.00028261683682142,4.30145002686389e-05,0.00145856940914573,0.00269732335589134,0.00104126685662915,0.00144612871116189,0.00103000274306755,0.00119862154536635,0.000320493183077289
"T+12",0.000560794366039872,-0.000254119692465539,4.30145393886576e-05,0.0014583315447546,0.00265523825613139,0.00104126691297936,0.00144613641876662,0.00102998048323103,0.00119848779213682,0.000320487949292994
"T+13",0.000357213888097914,-0.000233524376323323,4.30145369922195e-05,0.00145842255714105,0.00261444837654838,0.00104126687766726,0.00144613326446271,0.00102997362493289,0.00119842599463733,0.000320489082207166
"T+14",0.000543710007114122,-0.000218639830783894,4.301453600177e-05,0.00145838773374602,0.00257491385516475,0.00104126687967632,0.00144613129798585,0.00102997263996478,0.00119839744257202,0.000320488898662412
"T+15",0.000372864537254985,-0.000207882545289865,4.30145362293183e-05,0.00145840105796743,0.00253659605680372,0.00104126688086484,0.00144613081975578,0.00102997290185793,0.00119838425076912,0.000320488911840466
"T+16",0.000529372751610132,-0.000200108092864274,4.30145362299083e-05,0.00145839595981825,0.00249945753533311,0.00104126688063873,0.00144613081612618,0.00102997314161801,0.00119837815581025,0.000320488916832658
"T+17",0.000385998618360752,-0.000194489378872804,4.30145362220152e-05,0.00145839791048574,0.00246346199707102,0.00104126688061801,0.00144613085962241,0.00102997323292776,0.00119837533977942,0.000320488913918184
"T+18",0.000517340875185465,-0.000190428649552003,4.30145362231532e-05,0.00145839716411613,0.00242857426531781,0.00104126688062971,0.00144613087709557,0.00102997325227685,0.00119837403869933,0.000320488914882605
"T+19",0.000397020786499708,-0.000187493899244045,4.3014536223257e-05,0.00145839744969407,0.0023947602459796,0.00104126688062912,0.00144613087989174,0.00102997325191509,0.00119837343756621,0.000320488914636827
"T+20",0.000507243681182179,-0.000185372910946218,4.30145362232027e-05,0.00145839734042547,0.00236198689424973,0.00104126688062872,0.00144613087935163,0.00102997324960224,0.00119837315982695,0.000320488914686582
"T+21",0.000406270629675268,-0.000183840040723046,4.30145362232071e-05,0.00145839738223412,0.00233022218231571,0.00104126688062879,0.00144613087887621,0.00102997324848295,0.00119837303150413,0.000320488914679446
