"","T","AA","MCD","VZ","RTX","MMM","DD","HON","MO"
"T+1",0.00424966530492836,-0.00127092273714076,0.0016366746742121,0.0006971179012505,-0.00220172988837464,0.000558492711905988,0.00118138722824259,-0.00281919763210109,0.0016074421000211
"T+2",0.00438411435332245,0.00163284417916966,0.00287216675348769,0.000490046388388013,-0.000910330354259463,0.00103147193657089,0.00281620267353983,0.00158578655588897,0.000946510442926932
"T+3",0.00423958800175992,0.000128024472161436,0.00245543784712764,0.000953054761727566,-0.000574635846251285,-0.000175996421223415,0.00201457066593437,0.000299327880715941,0.00108336087954709
"T+4",0.0040677738383031,0.000340487349217579,0.00206169835428867,0.000968417411217244,-0.000435819342996712,0.000299435884616385,0.00133838261471961,0.00088000841923083,0.00110337599060075
"T+5",0.00390368567938065,0.000375911713386135,0.00182118075490405,0.000937474694645111,-0.000343844929155087,3.83025148721989e-05,0.000979253858443997,0.000637384886512483,0.00111292573990332
"T+6",0.00375143489451106,0.000354130018273449,0.00168581335498142,0.000936345992674262,-0.000268333301642406,0.000168136710534923,0.000812778405709155,0.000739957589769554,0.0011161980559367
"T+7",0.00361078365617472,0.000357600109097524,0.00161119644535576,0.000938413554615075,-0.000202503710354523,0.000101791898814926,0.000740033234193857,0.000696673065033729,0.00111739567404371
"T+8",0.00348093585921647,0.000358011607297476,0.00157029788030703,0.000938495813352003,-0.000144300701417038,0.000135432937984355,0.000709170374692283,0.000714943874012858,0.00111782766706858
"T+9",0.00336107420800281,0.000357698707665667,0.00154791568769853,0.000938357683079566,-9.26779420659938e-05,0.0001183378239943,0.000696281516405552,0.000707231935893341,0.00111798398084574
"T+10",0.00325043249200148,0.00035775437540532,0.00153567206759386,0.000938351728853486,-4.6859399480912e-05,0.000127019641400625,0.000690945721119769,0.000710487095684995,0.00111804050345146
"T+11",0.00314830175600756,0.000357758794150634,0.00152897530198572,0.000938360955612699,-6.18616836262667e-06,0.0001226097960685,0.000688747640396032,0.000709113115028658,0.0011180609448771
"T+12",0.00305402733976589,0.000357754334380582,0.00152531256332601,0.000938361384101049,2.99207959595116e-05,0.000124849627230449,0.000687844682150354,0.000709693062952332,0.00111806833729126
"T+13",0.00296700490780958,0.000357755214240951,0.00152330927820717,0.000938360767876221,6.19743783660017e-05,0.000123711965785288,0.00068747434992495,0.000709448270870447,0.00111807101069415
"T+14",0.00288667660777853,0.000357755255053823,0.0015222136114454,0.000938360737195539,9.04296608534681e-05,0.000124289807860027,0.000687322605680929,0.000709551595946981,0.00111807197750581
"T+15",0.00281252749896233,0.000357755192010072,0.00152161435336188,0.000938360778344471,0.000115690593992597,0.000123996309457735,0.000687260461509578,0.000709507983133398,0.00111807232714451
"T+16",0.00274408225195867,0.000357755205741605,0.00152128659843448,0.000938360780531626,0.000138115772717819,0.000124145383556603,0.000687235019332458,0.000709526391806032,0.00111807245358817
"T+17",0.00268090210169088,0.000357755205986704,0.00152110733796305,0.000938360777784321,0.000158023534922099,0.000124069665635719,0.000687224605021906,0.000709518621630244,0.00111807249931538
"T+18",0.00262258203473831,0.000357755205103319,0.00152100929423145,0.000938360777629007,0.000175696482033489,0.000124108124385109,0.000687220342546347,0.000709521901368712,0.0011180725158522
"T+19",0.00256874819301851,0.000357755205315255,0.00152095567073494,0.000938360777812401,0.000191385491007706,0.000124088590364667,0.000687218598060984,0.000709520517013362,0.0011180725218326
"T+20",0.00251905547718761,0.000357755205313681,0.00152092634219625,0.000938360777823392,0.00020531327572239,0.000124098512110953,0.000687217884127503,0.00070952110134036,0.00111807252399535
"T+21",0.00247318533439709,0.000357755205301421,0.00152091030140748,0.000938360777811152,0.000217677548531833,0.000124093472644055,0.000687217591954901,0.0007095208546999,0.0011180725247775
