"","VZ","HD","AA","BA","AXP","RTX","MMM","DD","MDLZ","TRV"
"T+1",0.000135328159040744,0.000741003555299761,-0.000771732387602407,0.000644551675982514,0.00268306301877817,0.000982887700179041,0.000891741869435205,-0.000802255263678994,0.000482125194850302,0.00157700261198719
"T+2",-0.000109565473127076,0.000962029747217207,-0.00210801410762115,6.21184567595015e-05,-2.59728341949052e-05,0.000962162526349906,0.00036747062508956,-0.000553802960668955,0.00122915754266151,0.000250855899069478
"T+3",0.000186918690401067,0.00128185714067214,6.89718709738334e-05,0.000655917455008683,0.00267204901385812,0.000926109770292345,0.000597202795033594,0.00174913642814901,0.00060576299090268,0.000386219442047781
"T+4",-8.05100865271521e-05,0.00110672943086518,-0.00164504353129116,0.000327934059536258,0.0014618156299773,0.000951370533105282,0.000422723185095632,9.04668298660135e-05,0.0011316009329153,0.000320558351437456
"T+5",0.000166525744191157,0.00117310855763484,-0.000224781906462038,0.000534884196615134,0.00213975906241557,0.000932995728269744,0.000572601176056453,0.00154251773330718,0.000687954795977765,0.000288315323476571
"T+6",-6.11762749900422e-05,0.00115155751232049,-0.0013959810907214,0.000408728689335995,0.00178742272325071,0.000946348773203447,0.000441499713544152,0.00030841472590124,0.00106225791658412,0.000255808665302056
"T+7",0.0001487463598422,0.00115791696006699,-0.000429738665064719,0.000486297045134484,0.00197499739086868,0.000936644824961979,0.000556459677730077,0.00136167459927144,0.000746459293891326,0.000227320981462083
"T+8",-4.47816900089288e-05,0.00115617181505237,-0.00122685848699336,0.000438706488649003,0.00187591939148495,0.000943696890905407,0.00045562052007453,0.000463293355027771,0.00101289781601987,0.00020181907712812
"T+9",0.000133632450466382,0.001156620889973,-0.000569257034873725,0.000467920681691343,0.00192838673200823,0.000938572004250154,0.000544077279564035,0.00122963552222047,0.000788104289463448,0.000179067238323371
"T+10",-3.08481036498852e-05,0.0011565126065551,-0.00111175956238613,0.000449989562525643,0.00190062541316553,0.000942296368632098,0.000466481979454863,0.000575933982132039,0.000977762035565688,0.000158758018624689
"T+11",0.000120787035625802,0.00115653682335911,-0.000664210365298272,0.000460995724370148,0.00191531834490313,0.000939589793641719,0.000534549534907922,0.00113355231460686,0.000817748261114071,0.000140630720125862
"T+12",-1.90058752092062e-05,0.00115653193307844,-0.00103342575703513,0.000454240175809873,0.00190754265974739,0.000941556719384554,0.000474839828368976,0.000657894680172994,0.000952751489510818,0.000124450710438881
"T+13",0.000109869648071119,0.00115653276325409,-0.000728833532492722,0.00045838671996683,0.00191165776819511,0.000940127312517359,0.000527217926598707,0.00106363850162916,0.000838849597376805,0.000110008836728102
"T+14",-8.94110135392017e-06,0.00115653267449295,-0.000980113477277474,0.000455841579651571,0.00190947995880598,0.000941166092959085,0.000481271206401529,0.000717532319558538,0.000934948343945897,9.71183755537378e-05
"T+15",0.00010059090146284,0.00115653266340831,-0.000772814650966214,0.000457403781783066,0.0019106325087651,0.000940411189067914,0.000521576241688573,0.00101276661030626,0.000853870067552692,8.56126676565053e-05
"T+16",-3.86995731715925e-07,0.00115653267490766,-0.00094383030216284,0.000456444905213435,0.00191002255175563,0.000940959793818268,0.000486220162678492,0.000760926883252006,0.000922275610159502,7.53429563136223e-05
"T+17",9.27048446402024e-05,0.00115653266988514,-0.000802747241179692,0.000457033461755063,0.00191034535569956,0.000940561111051321,0.000517234955596305,0.000975750330633581,0.000864562021914991,6.61764650497461e-05
"T+18",6.88318480573754e-06,0.00115653267163305,-0.000919136764343799,0.000456672206914866,0.00191017452009351,0.000940850842316969,0.000490028392915496,0.000792502381294489,0.000913254834531104,5.79946808395408e-05
"T+19",8.60024423831653e-05,0.00115653267109308,-0.000823118709391147,0.000456893944420793,0.0019102649304055,0.000940640288429886,0.00051389432859549,0.000948815909199788,0.000872172828151205,5.06918218793278e-05
"T+20",1.30621504839228e-05,0.00115653267124674,-0.000902330880953112,0.000456757842378531,0.0019102170830942,0.000940793302428105,0.000492958832532866,0.000815477887714015,0.000906833616007185,4.41734699376417e-05
"T+21",8.03060345299802e-05,0.00115653267120586,-0.000836983086450752,0.000456841381542693,0.00191024240504206,0.000940682103893728,0.000511323710460345,0.000929217422685753,0.000877590394444738,3.83553496278929e-05
