"","VZ","HD","AA","AXP","BA","RTX","MMM","DD","MDLZ","TRV"
"T+1",-6.08437838826607e-05,0.00174108909661582,0.000662950156610093,-0.00193371376237911,0.000175140417180395,0.000875925921807127,-3.19495392064307e-05,0.00226691441540772,0.000307202083168096,-0.00190806507687704
"T+2",0.000183790927417738,0.00134020557068278,-0.00298626876162323,0.00321234268567275,0.000241375066045732,0.000431069419345987,0.000415755730731287,0.000488000811172313,0.00101759911348636,0.000529068606019963
"T+3",-0.000269907986216419,0.00155897358772563,0.000189345154224338,0.00101241558768539,2.66356012021095e-05,0.000595631135109081,0.000400761318539112,0.000884431256789649,0.000511669036097679,-0.000926347665909368
"T+4",0.000134953691577757,0.00134075108391594,-0.00270219692785697,0.00252324830726626,0.000148037945379035,0.000473185004183154,0.000417557844769375,0.000408807276734594,0.000958455195072013,0.000231309882024064
"T+5",-0.000239767521311952,0.00155372724399179,-7.78659890123706e-05,0.00165324367019383,7.09345501593776e-05,0.000560756155829166,0.000426949229597778,0.000821188892802928,0.000560186308377293,-0.000722097684151055
"T+6",0.000106197177096111,0.00134574891392194,-0.00246022473372038,0.00218488067804844,0.000119187840523902,0.000498025864584209,0.000433660066759364,0.000451628580424148,0.000915335044022681,6.58606633937962e-05
"T+7",-0.000213270857125978,0.00154884344047793,-0.000297562457554614,0.00186669663515574,8.89358697261603e-05,0.000542958771509416,0.000438304080058671,0.00078155250362822,0.000598633476897614,-0.000585586053616459
"T+8",8.17265530559896e-05,0.00135051794808207,-0.0022607904798539,0.00205850352608866,0.000107897965613687,0.000510773814679444,0.000441530097829425,0.000486885655186943,0.000881050183615319,-4.69822183379636e-05
"T+9",-0.000190674837646574,0.00154418638973675,-0.00047860562345487,0.00194316737733307,9.60121102658726e-05,0.000533827549641087,0.000443770059592091,0.000750050073011186,0.00062920678858836,-0.000492291199460221
"T+10",6.08613162186872e-05,0.00135506564256512,-0.00209644259617595,0.00201258069608597,0.00010346239982781,0.000517314409635484,0.000445325446478261,0.000515018870613215,0.00085378661747329,-0.000124116778939366
"T+11",-0.000171407824365923,0.00153974548355962,-0.000627797825763527,0.00197081789061052,9.8792408940567e-05,0.000529142592498028,0.000446405470407407,0.000724924262760632,0.000653518909288526,-0.000428517575113048
"T+12",4.30701058514294e-05,0.00135940226802225,-0.00196100846323133,0.0019959472719359,0.000101719652730707,0.000520670193560972,0.000447155414121796,0.000537458613684591,0.000832106430441972,-0.000176843803530256
"T+13",-0.000154979374312945,0.00153551069011759,-0.000750742618377206,0.00198082704810748,9.98847977035555e-05,0.000526738880914117,0.000447676157695697,0.000704883418389579,0.000672852085341515,-0.000384923703843379
"T+14",2.7900032223617e-05,0.00136353762065392,-0.00184940128044931,0.00198992492578241,0.000101034921577641,0.000522391946065577,0.000448037749996142,0.000555357009707892,0.000814866187276353,-0.000212886527925551
"T+15",-0.000140971288758438,0.00153147244324148,-0.000852057712605717,0.00198445073315126,0.000100314000902013,0.000525505608292328,0.000448288831330819,0.000688898434051667,0.000688225968225271,-0.000355124148442172
"T+16",1.49649294866869e-05,0.00136748104199785,-0.00175742916841617,0.00198774455961191,0.000100765888418004,0.00052327532585192,0.000448463176405523,0.000569633133873476,0.000801156619919741,-0.000237524329784954
"T+17",-0.000129026981153813,0.00152762162075023,-0.000935548424984244,0.00198576266240821,0.000100482636273888,0.000524872852944377,0.000448584237595166,0.000676148485918518,0.000700451392246426,-0.000334754002905047
"T+18",3.93552469142479e-06,0.00137124144002936,-0.00168163772577797,0.00198695517126895,0.000100660184389973,0.000523728561636292,0.000448668299686754,0.000581020060430718,0.00079025467176855,-0.000254366044462732
"T+19",-0.000118842399998967,0.0015239495238443,-0.00100435060205918,0.00198623763794249,0.000100548893675392,0.000524548205073916,0.00044872667045994,0.000665978868358809,0.000710173138771175,-0.000320829539146516
"T+20",-5.46894411039175e-06,0.00137482730928404,-0.00161918028460156,0.0019866693782027,0.000100618652923899,0.000523961103380411,0.000448767201775517,0.00059010250430096,0.00078158536292753,-0.000265878571225727
"T+21",-0.000110158288978628,0.00152044785745557,-0.00106104840035787,0.00198640959981472,0.000100574926429999,0.000524381637947875,0.000448795345784115,0.000657867374866378,0.000717903942653961,-0.000311311163806032
