"","BA","IBM","MCD","KO","CAT","DD","RTX","AXP","MMM","TRV"
"T+1",0.0012267189743782,0.000470816074547571,0.00139356397502417,-0.00105354991294476,-0.000363664063256575,0.00345505021088292,0.000989194843527357,0.000936854951796381,0.00106124304013964,0.000605771648773825
"T+2",0.000892923099388972,-0.000440062720710547,0.000931591246248069,-0.00073191242685581,-0.000176810802732589,0.00219852865060002,0.00105721791487034,0.00055652718768787,0.0017337961803478,0.000679890841292214
"T+3",0.00112103024836965,0.000385058326931826,0.00117078698218378,-0.000377978726331239,5.26589791785071e-06,0.00203556831379769,0.000914147150364097,0.00049542842430186,0.00147508999970132,0.000620161841540356
"T+4",0.00136950980599495,-1.81700215930508e-05,0.000943681253453016,-0.000133484770296237,0.000168811159362498,0.00196945977618379,0.00101615389592963,0.00044270306730191,0.00135826914799917,0.000578110268216411
"T+5",0.00153300761871084,0.000156494267932692,0.00115254614461261,2.76130172823528e-05,0.000314559891479704,0.00191452174950427,0.000952953689013067,0.000410788910860847,0.00126139288178885,0.00054699779441694
"T+6",0.00162276786749706,8.35353683988856e-05,0.000960215530804026,0.000133092977316498,0.000444345060258075,0.00186324598259226,0.000990764010946652,0.00039067087509845,0.00118872275540998,0.000524007579045896
"T+7",0.0016671409091003,0.00011364377564895,0.00113731185995943,0.000202096778132228,0.000559905725125373,0.00181483989123871,0.000968362490073364,0.000378056155237288,0.00113348511881421,0.000507018691818054
"T+8",0.00168745841308974,0.0001012705477732,0.000974242797636874,0.000247232866158461,0.000662800044048949,0.00176909522287964,0.0009815978627944,0.000370140851314971,0.00109157404032324,0.000494464565417806
"T+9",0.0016961684412904,0.000106348003228777,0.00112439563861205,0.000276756350141978,0.000754416269422995,0.00172586155648619,0.000973784348959514,0.000365174709988904,0.00105976654173973,0.000485187554480329
"T+10",0.00169966784394602,0.000104265488144516,0.000986135962593269,0.000296067596253761,0.00083599056930781,0.00168500070772943,0.000978395994110491,0.000362058867258879,0.0010356277444131,0.00047833220436273
"T+11",0.00170097469157823,0.000105119478109969,0.00111344449625945,0.000308699035961981,0.000908623624381263,0.00164638241779185,0.000975674319183941,0.000360103936677584,0.00101730866165204,0.000473266367365001
"T+12",0.00170141805742609,0.000104769298984706,0.00099621969716391,0.000316961229979294,0.000973295471911982,0.00160988360612453,0.000977280550898267,0.000358877381090656,0.00100340620496522,0.000469522910933555
"T+13",0.00170154680790342,0.000104912887013616,0.00110415946465051,0.000322365510975105,0.00103087872871461,0.00157538794969217,0.000976332617765121,0.000358107819969126,0.000992855550173187,0.000466756642287243
"T+14",0.00170157262851819,0.000104854010391861,0.00100476928872395,0.000325900438016994,0.00108215036530103,0.00154278550980344,0.000976892048735134,0.000357624984679824,0.000984848597318561,0.000464712477392126
"T+15",0.0017015705918111,0.000104878152009359,0.00109628706109582,0.000328212625188555,0.0011278021895328,0.00151197238152339,0.000976561895845365,0.000357322045887858,0.000978772074545256,0.000463201919072347
"T+16",0.0017015642362915,0.00010486825305237,0.00101201814234374,0.000329725021187933,0.00116845018117972,0.00148285036250741,0.000976756738322194,0.000357131977113442,0.000974160566312727,0.000462085675249304
"T+17",0.00170155936654368,0.000104872311989893,0.00108961236785428,0.000330714275728856,0.0012046428033308,0.00145532664002587,0.000976641750416708,0.000357012724842139,0.000970660866077466,0.000461260814496717
"T+18",0.00170155650370828,0.000104870647675973,0.00101816415276215,0.000331361344715508,0.00123686840280319,0.00142931349516718,0.000976709611483108,0.000356937904008182,0.000968004923353513,0.000460651274495587
"T+19",0.00170155502599551,0.000104871330105968,0.00108395316484731,0.000331784590964242,0.00126556179940265,0.00140472802327495,0.000976669562711906,0.000356890960187886,0.000965989313078709,0.000460200848151731
"T+20",0.00170155432649368,0.000104871050284544,0.00102337510694117,0.000332061435305049,0.00129111015294434,0.00138149186972845,0.000976693197826389,0.000356861506863892,0.000964459654798336,0.000459868000609547
"T+21",0.00170155401756655,0.00010487116502163,0.00107915495502476,0.000332242518514331,0.00131385818719775,0.00135953098022416,0.000976679249367555,0.000356843027364592,0.000963298788293553,0.00045962203922685
