"","MCD","WMT","CAT","DD","RTX","UNH","AXP","MMM","NKE","TRV"
"T+1",-0.00130531457175491,1.36628056495844e-05,0.00102022218252534,0.00197346373007453,0.00032105187064526,0.00197389843420852,0.0010763120041988,0.000864985406728008,0.00219272873584228,0.000507019568756846
"T+2",0.000418145039504662,-6.82437285563689e-05,0.00256573252267369,0.000240710526949177,0.000401592143715814,0.00228458851556391,0.00242710323168816,0.000804426701455477,-0.000539066603919945,0.000561074728645133
"T+3",-0.000152394124028401,3.46734863926393e-05,0.00202693323749863,0.000283084051538598,0.000151939953226255,0.00154406593497668,0.000796761520965742,0.000371407876149653,0.00205908815984068,0.000789584998165049
"T+4",2.65869404507178e-05,4.96105584028497e-05,0.00188588878454972,0.000452163568319477,0.000106920234614714,0.00185754440988544,0.00101999229549414,0.000410259619968652,-0.000404068104443039,0.000680296274383732
"T+5",-2.39722250164453e-05,5.7494703270573e-05,0.00172090654583617,0.00060331692340809,8.68522474442066e-05,0.00168723076319717,0.000805323605449353,0.000387638483760974,0.00193091099423558,0.000723908117116969
"T+6",-1.3021399286325e-05,5.96951281159704e-05,0.00159433100609084,0.000728571264279849,8.09041476139088e-05,0.00177427528717005,0.000840495630051529,0.000391501783433219,-0.000282556255172944,0.000707120819726113
"T+7",-1.31878727815383e-05,6.04942424986691e-05,0.00148951474969646,0.000831533045890885,7.88369846965094e-05,0.00172916448402137,0.000812048590039245,0.000390144329499557,0.00181572248125119,0.000713530128298468
"T+8",-1.50895415336703e-05,6.07514499646972e-05,0.00140408077147461,0.000916094378868121,7.81649950118079e-05,0.00175246777004275,0.000817421508885693,0.000390443014402101,-0.00017336213275973,0.000711087731474452
"T+9",-1.33875593610325e-05,6.08387608623202e-05,0.00133422143670483,0.000985536723620313,7.79405041772602e-05,0.00174042080313835,0.000813629468760287,0.000390355149517693,0.00171221080512871,0.000712018042073798
"T+10",-1.45273248576114e-05,6.08676992274383e-05,0.00127713470958934,0.00104256261867846,7.78663494458611e-05,0.0017466475810101,0.000814432865668726,0.000390376604718347,-7.52371893155883e-05,0.000711663723129729
"T+11",-1.38441919884758e-05,6.08773932381674e-05,0.00123047915296557,0.0010893920955528,7.78417405236673e-05,0.00174342898594279,0.000813924643593175,0.000390370714080668,0.00161919226957385,0.000711798666060866
"T+12",-1.42312582782271e-05,6.08806251943852e-05,0.00119234975814741,0.00112784830213832,7.78335894161581e-05,0.00174509264874969,0.000814042927753053,0.000390372214922786,1.29406750792429e-05,0.00071174727312715
"T+13",-1.40189270559408e-05,6.08817050119825e-05,0.00116118822434321,0.00115942840725237,7.78308874352747e-05,0.00174423271459442,0.000813974481053245,0.000390371814018997,0.00153560316851079,0.000711766846068479
"T+14",-1.41331000671411e-05,6.08820654437133e-05,0.00113572125552029,0.00118536188134789,7.7829992055633e-05,0.00174467720754349,0.000813991695802423,0.000390371917937009,9.21798113917707e-05,0.000711759391738023
"T+15",-1.40724935435012e-05,6.08821858030451e-05,0.00111490820274489,0.00120665836139773,7.7829695306058e-05,0.00174444745273837,0.000813982437171308,0.000390371890482385,0.00146048762541123,0.000711762230710331
"T+16",-1.41043920934628e-05,6.08822259871479e-05,0.00109789859516487,0.00122414695782847,7.78295969617722e-05,0.00174456621113307,0.000813984920493813,0.000390371897648529,0.000163386352473791,0.000711761149491344
"T+17",-1.40876994475879e-05,6.08822394044597e-05,0.00108399737866146,0.00123850853328136,7.78295643692489e-05,0.001744504825882,0.000813983663242877,0.000390371895763628,0.00139298666244615,0.000711761561272216
"T+18",-1.40964005751051e-05,6.08822438842775e-05,0.00107263651574918,0.001250302209824,7.78295535677808e-05,0.00174453655542039,0.000813984019016193,0.000390371896257001,0.000227374575072121,0.000711761404445997
"T+19",-1.40918772912353e-05,6.08822453800395e-05,0.00106335177393328,0.00125998713658211,7.78295499880591e-05,0.00174452015467934,0.000813983847708669,0.000390371896127461,0.00133232837771306,0.000711761464173062
"T+20",-1.40942243362819e-05,6.08822458794543e-05,0.00105576375608227,0.00126794036524418,7.7829548801703e-05,0.00174452863208937,0.000813983898401922,0.000390371896161407,0.000284876211425685,0.000711761441426085
"T+21",-1.40930080773719e-05,6.08822460462028e-05,0.00104956239733155,0.00127447152936456,7.78295484085324e-05,0.00174452425018488,0.000813983874990711,0.0003903718961525,0.00127781911821311,0.000711761450089243
