"","VZ","HPQ","UNH","BA","AXP","RTX","DD","MMM","AA","TRV"
"T+1",0.000966137441658146,-0.00280336863150227,0.00109538292360973,-0.00181106873007703,0.00141802540576421,-0.00011568826190018,-0.0050076377458738,0.000119295488121404,-0.000729004343766694,0.000251393740594123
"T+2",0.000821105748338931,-0.00229042006265459,0.000900711113086281,0.00218363943630408,0.00118723328724572,0.00255282012624023,-0.00375028706489143,0.00052399773002363,-0.000311701304313652,0.00273508390257339
"T+3",0.000842965202863416,-0.00227419313864381,-0.000198562359733377,-0.000327722887104466,0.00117583178696684,0.00218179088611814,0.00261240025401822,0.000634309032726424,-0.000456713442459841,0.00114213269180612
"T+4",0.00083965386744198,-0.00224681550328379,0.000376462508888355,-0.000280344685981697,0.00116032333397244,0.00154074020468631,-0.00282833411278072,0.000650879352552766,-0.000446876522054707,0.00146706318953438
"T+5",0.000840158609997392,-0.00222868225607963,0.000161719088032281,0.00013538578246332,0.00114537384146083,0.00111496443385185,0.00265072051841836,0.000655562659760147,-0.000450895680858396,0.00123586109099644
"T+6",0.000840081086234823,-0.00221612246925848,0.000230130042686162,6.34182715711164e-06,0.00113087138978938,0.000886180709766622,-0.0027594726379367,0.000656239064736764,-0.000450672700944422,0.00127762403246918
"T+7",0.000840093102329283,-0.00220745048464363,0.00021059714772136,-2.72193094775545e-05,0.00111680454483924,0.000774377069929514,0.00259458372751374,0.000656438230836114,-0.000450784831769005,0.00124389053154991
"T+8",0.000840091219683477,-0.00220146155034627,0.000215665809663437,4.61415926214809e-06,0.00110316018189854,0.00072257493107845,-0.00270258345427568,0.000656465743183957,-0.0004507800888513,0.0012491267910837
"T+9",0.000840091518341802,-0.00219732561225731,0.000214478095919968,1.09331839170458e-06,0.00108992561303909,0.000699367324862942,0.00253844893695126,0.000656474228554102,-0.000450783239095772,0.00124417685707668
"T+10",0.000840091470295009,-0.00219446934418826,0.000214721186395393,-3.32684244857251e-06,0.00107708853050917,0.000689204735735234,-0.00264702668966719,0.00065647534285484,-0.000450783149547342,0.00124480980395901
"T+11",0.000840091478144091,-0.00219249681304428,0.00021468220104334,-1.43880242650761e-06,0.00106463699622612,0.000684826196400256,0.00248348298530695,0.000656475705084026,-0.000450783238698924,0.00124407903666624
"T+12",0.000840091476840759,-0.00219113458826724,0.000214684684033041,-1.23208439805419e-06,0.00105255943065458,0.000682962101942423,-0.00259264316362157,0.000656475749986127,-0.000450783237447844,0.00124415121152593
"T+13",0.000840091477060837,-0.00219019383944906,0.000214686209677927,-1.61512890653111e-06,0.00104084460203839,0.000682175606750007,0.00242967594982175,0.000656475765482129,-0.000450783239989834,0.00124404263101033
"T+14",0.000840091477023049,-0.00218954416081022,0.000214685253090228,-1.53905126483267e-06,0.00102948161595532,0.000681846057146445,-0.0025394064810725,0.000656475767280407,-0.000450783239991563,0.00124405003466184
"T+15",0.000840091477029643,-0.00218909549446527,0.000214685632040412,-1.49567181080048e-06,0.00101845990518562,0.000681708714324995,0.00237700357746843,0.000656475767944833,-0.000450783240064598,0.00124403379263426
"T+16",0.000840091477028475,-0.00218878564667739,0.000214685507152847,-1.52130282093855e-06,0.00100776921988489,0.000681651717766759,-0.00248729243687729,0.00065647576801631,-0.000450783240065729,0.00124403438505187
"T+17",0.000840091477028685,-0.00218857166661683,0.00021468554374779,-1.52126555678898e-06,0.000997399618051973,0.000681628144070928,0.00232544194317978,0.000656475768044868,-0.000450783240067844,0.00124403193862931
"T+18",0.000840091477028646,-0.00218842389255452,0.000214685534016608,-1.51689277618558e-06,0.000987341456283254,0.000681618420269304,-0.00243627735693496,0.000656475768047683,-0.000450783240067908,0.00124403194849997
"T+19",0.000840091477028653,-0.002188321840179,0.000214685536361753,-1.51817124346484e-06,0.000977585380804581,0.000681614418029698,0.00227496762409734,0.000656475768048914,-0.000450783240067969,0.00124403157741513
"T+20",0.000840091477028652,-0.00218825136307913,0.000214685535861932,-1.5185471901306e-06,0.000968122318772553,0.000681612773621397,-0.00238633806663651,0.000656475768049023,-0.000450783240067972,0.00124403156676853
"T+21",0.000840091477028652,-0.00218820269178087,0.000214685535949034,-1.51821916901763e-06,0.00095894346983706,0.000681612098938293,0.00222555769126715,0.000656475768049076,-0.000450783240067974,0.0012440315100832
