"","WMT","GS","CAT","AXP","RTX","DD","UNH","NKE","MMM","TRV"
"T+1",-0.0012342590714117,0.00169826827284367,0.00239865103551386,-0.000531668251831252,0.000412141399969939,0.000537132632116419,0.00718614124499071,0.00413042871178176,-0.000785216547386782,0.00253529123160564
"T+2",-0.000149751291814754,0.000702473717498558,-0.00117716703647706,-8.58816886861737e-05,-0.00167109775513835,-0.000387516113546572,0.0052416049190537,0.00376053705720259,-0.000824451425756037,-0.000890974810444928
"T+3",-0.000247847881443916,0.00123607076524852,-0.000194861084016451,-0.000568328801917798,-0.000814514468981615,0.000680308430493504,0.00511571463749459,0.00317584274845648,-0.000250886404817338,0.000334282712840615
"T+4",-0.000186311581447442,0.00118114356367746,-0.000608279393813765,-0.000260261558831349,-0.000655950935334362,0.00063950425125954,0.00489257921031732,0.00274457960051822,-5.66025752688331e-05,0.000374097892349859
"T+5",-0.000185383213047876,0.00120420485556167,-0.000512161677155641,-0.000467083877272121,-0.000465418278157964,0.000732755697711898,0.00469099575556294,0.00243197073916924,0.000127400822458065,0.000553741191006978
"T+6",-0.000181090659880503,0.00120135085501357,-0.000562080359131099,-0.000329041370379958,-0.000349449412242693,0.000732739625183949,0.00450249390771209,0.00220550138257818,0.000231392431265022,0.000631922681027463
"T+7",-0.000180498264659604,0.0012023607735236,-0.000553825970737884,-0.000421238676984955,-0.000266664650499298,0.000741020362021045,0.00432663770474074,0.0020414389276041,0.000305108812362476,0.000687606269452422
"T+8",-0.000180133762792168,0.0012022176753066,-0.000560260843888702,-0.000359665663847696,-0.000210169170367969,0.000741339291150085,0.00416255302521485,0.00192258632836087,0.000352038450376295,0.000720625407468775
"T+9",-0.000180048590750641,0.00120226240207286,-0.000559813067385909,-0.000400786921177134,-0.000171141786474714,0.000742087014938358,0.00400945351703775,0.00183648533686873,0.000383428087392036,0.000741449140089262
"T+10",-0.000180013339031827,0.00120225539020852,-0.000560717478685469,-0.000373324303696861,-0.000144271335468991,0.000742144265155499,0.00386660364190905,0.00177411075879694,0.000403944867571482,0.000754301803272465
"T+11",-0.000180003208911071,0.00120225738964657,-0.000560760691649728,-0.000391665071819613,-0.000125754081547559,0.000742212882917452,0.00373331721859361,0.00172892442676854,0.000417499105392362,0.000762293858815045
"T+12",-0.000179999566203516,0.00120225705136366,-0.000560900707849221,-0.000379416284130564,-0.000112996453979031,0.000742220621735771,0.00360895399684949,0.00169618986302,0.000426409185456251,0.000767250680687497
"T+13",-0.000179998429186292,0.00120225714143015,-0.000560924166395455,-0.000387596574022113,-0.000104206373444577,0.00074222701484805,0.0034929165900787,0.00167247579693618,0.000432279898865207,0.000770327742038802
"T+14",-0.000179998041642878,0.0012022571252863,-0.000560947881248922,-0.000382133409470895,-9.81500689975469e-05,0.000742227949437451,0.00338464760523377,0.00165529649573798,0.000436143872550719,0.000772237307536341
"T+15",-0.000179997916651696,0.0012022571293684,-0.000560954259366787,-0.000385781955831717,-9.39772960457349e-05,0.000742228553345442,0.0032836269653767,0.00164285120741773,0.000438688322537314,0.000773422474489775
"T+16",-0.000179997874925006,0.00120225712860393,-0.00056095856832803,-0.000383345292900876,-9.11022738223271e-05,0.000742228659706657,0.0031893694114544,0.00163383540406303,0.000440363470202547,0.000774158018010498
"T+17",-0.000179997861292825,0.00120225712878985,-0.000560960042482518,-0.000384972605712984,-8.91213953934005e-05,0.000742228717452559,0.00310142217132619,0.00162730403990023,0.00044146642827358,0.000774614520136017
"T+18",-0.000179997856778615,0.00120225712875385,-0.000560960863736589,-0.000383885813217012,-8.77565784850992e-05,0.000742228729132166,0.00301936278484408,0.00162257249062516,0.000442192606459975,0.000774897838873375
"T+19",-0.000179997855296348,0.00120225712876235,-0.000560961183222382,-0.000384611621998528,-8.68162253473625e-05,0.000742228734712241,0.00294279707453863,0.00161914479037995,0.000442670727088565,0.00077507367514317
"T+20",-0.000179997854807056,0.00120225712876067,-0.000560961344429629,-0.000384126894334988,-8.61683259760951e-05,0.000742228735965345,0.00287135725216247,0.00161666164410205,0.000442985521546773,0.000775182804449345
"T+21",-0.000179997854646076,0.00120225712876106,-0.000560961411630578,-0.000384450617213223,-8.57219260234242e-05,0.000742228736509373,0.00280470015199613,0.00161486276584658,0.000443192783149383,0.000775250533409287
