"","MRK","KO","IBM","UNH","RTX","CAT","AXP","DD","MMM","TRV"
"T+1",0.00257875402538924,7.47051550007913e-06,0.000756362739120343,0.00139287192588119,0.000744650595792169,0.00108534165073123,0.00172409568312756,-0.00140137102692961,0.000730181235414083,0.000513059665707721
"T+2",0.00202316966467567,0.000327701593983377,0.00106600578561952,0.00131818788459225,0.000388855898137634,0.00159772548535788,0.00167853274601346,-0.00128872285184775,0.000761131284469643,0.000566936317233102
"T+3",0.00175295099832404,0.000132010758753687,0.00108216661347937,0.00131976650412353,0.000404915448645321,0.00162231683380246,0.00168263217617091,-0.00116277888407367,0.000755406420845859,0.000543151468674303
"T+4",0.00153049140986811,4.0891667121372e-05,0.00107764946625857,0.0013205358091986,0.000406362720461402,0.00161105285446577,0.0016930468113916,-0.00104545791685561,0.000756429112862516,0.00053878764174076
"T+5",0.00135265420932634,2.89276609183248e-05,0.00107191884672068,0.00132126341001512,0.000408260384022496,0.00159793009776399,0.00170428937366196,-0.000935947444561153,0.000756281483325464,0.000535335482155709
"T+6",0.00121030615175967,3.31371584766964e-05,0.00106635226866361,0.00132194484544643,0.000410028462857363,0.00158545610010744,0.00171566530504202,-0.000833730014318189,0.000756267666657199,0.000533742642846682
"T+7",0.00109637150670507,3.55456486492299e-05,0.00106103646221142,0.00132258311064033,0.00041169597488083,0.00157376911400229,0.00172708676295805,-0.000738319904640828,0.000756309922591502,0.000532894403599801
"T+8",0.00100517858008893,3.59469738319446e-05,0.0010559665385955,0.00132318093985928,0.000413267845295384,0.00156283211935972,0.00173854270976563,-0.000649263772296781,0.000756263963611761,0.000532462025620406
"T+9",0.000932188060512756,3.58630245153393e-05,0.00105113158140671,0.00132374089484757,0.000414749590662682,0.00155259793763509,0.00175003183086883,-0.000566138464766485,0.00075630907730997,0.000532238767445256
"T+10",0.000873766687585142,3.58006150254299e-05,0.00104652073370663,0.00132426537504848,0.000416146377202911,0.00154302147760375,0.00176155404275986,-0.000488549010002065,0.000756265595132531,0.000532123929979067
"T+11",0.000827006411951773,3.57879956377954e-05,0.00104212360992181,0.00132475662789363,0.000417463076246911,0.00153406047476499,0.00177310941801421,-0.000416126739703145,0.000756307358615503,0.000532064793569947
"T+12",0.000789579640416656,3.57894581869098e-05,0.0010379303035994,0.00132521675843325,0.000418704279766548,0.00152567537549886,0.00178469804920537,-0.000348527537579932,0.000756267273034765,0.000532034351151334
"T+13",0.000759623375006158,3.5791042678653e-05,0.00103393136731243,0.00132564773835648,0.00041987431644598,0.00151782916780389,0.00179632003167842,-0.000285430204275772,0.000756305743067988,0.000532018678333883
"T+14",0.000735646478241172,3.57914221580649e-05,0.00103011779153378,0.0013260514144402,0.000420977266775684,0.00151048721832669,0.00180797546136991,-0.000226534931180098,0.000756268824414665,0.000532010609662896
"T+15",0.000716455448565045,3.57914039967936e-05,0.00102648098434915,0.00132642951646254,0.000422016977283208,0.00150361711951971,0.00181966443453267,-0.000171561875880068,0.000756304254074707,0.00053200645571736
"T+16",0.000701095011239068,3.57913646385361e-05,0.00102301275210051,0.00132678366461514,0.000422997073947893,0.00149718854659586,0.0018313870477016,-0.000120249832482104,0.000756270253387055,0.000532004317172118
"T+17",0.000688800567489717,3.5791353607222e-05,0.00101970528092598,0.00132711537644577,0.000423920974846436,0.00149117312367423,0.00184314339769009,-7.2354990485335e-05,0.000756302882730458,0.000532003216199728
"T+18",0.000678960134961776,3.57913535430055e-05,0.00101655111915535,0.00132742607336108,0.000424791902073398,0.00148554429852834,0.0018549335815902,-2.76497763097009e-05,0.000756271569422239,0.000532002649393894
"T+19",0.000671083884981611,3.57913544970233e-05,0.00101354316052158,0.00132771708671746,0.000425612892978224,0.00148027722538387,0.00186675769677345,1.40782280258004e-05,0.000756301619774542,0.000532002357589233
"T+20",0.000664779760282426,3.57913548089825e-05,0.00101067462815058,0.00132798966352598,0.000426386810757964,0.00147534865524888,0.00187861584089158,5.30272942126402e-05,0.000756272781439544,0.000532002207361494
"T+21",0.00065973395951138,3.57913548248474e-05,0.00100793905929299,0.00132824497179592,0.000427116354442649,0.00147073683329213,0.00189050811187736,8.93824897458273e-05,0.00075630045664138,0.000532002130020805
