"","MRK","MCD","VZ","BA","T","RTX","MMM","DD","MDLZ","TRV"
"T+1",0.000337301699315461,0.00163587138454799,0.0015816077981034,0.00139238582862585,0.000748620302580925,0.000722662931725668,7.12075741350173e-05,0.00221234124631131,0.00188038793949412,0.000563163562554415
"T+2",0.000307360065388596,0.00120942139080583,0.0017779582024214,0.00113644691153345,0.000819990521528035,0.00227048177287792,0.000144862580215245,0.00217135756025054,-6.9834509215854e-05,0.000227270783934071
"T+3",0.000373114132323543,0.00111176818586666,0.00168348749510509,0.00114141142904779,0.000808480826578249,0.000437444315527408,0.000300900465986794,0.00204825636399559,0.00187857546242006,0.00104641472821011
"T+4",0.000306986967334461,0.00114684471379045,0.00161575595441166,0.00116694851789062,0.00080407923151781,0.00223144836513175,0.000242785476309553,0.00195569217321685,-6.5097433399903e-05,0.000333562962616325
"T+5",0.000370994691960167,0.00115223097627782,0.00155395067914581,0.00118665326678973,0.000799454226912343,0.000503159316661752,0.000276395165341563,0.00188765460125902,0.00187373016558073,0.000848404815326704
"T+6",0.000309212095742825,0.0011494677363001,0.00149859321106255,0.00120002368355077,0.000795177632851874,0.00216570974422805,0.000259052822354601,0.00183768014483695,-6.02593083544685e-05,0.000500852780471144
"T+7",0.000368834362586875,0.00114920881262107,0.00144894671378736,0.00120889518954595,0.000791181128586682,0.000566615630501401,0.000268237604711763,0.0018009740889952,0.0018689039124361,0.0007287400655883
"T+8",0.000311297795988884,0.00114941887470572,0.00140442604696623,0.00121475658215152,0.000787449819563939,0.00210465582235229,0.000263403058676125,0.00177401364374129,-5.54450908393962e-05,0.000581313584285848
"T+9",0.00036682155807812,0.00114942776378284,0.0013645017329668,0.00121862601229601,0.000783965828433871,0.000625340257361752,0.00026595147062073,0.00175421130933901,0.00186410170843988,0.000676077672845416
"T+10",0.000313240191248069,0.00114941229207111,0.00132869925617749,0.00122118003037627,0.000780712785243289,0.00204817322923277,0.000264608593586687,0.00173966657746174,-5.06548707070891e-05,0.000615353253541319
"T+11",0.000364947113547011,0.00114941236741039,0.00129659307185787,0.0012228657583599,0.000777675378994988,0.000679666270560039,0.000265316274453529,0.00172898353267119,0.00185932344227912,0.000654206352864425
"T+12",0.000315049061846328,0.00114941347331875,0.00126780157021434,0.00122397838235283,0.000774839315749152,0.00199592146785849,0.000264943341691585,0.00172113688091027,-4.58885286873463e-05,0.000629365497721063
"T+13",0.000363201522923682,0.00114941341697193,0.00124198253925248,0.00122471274206086,0.000772191248907311,0.00072992297711067,0.000265139870186839,0.00171537354797811,0.00185456899464378,0.000645241822323594
"T+14",0.000316733586225309,0.00114941334026988,0.00121882909737731,0.00122519743775549,0.000769718716601711,0.00194758364189034,0.000265036303502589,0.00171114040402079,-4.11459457540205e-05,0.000635096725174131
"T+15",0.000361575928500085,0.00114941334784351,0.00119806604583368,0.00122551734897005,0.000767410083033307,0.000776415188383996,0.000265090881138627,0.00170803117747179,0.00184983824680416,0.000641578957539843
"T+16",0.000318302312248505,0.00114941335299444,0.00117944659773057,0.0012257284983272,0.000765254483714718,0.00190286657682277,0.00026506211978349,0.00170574746356306,-3.6427003473692e-05,0.000637437297859904
"T+17",0.00036006208144197,0.0011494133522141,0.0011627494447646,0.00122586786215353,0.000763241774341563,0.000819424885137246,0.000265077276459748,0.0017040700852393,0.0018451310806224,0.000640083451858004
"T+18",0.000319763200180161,0.00114941335188071,0.00114777612677873,0.00122595984574443,0.000761362483053126,0.0018614990583595,0.000265069289185387,0.00170283805786921,-3.17315840033034e-05,0.000638392811037048
"T+19",0.000358652299960136,0.00114941335195202,0.00113434867289106,0.00122602055720174,0.00075960776585754,0.000859212926276599,0.000265073498324032,0.00170193313891376,0.00184044737854952,0.000639472964329691
"T+20",0.000321123663076361,0.00114941335197264,0.00112230748615639,0.00122606062827325,0.000757969365011735,0.00182323018760013,0.000265071280189619,0.00170126847972206,-2.70595700872167e-05,0.000638782854265559
"T+21",0.000357339430330492,0.00114941335196658,0.00111150944661799,0.00122608707617688,0.0007564395701603,0.000896020630985356,0.000265072449103425,0.00170078029032295,0.00183578702362249,0.000639223765129813
