"","MRK","CVX","MCD","KO","CAT","DD","MMM","RTX","AXP","TRV"
"T+1",0.000809260307725133,-0.000703377282508788,0.00235354156810792,0.00143066767256556,0.000646265430846886,0.00230795303495957,0.000449382409861033,0.00118108343704129,0.00111820809560698,0.000360220175804543
"T+2",0.00096585189652931,0.00131857163893414,0.00216408111911075,0.00101284234077529,0.000893902487926767,0.00194587928462076,0.00170913151627885,0.000905087071201573,0.00100896838380663,0.000977166424244428
"T+3",-0.000355793390549017,-0.00020667344147328,0.00177966731806672,0.000879630065620226,0.00116638070132304,0.00188762326558357,0.000734723396090747,0.000911332111048501,0.00102380922406399,0.000432787725114331
"T+4",0.00110729108789368,0.000826836632459062,0.00161879972601131,0.000805668926966949,0.00138433190071933,0.00182126579091695,0.00166699732305607,0.000903976415641653,0.00103455147076807,0.000857906241540271
"T+5",-0.000314842501632165,0.00013126033064846,0.00156294016630302,0.00075163568977273,0.00155963248531724,0.00176022886336438,0.00078999091031864,0.000897500128673447,0.00104441023639141,0.000529166766903017
"T+6",0.00103679314986958,0.000599186305488699,0.00154457196884597,0.000709093877722955,0.00170061306462527,0.00170356121361633,0.00161601876130656,0.000891187726046984,0.00105339433955999,0.000783161838756989
"T+7",-0.000242407487220159,0.000284414221615906,0.00153864322057933,0.000675048302650251,0.00181399299423347,0.00165097350161049,0.000838075919204682,0.000885067981060692,0.00106158292277396,0.000586931238374414
"T+8",0.000967256877736202,0.000496159808027447,0.00153674228807717,0.000647710200919135,0.00190517582188185,0.00160217094469116,0.001570737688414,0.000879133409872308,0.00106904638978138,0.000738533400609529
"T+9",-0.000176472463159167,0.000353719644449379,0.00153613427094277,0.000625743018091809,0.00197850721390262,0.0015568811410897,0.000880721684134156,0.000873378487972668,0.00107584895205632,0.000621409961300802
"T+10",0.00090488326196316,0.000449538406735815,0.00153593996856854,0.000608089101936128,0.00203748205811719,0.00151485124473036,0.00153057421199016,0.000867797773233843,0.00108204913399489,0.000711896133598766
"T+11",-0.000117494497313392,0.000385081620323465,0.00153587789622003,0.000593901137432349,0.00208491102617972,0.00147584661138174,0.000918547383243107,0.000862385992421655,0.00108770027756716,0.000641989141530468
"T+12",0.000849120923443326,0.000428441367572237,0.00153585806881327,0.000582498596622336,0.00212305452687796,0.00143964948613023,0.00149495021791658,0.000857138031724634,0.00109285100120572,0.000695997255854966
"T+13",-6.47733421897603e-05,0.00039927348958582,0.00153585173574172,0.000573334626022173,0.00215373043455527,0.00140605778781183,0.000952097826142738,0.000852048932141554,0.00109754561808484,0.000654272153308058
"T+14",0.00079927525086623,0.000418894570431821,0.00153584971292851,0.000565969743176696,0.00217840072686198,0.00137488398082926,0.00146335263185828,0.000847113884784715,0.00110182451735966,0.00068650775724129
"T+15",-1.76463486177064e-05,0.000405695570705321,0.00153584906683622,0.000560050747544084,0.00219824116088926,0.00134595402817919,0.000981856224495832,0.00084232822633637,0.00110572451164577,0.000661603464680912
"T+16",0.000754718659609889,0.000414574469637928,0.00153584886047296,0.000555293779866586,0.00221419730836806,0.00131910641983917,0.00143532636836757,0.000837687434642147,0.00110927915372887,0.000680843798729485
"T+17",2.4480034341521e-05,0.000408601680192591,0.00153584879456015,0.000551470708701359,0.00222702962050473,0.00129419127109014,0.00100825117478619,0.000833187124437891,0.0011125190252292,0.000665979274736154
"T+18",0.000714889936555216,0.000412619544798226,0.00153584877350748,0.000548398189791994,0.00223734967019039,0.00127106948574061,0.00141046777810057,0.000828823043205859,0.00111547199970405,0.00067746317480725
"T+19",6.21364165748659e-05,0.000409916748033505,0.00153584876678322,0.000545928873359946,0.00224564929884501,0.001249611979581,0.00103166283130628,0.00082459106715635,0.00111816348245212,0.000668591046718784
"T+20",0.000679287411193659,0.000411734905455022,0.00153584876463548,0.000543944337602297,0.00225232405700052,0.00122969895973285,0.00138841883424947,0.000820487197330975,0.00112061662908271,0.000675445395531542
"T+21",9.57971066599087e-05,0.000410511840349807,0.00153584876394949,0.000542349409499002,0.00225769205577353,0.00121121925586964,0.00105242838134464,0.000816507555823888,0.00112285254473012,0.000670149924458707
