"","GS","IBM","AMGN","HON","AXP","CAT","MMM","WBA","DOW","TRV"
"T+1",0.00381063772122234,-0.00376305576464282,0.00327580912465735,0.00330011298946621,0.00502638991950811,0.00459459446187916,-0.00515348941611572,-0.00121681278786019,0.00494927892027667,0.00386736298132482
"T+2",-0.00151320759133081,-0.00341616404124828,0.000860335296393095,-0.00519269878792279,-0.00139832716426098,0.001026641607241,0.00058639074391634,-0.000491209199880233,-0.00219788797982463,-0.00363251369886791
"T+3",0.0025141410644016,-0.00326260631416689,-1.51692556194994e-05,0.00205552796054412,0.00289428662706555,0.00295203463352011,0.00134747385104726,-0.000325360994407344,0.00447866648470042,0.00181169124092758
"T+4",0.000893070149870095,-0.00312570519208566,0.0011277213490116,-0.000568909435615431,0.00057437986582991,0.00204666708058815,0.0013619447654529,-0.000333856552787315,0.000879927281261464,-0.00025291067848349
"T+5",0.00187223961881979,-0.00299685157518672,8.93878383146197e-05,0.000945472687287134,0.00186463057052567,0.00248236102827594,0.00128069931325525,-0.000323440306400582,0.00300105665089261,0.00086273655193217
"T+6",0.00142147800195834,-0.0028752390738109,0.00099360536894043,0.000282239377729191,0.00115003925478464,0.0022735433180743,0.00120072818070894,-0.000326632044537436,0.00177245285130933,0.000372128249398559
"T+7",0.00166936104257343,-0.00276044529130714,0.000211029513188565,0.000622046357902612,0.00154604777126596,0.00237369601874692,0.00113395153348318,-0.000325269916982312,0.00248644107853449,0.000614455138211242
"T+8",0.00154824848914711,-0.00265208719122647,0.000887700871001632,0.00046317579314173,0.00132660907911289,0.00232566698836086,0.00107970921302278,-0.000325789597659813,0.00207177650889184,0.000502496557646816
"T+9",0.00161221508693265,-0.00254980393683884,0.000302683715775819,0.000541470963692351,0.00144820735149293,0.00234870019772463,0.00103587560061437,-0.000325584228618951,0.00231263104357289,0.000556226684009872
"T+10",0.00158013097230346,-0.00245325495446872,0.00080845048362588,0.000504047035785878,0.00138082583140599,0.00233765423859761,0.00100048830576071,-0.000325664472106834,0.00217273584060006,0.000530995925387728
"T+11",0.00159678168492764,-0.00236211876546324,0.000371199691857902,0.000522253790470375,0.00141816411236841,0.0023429515157896,0.000971925214206061,-0.000325633004889051,0.00225399132863787,0.000542991814669265
"T+12",0.00158833333526905,-0.00227609191419183,0.000749216153101719,0.000513486322247245,0.00139747376329855,0.00234041111689419,0.000948871161937643,-0.000325645330332795,0.00220679565115468,0.000537328719880208
"T+13",0.00159268434248235,-0.00219488795755895,0.000422409575723724,0.00051773334141784,0.00140893895494608,0.00234162940818726,0.000930263735742314,-0.000325640500764978,0.00223420835123474,0.000540013039181613
"T+14",0.00159046553026262,-0.00211823651123283,0.00070494366831624,0.000515683087246409,0.00140258572141849,0.00234104515597705,0.000915245298118801,-0.000325642392944123,0.00221828621295316,0.000538743606773464
"T+15",0.0015916044307325,-0.00204588234934823,0.000460684467698298,0.000516674811939426,0.00140610625360859,0.0023413253440136,0.000903123610341686,-0.000325641651577894,0.00222753428002288,0.000539344723646774
"T+16",0.00159102235980039,-0.00197758455468236,0.000671853875695804,0.000516195655933591,0.00140415541285207,0.00234119097509818,0.000893339949018192,-0.000325641942045725,0.00222216271855791,0.000539060290367362
"T+17",0.00159132069603641,-0.00191311571647425,0.00048929158629358,0.000516427315716,0.0014052364368143,0.00234125541398591,0.000885443356584334,-0.000325641828239771,0.00222528268647774,0.000539194935033183
"T+18",0.00159116807445812,-0.00185226117321649,0.000647122163305896,0.000516315357036212,0.00140463740647161,0.0023412245112266,0.000879069855919161,-0.000325641872829146,0.00222347051326072,0.000539131212807447
"T+19",0.00159124624952754,-0.00179481829789811,0.000510672893735571,0.000516369477470849,0.00140496934855986,0.00234123933116789,0.000873925673658897,-0.000325641855358943,0.00222452307913732,0.00053916137436843
"T+20",0.00159120624014371,-0.00174059582331857,0.000628637381471177,0.000516343319201008,0.00140478540871224,0.0023412322240142,0.000869773699333446,-0.000325641862203801,0.0022239117165401,0.000539147099181774
"T+21",0.00159122672782038,-0.00168941320522652,0.000526653542271864,0.000516355963333031,0.00140488733573125,0.00234123563237005,0.000866422556250484,-0.000325641859521973,0.00222426681471836,0.000539153855805114
