"","NKE","GS","RTX","IBM","AXP","MMM","CAT","WBA","TRV","DOW"
"T+1",0.00373764284728375,0.000184022293947507,-0.00137973276000492,-0.00125118657671326,-0.000624424270652978,-0.000686579798940629,-0.00467375863313619,-0.00179229437145961,-0.0001268627525645,-0.0055116039342569
"T+2",0.00319152238430025,0.000826528083924917,0.000180775092331284,-7.57332475330507e-05,0.00121951213185055,-5.42488399147184e-05,-0.000918236378666396,-0.00177200539229634,-0.00278114877475078,0.00224952402876928
"T+3",0.00300272390394129,0.00105610928893752,0.000672628029701323,2.17177877902592e-05,0.000140499316215914,-3.58085659083902e-05,0.000442651337363003,-0.00165974007104195,-0.000775060559675935,-0.000444493351432363
"T+4",0.00285886971117396,0.00102154317279881,0.00063811345732548,0.000125484406611059,0.00086503514954232,-5.54103672683893e-05,0.000381776354650739,-0.00156763536183917,-0.00139430264119588,0.00190628707010662
"T+5",0.00273086469250245,0.00104368881818455,0.000689825701053354,0.000151423121305416,0.000380042378405542,-7.61767276909258e-05,0.000557336213317694,-0.00149467063251383,-0.0010544620312305,0.000358520949383461
"T+6",0.00261500881529805,0.00103534235523545,0.00066992010132531,0.000163724222226245,0.000704710414658504,-9.58191241471658e-05,0.000487832105224724,-0.00143695462491258,-0.00118061333308818,0.00144881818996084
"T+7",0.00250997129073324,0.00103896142755206,0.000680731996619982,0.000167853058120364,0.00048736865039374,-0.000114264323314283,0.000532470964560603,-0.00139130350275951,-0.00112000620137844,0.000694135575968343
"T+8",0.00241472603779332,0.00103745738566788,0.000675530089567168,0.000169502241867528,0.000632863243772708,-0.000131576755408053,0.00050869095149094,-0.00135519533842032,-0.00114447307443673,0.0012188535025102
"T+9",0.00232835873989478,0.00103809025443474,0.000678134079761539,0.000170103498270115,0.000535465135495946,-0.000147825438804051,0.000522219633171082,-0.00132663526561259,-0.00113338301701109,0.000854443690679071
"T+10",0.00225004174275867,0.00103782493208369,0.000676847806065114,0.000170333245056295,0.000600666125276456,-0.000163075699542667,0.000514705659781179,-0.0013040454228617,-0.00113803335720707,0.00110759574295783
"T+11",0.00217902466609582,0.00103793628551519,0.000677486000232935,0.000170418915609606,0.000557018777873393,-0.000177388884818147,0.00051891528991188,-0.0012861777865,-0.00113597929935808,0.000931746586981938
"T+12",0.00211462708394741,0.00103788956637243,0.000677169823943863,0.000170451267514317,0.00058623752043753,-0.000190822574512555,0.000516564272150107,-0.00127204522113993,-0.00113685548721957,0.00105390051957392
"T+13",0.00205623199381099,0.0010379091695723,0.000677326542445772,0.000170463404830631,0.000566677685354187,-0.000203430810568979,0.000517878772145944,-0.00126086694329649,-0.00113647291755827,0.000969046486901494
"T+14",0.00200327990401517,0.00103790094436171,0.000677248874886273,0.000170467973809669,0.000579771580399389,-0.000215264314249853,0.000517144111194954,-0.00125202538535131,-0.00113663736843914,0.00102799027813209
"T+15",0.00195526347305776,0.00103790439556575,0.000677287367990324,0.000170469690736765,0.000571006164600931,-0.000226370690172552,0.000517554766880746,-0.00124503207672248,-0.00113656593447833,0.000987045030167582
"T+16",0.0019117226486865,0.0010379029474836,0.000677268290631993,0.000170470336510337,0.000576873976573963,-0.000236794617815863,0.000517325233750721,-0.00123950065727341,-0.00113659674720973,0.00101548760967707
"T+17",0.00187224026007226,0.00103790355508123,0.0006772777455159,0.000170470579285143,0.000572945900810927,-0.000246578031259568,0.000517453532187458,-0.00123512553202934,-0.00113658339377713,0.0009957299979307
"T+18",0.00183643802083596,0.00103790330014072,0.000677273059613091,0.000170470670577248,0.000575575463460696,-0.00025576028787969,0.000517381819781402,-0.00123166498793617,-0.00113658916265343,0.00100945460486694
"T+19",0.00180397290463296,0.00103790340711064,0.000677275381979006,0.000170470704902028,0.000573815161433396,-0.000264378326678002,0.000517421903529959,-0.00122892783991121,-0.00113658666516726,0.000999920819219511
"T+20",0.00177453385856888,0.00103790336222737,0.000677274230998622,0.000170470717808598,0.000574993556337806,-0.000272466816882737,0.000517399498683904,-0.00122676286841864,-0.00113658774486743,0.00100654345469646
"T+21",0.00174783882295762,0.00103790338105984,0.000677274801432392,0.000170470722661473,0.000574204706169366,-0.000280058297418296,0.000517412021896233,-0.00122505046502614,-0.0011365872776566,0.00100194304702226
