"","KO","T","MCD","VZ","RTX","MMM","HON","DD","MO"
"T+1",-2.3291957672862e-05,0.00145653296542168,0.000992510849093414,0.00149728749881702,0.00075965535857088,0.0015183007743321,0.00117000192108986,0.00326527792805932,0.00109134291360121
"T+2",-0.000118797184731325,0.00193539399984388,0.00124382509012353,0.000797459524540537,0.000568142296651527,0.00121422083038535,0.00188664633642938,0.00288533552113212,0.000814845601740064
"T+3",-3.56526094470931e-05,0.000733217924332368,0.001331087425222,0.00117214048679037,0.000667709775962885,0.00112058261959326,0.0015453970375243,-0.000414617749191795,0.00105597228493943
"T+4",3.45693949860757e-05,0.00190440438319049,0.00135386797882448,0.000899058226386327,0.000722304613577973,0.00108806062390241,0.00159110897987214,0.0010081521682241,0.000847649242884128
"T+5",8.3442883754367e-05,0.000802449621916391,0.00136005933609073,0.00110008723270055,0.000766205347147558,0.00107706811621776,0.00155291327245414,0.000885441834418505,0.00102772288926873
"T+6",0.000116671132977854,0.0018371384431435,0.00136173148114582,0.000952059725460298,0.000799768120311253,0.00107333056379981,0.00155351790120182,0.000734781499898693,0.000872072233028478
"T+7",0.000139190422965118,0.000865729442083718,0.00136218352783349,0.00106106044052313,0.00082557496408394,0.00107206141303151,0.00154860797386352,0.000814665486782335,0.00100661253899202
"T+8",0.000154445339862606,0.00177772193018599,0.00136230571555535,0.000980797261726509,0.000845404995923024,0.00107163032803747,0.00154799632647213,0.000802870833030135,0.000890319470463292
"T+9",0.000164778623264799,0.000921512110044471,0.00136233874352603,0.00103989942359904,0.000860643603210789,0.00107148391307757,0.0015472681931682,0.00079644645460694,0.000990840111857497
"T+10",0.000171778060672046,0.00172535122704853,0.00136234767112476,0.000996379274124537,0.00087235377557641,0.00107143418359371,0.00154708577387379,0.000800782484833121,0.000903952737814918
"T+11",0.000176519251264728,0.000970679521845937,0.0013623500842934,0.00102842553690551,0.000881352516402916,0.00107141729314662,0.00154696489104934,0.000799893886186898,0.000979055877462728
"T+12",0.000179730778597029,0.00167919117614363,0.00136235073658329,0.00100482812350901,0.000888267643211396,0.00107141155636093,0.00154692402994039,0.000799648220461692,0.000914138717206622
"T+13",0.000181906162051735,0.00101401615922956,0.00136235091290006,0.00102220418769507,0.000893581606615274,0.00107140960788053,0.00154690247343173,0.000799876020320603,0.000970251387269145
"T+14",0.000183379695567217,0.00163850525611684,0.00136235096055925,0.00100940924269306,0.000897665148073743,0.00107140894608554,0.00154689409736499,0.000799816324173919,0.000921749084809767
"T+15",0.000184377818916733,0.00105221349497954,0.00136235097344173,0.00101883085945572,0.000900803165703658,0.00107140872130904,0.00154689010002067,0.000799808815733995,0.000963673187534512
"T+16",0.000185053914988062,0.00160264428855274,0.00136235097692392,0.00101189320849993,0.00090321459087115,0.00107140864496444,0.00154688844231659,0.000799820387722198,0.000927435106038339
"T+17",0.000185511880326598,0.00108588100003935,0.00136235097786517,0.00101700177977775,0.000905067662467368,0.00107140861903425,0.00154688768636819,0.000799816650959556,0.000958758341723195
"T+18",0.000185822091049888,0.00157103608124696,0.0013623509781196,0.00101324005975654,0.000906491664500274,0.00107140861022714,0.00154688736323947,0.0007998165616931,0.000931683368290271
"T+19",0.000186032217635345,0.00111555586805557,0.00136235097818837,0.00101601001964325,0.00090758594590519,0.00107140860723584,0.00154688721892451,0.000799817128114776,0.000955086256605157
"T+20",0.000186174550503298,0.00154317629839812,0.00136235097820696,0.00101397034690558,0.000908426851862819,0.00107140860621985,0.00154688715636596,0.000799816905788499,0.000934857421188719
"T+21",0.000186270962127062,0.00114171158675868,0.00136235097821198,0.00101547226933296,0.000909073050204853,0.00107140860587477,0.00154688712869281,0.000799816917772207,0.000952342689536774
