"","MRK","MCD","DD","NKE","RTX","KO","MMM","WBA","AXP","TRV"
"T+1",0.000563836872101279,-0.00175761082682974,-0.000324651710924127,-0.00241976338127754,0.00031481024284501,-0.00371196720120568,-0.000629959767795047,-0.00245470826996379,0.0135227291809764,-0.00110042136836105
"T+2",0.00150064447959477,-0.00223556104358805,0.00103285142343622,0.00234568183822631,0.000806857282967972,-0.00149791362096622,0.000400803666899845,7.74071881587393e-05,-0.00992236575343629,0.000504477240131983
"T+3",0.00119965473488945,-0.00212225246417306,0.000288864428183237,0.00136198177970475,0.000717293035092604,0.000958616786738559,-0.000540937188838267,0.0013727232311115,0.00722432350065789,-0.000667666977977299
"T+4",0.00137972879332859,-0.00205724549777495,5.78107856162813e-05,0.00110466328148074,0.000761663520760792,0.00116830953404899,0.000232454134973097,0.000741989816964342,-0.00387300357252612,0.000179825512397588
"T+5",0.0012618312907356,-0.00199092861283822,-7.55215419692585e-05,0.0014036941263932,0.000737272162775597,0.000716318916279868,-0.000407534570618515,0.000723624175277532,0.0031527248942199,-0.000432915085039918
"T+6",0.00133968624007604,-0.00192706374265583,-0.000141988049512266,0.00128623141701212,0.000750756622779742,0.000549864278907346,0.000121761200224032,0.000809145498516508,-0.00127610130714447,1.00988708965886e-05
"T+7",0.00128823402849751,-0.00186528211962494,-0.000176080696582379,0.00129985640036843,0.000743299744362161,0.000598230459386979,-0.000316005700775619,0.000791389242579608,0.00151330808439012,-0.000310202029533018
"T+8",0.00132223975289939,-0.0018055374162336,-0.00019346620660545,0.00131187287521949,0.000747423443780097,0.000645886011871355,4.60588876772671e-05,0.000784556776105359,-0.000243244731732472,-7.86231696773924e-05
"T+9",0.00129976459664844,-0.00174776080162763,-0.000202342395890347,0.00130321614549922,0.000745143011028201,0.000648831920206469,-0.000253394535346862,0.0007884501888433,0.000862857419066336,-0.000246055631653307
"T+10",0.0013146189466005,-0.00169188757338919,-0.000206873058793396,0.00130586638663941,0.000746404105305495,0.000639758170351091,-5.72504804355154e-06,0.000788413793420403,0.000166349152466536,-0.000125001277465739
"T+11",0.00130480136308356,-0.00163785501652807,-0.000209185751949654,0.00130587268940172,0.000745706711892755,0.000636678447956472,-0.000210565501699099,0.000787921119405558,0.000604937123876068,-0.00021252407020755
"T+12",0.00131129003117446,-0.00158560249327949,-0.000210366262867967,0.00130543399537689,0.000746092375027494,0.000637720665882167,-4.11477348736093e-05,0.000788041716595311,0.000328760422173336,-0.000149244733410983
"T+13",0.00130700152030637,-0.0015350713626481,-0.000210968854181844,0.00130566729201972,0.000745879100782598,0.000638642482271028,-0.000181268395632388,0.00078807677034043,0.000502667531674139,-0.000194995952493146
"T+14",0.00130983589636148,-0.00148620491555815,-0.000211276446546383,0.0013056147344196,0.000745997042839898,0.000638677364183704,-6.53785457107433e-05,0.000788052997582949,0.000393159082134727,-0.000161917634143614
"T+15",0.00130796259164828,-0.00143894831113677,-0.000211433456892037,0.00130560448728721,0.000745931820108072,0.000638495833194717,-0.000161227774811816,0.000788054077802517,0.000462116012812139,-0.000185833393478201
"T+16",0.0013092007020755,-0.00139324851517398,-0.000211513602731384,0.00130561859396164,0.000745967888706876,0.000638439204424143,-8.19535784479286e-05,0.000788056884156377,0.000418694173617466,-0.000168542201752369
"T+17",0.00130838240624824,-0.00134905424060404,-0.000211554513128463,0.00130561274195747,0.000745947942534993,0.000638461411704529,-0.000147519032318333,0.000788056084837004,0.000446036691626317,-0.000181043804027113
"T+18",0.00130892323689322,-0.00130631588994809,-0.000211575395816843,0.00130561355069677,0.000745958972898966,0.000638479189913911,-9.32916930527356e-05,0.000788055911604109,0.000428819242874332,-0.000172005094497197
"T+19",0.00130856578940687,-0.00126498549965286,-0.000211586055372974,0.00130561407994962,0.000745952873035289,0.000638479426025604,-0.000138141597236096,0.000788056055264831,0.000439660985446476,-0.000178540118422189
"T+20",0.00130880203472079,-0.00122501668626302,-0.000211591496537199,0.00130561366440183,0.00074595624629994,0.000638475806188381,-0.000101047505353687,0.000788056043767654,0.000432833993614309,-0.000173815269420363
"T+21",0.00130864589472686,-0.00118636459436697,-0.000211594273976311,0.0013056137994352,0.000745954380862446,0.000638474772187121,-0.000131726983440312,0.000788056027977763,0.000437132916704055,-0.000177231354555826
