"","NKE","GS","IBM","CAT","MMM","RTX","AXP","WBA","DOW","TRV"
"T+1",0.00510401813454101,0.00357738675313895,0.00191595711908512,0.00842638068599243,-0.0046805631504228,0.0033531701124478,0.00434347728881002,-0.00182658341761461,0.00266167941534286,0.0111583811205719
"T+2",0.00754270093312422,0.000308590083818016,0.000741916538581052,0.00813708188405395,-0.00143298242193702,-0.00475296682009015,0.00163979072394703,-0.00171087018666949,-0.000768814001997075,-0.00863467316521327
"T+3",0.00750342101377347,0.000705220844626418,0.000602953293769585,0.00690940367614271,-0.00126536907610169,0.00318341653055473,0.00164471765147272,-0.00152075490052204,-0.000537343714817333,0.00245143101692016
"T+4",0.00729064564892052,0.000739565174217392,0.000475614093953763,0.00590703374336375,-0.00153611117366229,-0.00111655512659666,0.00155363750715054,-0.00138569319466396,-0.000162764446415131,-0.00284638813784048
"T+5",0.00707222674152964,0.000795899961023214,0.000388475820481871,0.00505533848879768,-0.00159857433655562,0.00154181234236752,0.00148628700457382,-0.00129052537878011,-4.43458733543955e-05,2.00899874584217e-05
"T+6",0.00686017365941156,0.000839924482762187,0.000327829991564327,0.00433303724921241,-0.00158441886082746,-4.54333274291438e-05,0.00143316476706988,-0.001223475775422,-3.23305829923871e-05,-0.00138677248193515
"T+7",0.00665513600874869,0.000876644436085668,0.000285669049559095,0.00372041773710862,-0.00157619523016852,0.000910705295483513,0.0013914222376016,-0.00117623668057126,-3.78936630835786e-05,-0.000641505087731439
"T+8",0.00645694234550543,0.000907039161787966,0.000256356664838337,0.00320082687929998,-0.00157607488876031,0.00033604787932186,0.0013586146984812,-0.00114295487256996,-4.09557149475542e-05,-0.00101334112530576
"T+9",0.00626536864555744,0.000932220114812564,0.000235977332841611,0.00276013782829508,-0.00157681324755822,0.000681629421726802,0.00133282992612901,-0.00111950652439725,-4.16141297897413e-05,-0.000818905617587065
"T+10",0.00608019411486209,0.000953079565052354,0.000221808669842797,0.00238636905424,-0.00157695250298277,0.00047383825492359,0.0013125646164259,-0.00110298623703774,-4.1598332646788e-05,-0.000916901519066311
"T+11",0.00590120502439815,0.000970359356644331,0.000211957954070378,0.00206935846321541,-0.00157690850250507,0.000598783659342894,0.00129663727932208,-0.00109134704213879,-4.15369824439766e-05,-0.000866065434015533
"T+12",0.00572819476177195,0.000984673770731669,0.000205109276720608,0.00180048711334447,-0.00157688800933747,0.000523654380572944,0.00128411933256998,-0.00108314676965274,-4.15157221715876e-05,-0.000891846881259937
"T+13",0.00556096361447693,0.000996531696223463,0.000200347756591426,0.00157244488122901,-0.00157688851500377,0.000568829493612671,0.0012742809653748,-0.00107736935382378,-4.15130673936213e-05,-0.000878537851313523
"T+14",0.00539931854094477,0.00100635468958615,0.000197037325571998,0.00137903171298644,-0.00157689049479027,0.000541665789244515,0.00126654858953197,-0.00107329893619834,-4.15138829111922e-05,-0.000885313393031369
"T+15",0.00524307294782563,0.00101449196442891,0.000194735759425669,0.00121498905605134,-0.00157689079170413,0.000557999272610866,0.00126047139857246,-0.00107043116622366,-4.15144071437775e-05,-0.000881826187967708
"T+16",0.00509204647460442,0.00102123280598371,0.000193135603224003,0.00107585688868733,-0.00157689066045138,0.0005481779807902,0.00125569508522337,-0.00106841070901645,-4.15145314128647e-05,-0.000883605685458069
"T+17",0.00494606478540411,0.00102681685540397,0.000192023099951475,0.000957852460101034,-0.00157689061025948,0.00055408350454869,0.00125194118488345,-0.00106698721711779,-4.15145329604147e-05,-0.000882691512231869
"T+18",0.00480495936774292,0.00103144262915555,0.000191249635754606,0.000857767444322134,-0.00157689061366637,0.000550532524555289,0.00124899084081426,-0.00106598431085563,-4.1514523049063e-05,-0.000883158684363314
"T+19",0.00466856733801365,0.00103527457640215,0.00019071188734648,0.000772880711650596,-0.0015768906188916,0.000552667721946452,0.00124667204453881,-0.00106527772378504,-4.15145192686112e-05,-0.000882918958478032
"T+20",0.00453673125346061,0.00103844892527636,0.000190338019555813,0.000700884346085071,-0.00157689061948391,0.000551383831891633,0.0012448496075481,-0.00106477990528778,-4.15145187123874e-05,-0.000883041575221845
"T+21",0.00440929893043724,0.00104107852587542,0.000190078089218903,0.000639820897280865,-0.0015768906191043,0.000552155832494371,0.0012434172796544,-0.00106442917249556,-4.15145188264093e-05,-0.000882978699251998
