"","IBM","KO","AXP","UNH","DD","NKE","RTX","CAT","MMM","TRV"
"T+1",-0.00318347925636861,-0.000187565695252915,0.00426070137448056,0.000612904378083041,0.000961007433617023,-0.000495560865148755,-0.000474616002457318,0.00682904537647026,-0.00305593823455262,-0.000477451377798037
"T+2",-0.00298848911770288,0.000169519265703906,0.00238433626162536,-0.000841219429128989,0.000868129374262392,0.000138529802414953,-0.00122376073562015,-0.00273157910485103,0.00176586803904771,-0.000643456577176364
"T+3",1.86796434957217e-05,0.000532791864954478,0.0013786233575602,-0.000674309134932807,0.00109458656542483,0.000973576946880055,-0.000868342690188876,0.00151560398994659,-0.000638430274712158,-7.53985541708719e-05
"T+4",-0.000552239037210209,0.000396861549854531,0.000665696912620043,-0.000472522743943901,0.00102176273726024,0.00130914801245984,-0.00115940842821324,-0.00187083597517724,-0.000149384272207853,0.000111978339479944
"T+5",-0.000829879547860253,0.000419431579121201,0.000133302484945515,-0.000310129728189129,0.00104125737512821,0.0014201658195508,-0.000925130912037638,0.000489167294319964,-0.000361071778440143,0.000158162527660582
"T+6",-0.000707053986500838,0.00041998937216966,-0.000267449696174074,-0.0001822979022767,0.00103628229852271,0.00145445780519797,-0.00111377889485905,-0.00119849479821682,-0.000312928476378873,0.000168357801737018
"T+7",-0.000694155442121643,0.000418526739727387,-0.000569464097480726,-8.18222877843182e-05,0.00103753378923109,0.00146474766160199,-0.000961874872775801,2.15541449914074e-06,-0.000331797028615589,0.000170487519338788
"T+8",-0.000712073609022479,0.000418960407139622,-0.000797107014702074,-2.85671240792939e-06,0.00103722039455633,0.00146779506884821,-0.00108419177938611,-0.000852896373111505,-0.000327146945373728,0.000170918661892761
"T+9",-0.000710454785183278,0.000418905690869369,-0.000968696862267146,5.92033033998401e-05,0.00103729876123812,0.0014686920711407,-0.000985699156569976,-0.000244089010771917,-0.000328845037611449,0.000171004292984493
"T+10",-0.000708476624853068,0.00041889840928953,-0.00109803620226001,0.000107977008712533,0.00103727917404674,0.00146895533934032,-0.0010650078720982,-0.00067758486350582,-0.000328401530492714,0.000171021096105007
"T+11",-0.00070904119983112,0.000418903841920173,-0.00119552841508748,0.000146308843150676,0.001037284069008,0.00146903250138337,-0.00100114651701523,-0.000368920489996946,-0.000328555485566265,0.000171024367508079
"T+12",-0.000709189504873578,0.000418902527801106,-0.00126901520045187,0.000176434287150393,0.00103728284578392,0.00146905510211248,-0.00105256927233122,-0.000588700788097485,-0.000328513548194793,0.000171025001117475
"T+13",-0.000709090974956516,0.000418902636636827,-0.00132440739567928,0.000200110231423376,0.00103728315145636,0.0014690617197654,-0.00101116238766909,-0.000432209245058001,-0.000328527584588966,0.000171025123410447
"T+14",-0.000709090064513169,0.000418902676829761,-0.00136616041674471,0.000218717437252996,0.001037283075072,0.00146906365716763,-0.00104450424356319,-0.000543636906228045,-0.000328523642679898,0.000171025146959137
"T+15",-0.000709102724371154,0.000418902657842765,-0.00139763262616645,0.000233341061332931,0.00103728309415963,0.00146906422432568,-0.00101765654991191,-0.000464296366305353,-0.000328524927771369,0.000171025151486506
"T+16",-0.000709100540413322,0.000418902661596084,-0.00142135545964404,0.000244833941198365,0.00103728308938984,0.00146906439035062,-0.00103927498221161,-0.000520789711178753,-0.000328524558803658,0.000171025152355986
"T+17",-0.000709099331699931,0.000418902661482849,-0.0014392370395696,0.0002538663319983,0.00103728309058175,0.00146906443895051,-0.00102186728152912,-0.000480564398664953,-0.0003285246768249,0.000171025152522847
"T+18",-0.000709099828184395,0.000418902661305168,-0.00145271565294589,0.000260964995215699,0.00103728309028391,0.00146906445317687,-0.00103588439613069,-0.000509206281538382,-0.000328524642391691,0.000171025152554854
"T+19",-0.000709099891283815,0.000418902661368156,-0.00146287543856347,0.000266543918956955,0.00103728309035834,0.00146906445734125,-0.00102459746597619,-0.000488812221100996,-0.000328524653255436,0.000171025152560991
"T+20",-0.000709099816864297,0.00041890266135823,-0.00147053358862043,0.000270928461392277,0.00103728309033974,0.00146906445856026,-0.00103368598354444,-0.000503333532530253,-0.000328524650048836,0.000171025152562168
"T+21",-0.000709099822379533,0.000418902661357802,-0.00147630607875972,0.000274374325372273,0.00103728309034438,0.00146906445891709,-0.00102636768260188,-0.000492993831602489,-0.000328524651050513,0.000171025152562393
