"","MRK","CVX","MCD","NKE","DD","KO","RTX","MMM","AXP","TRV"
"T+1",-0.00266316801691783,0.00439849620375631,0.0014334156326859,0.00063323235490859,0.00199878600284553,0.000988372724344782,0.00133440562787852,-0.000554878026858788,-0.00277125477855369,-0.000606186067636439
"T+2",0.00354339382907908,-0.00379848770411484,0.00199792579482048,-3.76229655598879e-05,-0.00325609769666772,0.000789147115544431,0.000188440569756148,0.00234151471994925,0.000566799570354191,-0.000537598959456285
"T+3",-0.000449715632027841,0.00155300017931823,0.000589479898505684,0.0014432338822542,0.00162345745463871,0.000737681731668305,0.0014196223221054,-0.000335889439259514,0.00202734917445603,-0.000438707728792115
"T+4",0.00052973279443272,0.00119180356575305,0.000906500822328439,0.00037532869812999,0.000680918456635065,0.00070571492270061,0.00116831003925447,0.00178950185064354,0.000950401313218932,-0.000347275613661289
"T+5",0.000623033893734515,0.000306707734849407,0.000947933956605803,0.0010784298469762,0.000247788343308587,0.000679131422917208,0.00112649144861587,8.94157903191836e-05,0.00104336096800918,-0.000263827076437919
"T+6",0.000448347429972986,0.000691877321717194,0.000909241367091493,0.000621757690241521,0.000555748140524541,0.000656016448506918,0.00116212770720554,0.00144874905692029,0.00120532997279322,-0.000187701042464605
"T+7",0.000515254336646332,0.00072181923847893,0.000915668539628852,0.000917734015556953,0.000512417341296519,0.000635804587987101,0.00115566110507269,0.000361846970539702,0.00113546033632341,-0.000118256180922601
"T+8",0.000508386371992264,0.000638098936107033,0.000917400930119321,0.000725973109678236,0.000479191488919823,0.00061811914581988,0.00115421564650293,0.00123091624515051,0.00112947544228693,-5.49061618808901e-05
"T+9",0.000502479773164036,0.00066238063631411,0.000916384142791677,0.000850206765434178,0.000498203299759258,0.000602643041777805,0.00115524012563341,0.000536022509793085,0.00114393405582656,2.8839283965496e-06
"T+10",0.000506095116135156,0.000669560744717266,0.000916496390192313,0.000769721824448834,0.000496560899626752,0.000589100139464236,0.00115507693504622,0.00109164829930527,0.00114025042843058,5.56020582706992e-05
"T+11",0.000505247100346418,0.000662389101365213,0.000916556664619502,0.000821864028139087,0.000494133224655214,0.00057724893791063,0.00115502877053297,0.000647378906278497,0.0011388766592402,0.000103693369497179
"T+12",0.000505144980105282,0.000663594332539793,0.000916531091006136,0.000788083686648867,0.00049527979688747,0.000566878118128186,0.0011550580255088,0.00100260952606634,0.00113998685604991,0.000147563935865914
"T+13",0.000505305937123288,0.00066452241266328,0.000916532444003988,0.000809968289698751,0.000495248223130078,0.00055780275944624,0.00115505400860342,0.000718572868993916,0.00113986745091627,0.000187584192008436
"T+14",0.000505246469257949,0.000663961881019571,0.000916534342773279,0.000795790343983937,0.00049507721217074,0.000549861040554643,0.00115505244604027,0.000945683985172637,0.00113970823234208,0.000224092061276667
"T+15",0.000505251805055425,0.000663986540175195,0.000916533729306152,0.000804975529753473,0.000495144588182929,0.000542911353916305,0.00115505327586606,0.000764089610616988,0.00113978192550927,0.000257395809102762
"T+16",0.000505257404709068,0.000664083961740457,0.000916533721898001,0.000799024904796558,0.000495147246405721,0.000536829780766722,0.00115505318026031,0.00090928953488801,0.00113978616162752,0.000287776645933174
"T+17",0.000505254135901161,0.000664044428140167,0.000916533777825483,0.000802880018701217,0.000495135551656362,0.000531507881536066,0.0011550531306017,0.00079319002431727,0.00113977159440918,0.000315491101715622
"T+18",0.000505254867640775,0.000664040108516784,0.000916533763915994,0.000800382482169265,0.000495139392345067,0.000526850762280135,0.00115505315398093,0.000886021314846086,0.0011397756263803,0.000340773191988671
"T+19",0.000505254975898414,0.000664049147514015,0.000916533762614687,0.000802000511852095,0.000495139853732812,0.00052277538264141,0.00115505315181357,0.000811794916656451,0.0011397769050399,0.000363836393863969
"T+20",0.000505254827845248,0.000664046731915322,0.000916533764177845,0.000800952270907058,0.000495139074114547,0.000519209075169558,0.00115505315026136,0.000871145143900098,0.00113977576383721,0.00038487544858595
"T+21",0.000505254880611842,0.000664045882986881,0.000916533763885397,0.000801631374072169,0.00049513928491148,0.000516088249599607,0.00115505315091547,0.000823689662295382,0.00113977591043942,0.000404068005889479
