"","HD","GS","AXP","CAT","UNH","RTX","DD","NKE","MMM","TRV"
"T+1",0.000955702553548729,0.00613411243290186,0.000232133306549905,-0.00165535710090476,0.00504059658061143,0.000190167052178817,-0.000547878182970633,0.000441935261872989,0.000772366575531416,0.00153009187607133
"T+2",0.00233769233087527,0.00588396723590083,5.92833407860841e-07,-3.50040340330257e-05,0.00466153885023096,-0.00104095330043301,-0.000206031597156152,0.00146191119011373,-0.000543274953237113,0.000756695227096004
"T+3",0.00201891946033592,0.00560645995902952,-0.000120669296520908,-0.0016481746477124,0.00405833083481033,-0.000687335579136254,-4.09802807842675e-05,0.00168218863876164,0.000142656159624591,0.000488984477422166
"T+4",0.00160363443690514,0.00534281117321167,-0.000204915408549434,-0.000885206292660994,0.00355905356936561,-0.000616319382618687,-0.000148730565604558,0.00176703118884191,-1.98386863546938e-06,0.000676141190887133
"T+5",0.00134316362081283,0.00509319099951331,-0.000270006899344388,-0.00135708415624222,0.00315024684105198,-0.000575394241718799,-4.2618146824109e-05,0.00181207808940222,4.16484371795845e-05,0.000597307143901946
"T+6",0.00120830251401291,0.00485687261626707,-0.000321864043735986,-0.00109601506677452,0.00281559964771867,-0.000557701432440929,-0.000142069125805409,0.00183829716129232,3.04883808860616e-05,0.000625727644125628
"T+7",0.00114449428101935,0.00463314764464872,-0.000363513331138572,-0.00124697711428688,0.00254166063632843,-0.000549598795387655,-4.8389061551067e-05,0.00185386837134309,3.35562092757767e-05,0.000616212726922329
"T+8",0.00111584258597807,0.00442134499173865,-0.000397033959419099,-0.00116123002777725,0.00231741679465811,-0.000545934659347999,-0.00013658664847222,0.001863154192352,3.27396999915781e-05,0.000619267788034077
"T+9",0.00110340765534564,0.00422082931660937,-0.000424026799331009,-0.00121028528052474,0.00213385294180458,-0.000544273169163395,-5.35461434997446e-05,0.0018686963665717,3.29601519014334e-05,0.000618311931769971
"T+10",0.00109813777283847,0.00403099913545254,-0.000445766034992356,-0.00118230205823334,0.00198358933669887,-0.000543520214769467,-0.000131730666473515,0.00187200472748201,3.29010102048007e-05,0.000618605974057109
"T+11",0.00109594312823449,0.00385128501756735,-0.000463274783443641,-0.00119828343265516,0.00186058499424074,-0.000543178947445654,-5.81181174292361e-05,0.00187397969628229,3.29169215370201e-05,0.000618516552955643
"T+12",0.00109504126109878,0.00368114787725368,-0.00047737642931137,-0.00118916064236818,0.00175989482210683,-0.000543024276468614,-0.000127426042295403,0.00187515868743002,3.29126461974017e-05,0.000618543530796728
"T+13",0.00109467449223539,0.00352007735672503,-0.000488734001166958,-0.00119436926437625,0.00167747081526489,-0.000542954175256965,-6.21710206681589e-05,0.00187586250716783,3.29137956174978e-05,0.000618535437424955
"T+14",0.00109452657414321,0.00336759029519607,-0.000497881480450027,-0.00119139564639555,0.00160999931571431,-0.000542922403468371,-0.000123610139686209,0.00187628266499531,3.29134866745084e-05,0.000618537855699152
"T+15",0.00109446732184759,0.00322322927955262,-0.000505248934578666,-0.00119309334545137,0.00155476779487436,-0.00054290800361984,-6.57637816306246e-05,0.00187653348576696,3.29135697219435e-05,0.00061853713521577
"T+16",0.00109444371919402,0.00308656127225647,-0.000511182742212094,-0.00119212410634098,0.00150955580292794,-0.000542901477212781,-0.000120227471764069,0.00187668321773927,3.29135473989412e-05,0.000618537349421586
"T+17",0.00109443436101115,0.00295717631236929,-0.000515961879313855,-0.00119267746064123,0.00147254570100286,-0.00054289851926572,-6.89486420734641e-05,0.00187677260293426,3.29135533994566e-05,0.000618537285833524
"T+18",0.00109443066513349,0.00283468628579904,-0.000519811035354118,-0.00119236154233726,0.00144224958739371,-0.000542897178642815,-0.00011722885165888,0.00187682596303474,3.2913551786509e-05,0.000618537304688936
"T+19",0.00109442921035376,0.00271872376108008,-0.000522911177056729,-0.00119254190499849,0.00141744948006959,-0.000542896571035668,-7.17719125735719e-05,0.00187685781730684,3.29135522200737e-05,0.000618537299102402
"T+20",0.00109442863934687,0.00260894088719455,-0.000525408056496608,-0.00119243893318982,0.00139714835065008,-0.000542896295651409,-0.000114570676886095,0.00187687683328774,3.29135521035306e-05,0.000618537300756607
"T+21",0.00109442841577151,0.00250500835012902,-0.000527419063584541,-0.00119249772138176,0.00138053004128869,-0.000542896170839694,-7.42746458831869e-05,0.00187688818521969,3.29135521348576e-05,0.000618537300267002
