"","VZ","HPQ","BA","UNH","AXP","RTX","DD","MMM","AA","TRV"
"T+1",0.0011683924966995,0.00173772873965292,0.00223990974191981,-0.00124174223011034,0.000910571038469686,0.00115639520897507,-0.000599873576856418,0.000747877017520008,-0.000328818152057881,0.000849730019976741
"T+2",0.00117873259536188,0.00202334821317384,0.000695841148946473,-0.000180408729230253,0.000751263905420145,0.000536675757645754,-9.34398440073699e-05,0.000749843647611899,-0.000582902992955082,0.00246292625521679
"T+3",0.00117799944588149,0.00167856140684402,0.000542446474558111,0.000107802783633192,0.000947092881438096,0.000673854480422546,-0.000222085250592986,0.000778817937820861,-0.000583898985649209,0.00157331303239965
"T+4",0.0011776513446889,0.00142991979736837,0.000782549160541385,-0.000111264507082706,0.000839475647280082,0.000801294892812439,-0.000197704687026251,0.000801100677202229,-0.000569534062786384,0.0016651247985835
"T+5",0.0011774753354798,0.00121687591099295,0.00070905536658588,-2.20166175484668e-05,0.000895550837522787,0.000871094960275079,-0.000204490931503258,0.000818152465855113,-0.000556308754069802,0.00156868463331935
"T+6",0.00117738638352152,0.00103719894059895,0.000708831929743396,-5.12031997994494e-05,0.000866490144172167,0.000905759629771226,-0.000203359592730941,0.000831200947207398,-0.000545051528561247,0.00156864747821821
"T+7",0.00117734142860485,0.000885458093751782,0.000717561881918567,-4.29007821623231e-05,0.00088154212598041,0.000922531366146974,-0.000203728638686726,0.000841185990163248,-0.000535529523788028,0.00155704507095878
"T+8",0.00117731870909966,0.000757324749793686,0.000714259948800707,-4.49944029626884e-05,0.000873746422973182,0.00093058510169245,-0.000203680010118286,0.000848826809049837,-0.000527479507163961,0.00155570776317051
"T+9",0.00117730722702039,0.000649125026750047,0.000714491912927592,-4.45329577889286e-05,0.000877783937800699,0.000934443900781661,-0.000203701000954551,0.000854673765694447,-0.00052067422826395,0.00155415880351063
"T+10",0.00117730142415879,0.000557757942481956,0.00071479187134996,-4.46160530478072e-05,0.000875692847997828,0.000936291555459185,-0.000203699277224119,0.000859148011519585,-0.000514921240347013,0.00155382003702066
"T+11",0.00117729849148415,0.000480604836472768,0.000714650229948653,-4.46070476802012e-05,0.000876775854857587,0.000937176068794245,-0.000203700545636147,0.00086257182272951,-0.000510057830619905,0.0015535948390241
"T+12",0.00117729700935668,0.000415454440387486,0.000714668946587843,-4.46056888668563e-05,0.000876214949320234,0.000937599480311004,-0.000203700522008648,0.000865191813597098,-0.000505946444694639,0.00155352822823627
"T+13",0.00117729626031286,0.000360439492423245,0.000714678471727108,-4.46070040611607e-05,0.000876505450731883,0.000937802161490838,-0.00020370060441022,0.000867196699884738,-0.000502470797949361,0.00155349349336545
"T+14",0.00117729588175793,0.000313983220762134,0.000714672638793862,-4.46064420370782e-05,0.000876354995682783,0.000937899181640991,-0.000203700608732725,0.000868730891883685,-0.000499532586719551,0.00155348149237619
"T+15",0.00117729569044225,0.000274754151999543,0.000714673742144279,-4.46066303754505e-05,0.000876432918614968,0.000937945623521346,-0.000203700614504498,0.000869904896167191,-0.000497048707929919,0.0015534759364455
"T+16",0.00117729559375432,0.00024162795006914,0.000714674007605588,-4.46065758209413e-05,0.000876392561156733,0.000937967854442075,-0.000203700615203547,0.000870803275287038,-0.000494948908644224,0.00155347385493236
"T+17",0.00117729554488977,0.000213655191883755,0.000714673776618358,-4.46065898209991e-05,0.000876413462891171,0.000937978495995897,-0.000203700615636148,0.000871490738743788,-0.000493173799062143,0.0015534729476459
"T+18",0.0011772955201944,0.000190034156120524,0.000714673833455036,-4.46065866672997e-05,0.000876402637568625,0.000937983589921811,-0.000203700615713408,0.000872016803958267,-0.000491673172764257,0.00155347259309231
"T+19",0.00117729550771375,0.000170087845255142,0.000714673838956634,-4.46065872569805e-05,0.000876408244165942,0.000937986028295129,-0.000203700615747609,0.000872419362970193,-0.000490404586695747,0.00155347244325
"T+20",0.00117729550140622,0.000153244582278599,0.000714673830173738,-4.46065871845417e-05,0.00087640534042489,0.000937987195501821,-0.000203700615755175,0.000872727411770272,-0.00048933216072568,0.00155347238339719
"T+21",0.0011772954982185,0.000139021625982988,0.000714673832875007,-4.46065871791673e-05,0.000876406844316042,0.000937987754223265,-0.000203700615757983,0.000872963138857279,-0.000488425562829154,0.00155347235850111
