"","KO","CAT","T","DIS","MCD","VZ","RTX","MMM","DD"
"T+1",0.00133761761362486,-0.00030155403844405,-0.00217331694309603,0.000808129324899917,0.00108240042687421,0.00148533552993479,-0.000240616383647117,-0.0001774513813572,0.000599807184888586
"T+2",0.0010434822339567,0.000372318083253763,-0.00225004758086418,-0.000410204586558178,0.000790584296488938,4.04358786821832e-05,0.00131186269298122,-0.000164707820155845,-0.000164093287789804
"T+3",0.000919373173974001,0.000208321785321543,-0.00209892293936694,-0.000170405308509025,0.00082451864441423,5.09648339599647e-05,0.00106834760577381,-0.000176030101782503,-0.000495162114852507
"T+4",0.000827465499467122,0.000308721821164586,-0.00196744360986015,-0.000197735946603627,0.000823027829370827,-0.000104509560374507,0.00106926920647444,-0.000187027887807076,-0.000335805621944799
"T+5",0.000760099437852871,0.000262106439087162,-0.00184406223999902,-0.000182618875036611,0.000823445301106293,-8.93906809682548e-05,0.00103806697576525,-0.000197477604688776,-0.000351772473428193
"T+6",0.000710714809329877,0.000285199093248927,-0.0017287067686063,-0.000178459333893278,0.000823461954672796,-0.000107378817423261,0.00101219022943116,-0.000207404209535191,-0.000361140847161996
"T+7",0.000674512057868501,0.000273945793077509,-0.00162083634567997,-0.000174623224765105,0.000823470569715099,-0.0001041429584213,0.000986533275932351,-0.000216833864935533,-0.000357122544102843
"T+8",0.000647972640891939,0.000279452141277815,-0.00151996611895679,-0.000172248497143602,0.000823471703853485,-0.000106357954825197,0.000961758615388893,-0.000225791449108955,-0.000357436483326866
"T+9",0.000628517195524867,0.000276760589863144,-0.0014256417776884,-0.000170628478337651,0.000823471960225377,-0.000105812539620821,0.000937747938204456,-0.000234300595073766,-0.000357697613305195
"T+10",0.000614254849265816,0.00027807658060337,-0.00133743853395757,-0.000169552117160684,0.000823472004620531,-0.000106098513349917,0.00091448964562598,-0.000242383752725251,-0.000357597005499772
"T+11",0.000603799446319486,0.00027743318927374,-0.00125495916429809,-0.000168831949118832,0.000823472013308126,-0.000106014445259475,0.00089195854116942,-0.000250062248062969,-0.000357602556176419
"T+12",0.000596134827274022,0.000277747750014543,-0.00117783222280025,-0.000168350999907007,0.000823472014911934,-0.000106052595322224,0.000870132108337902,-0.000257356339455645,-0.000357609742658125
"T+13",0.000590516068684454,0.000277593958597678,-0.0011057103682155,-0.000168029648358403,0.000823472015216211,-0.000106040171002265,0.000848988278412343,-0.000264285271089344,-0.000357607242374308
"T+14",0.000586397084048612,0.00027766914860222,-0.00103826879970874,-0.000167814962181421,0.000823472015273198,-0.000106045369213945,0.000828505707607365,-0.000270867323739887,-0.000357607319739836
"T+15",0.000583377549722684,0.000277632387543076,-0.000975203794117304,-0.000167671531162697,0.000823472015283936,-0.000106043572633902,0.000808663714940237,-0.000277119863003491,-0.000357607515345957
"T+16",0.000581163997512239,0.000277650360351589,-0.00091623133813344,-0.000167575706344536,0.000823472015285954,-0.000106044290257732,0.000789442266849872,-0.000283059385112855,-0.000357607453699214
"T+17",0.000579541292532106,0.000277641573285919,-0.000861085849250121,-0.000167511686589004,0.000823472015286333,-0.000106044033533173,0.000770821956224424,-0.000288701560459595,-0.000357607454005898
"T+18",0.000578351724271587,0.000277645869360366,-0.000809518979710004,-0.00016746891555698,0.000823472015286405,-0.000106044133385898,0.000752783982907741,-0.000294061274937831,-0.000357607459278222
"T+19",0.000577479678728029,0.000277643768971416,-0.000761298498071083,-0.000167440340603983,0.000823472015286418,-0.000106044096943295,0.000735310134703934,-0.000299152669218018,-0.000357607457771209
"T+20",0.000576840401895181,0.000277644795870227,-0.000716207243352187,-0.00016742124992832,0.000823472015286421,-0.000106044110902051,0.000718382768991133,-0.000303989176054641,-0.000357607457736067
"T+21",0.000576371762531063,0.000277644293810279,-0.000674042147048309,-0.00016740849561506,0.000823472015286421,-0.000106044105748346,0.000701984794908211,-0.000308583555726181,-0.000357607457876926
