"","VZ","AXP","T","HD","BA","RTX","MMM","DD","TRV","MDLZ"
"T+1",0.000302996288542427,0.000878523549601213,-0.000952242694734075,0.00789475118237489,0.00182871430779684,0.00173123827108854,-0.00109932930294002,-0.00667292543063787,-0.000778935707262063,8.86827343516347e-05
"T+2",0.000856972300469465,0.00535115116780576,-0.00217153198670254,-0.00534131275823731,0.00118416202086117,0.00179493883693367,0.00130014368059092,0.00972923578404186,0.00130036713746409,0.00146139158410645
"T+3",0.0007480133625709,0.00205878962799667,0.00192000232831567,0.00666468007485839,0.000898267735133411,0.00167804480935661,-0.000381337714743637,-0.00560785784447807,0.000552042725592853,0.00024818667118218
"T+4",0.000868621796517851,0.00230881838212382,-0.0005183412155657,-0.00406915394445878,0.000967273355419515,0.00160037461932823,0.000924301977800829,0.00890305604119406,0.000821831857113732,0.00114785764743591
"T+5",0.000771532822172286,0.00168412996874042,0.00123327822329264,0.00549821991379985,0.000929455877348879,0.00154354519861805,-9.32956795971536e-05,-0.0048182776956308,0.000724620239407927,0.000475433969322947
"T+6",0.000852064485713969,0.00160877624035541,1.94079455280817e-05,-0.00302396149037136,0.000945978503557471,0.0015022221798831,0.000699907916941518,0.00815680307285068,0.000759654094407718,0.000977819605365539
"T+7",0.000785479613432662,0.00146535463936072,0.000866105245877382,0.00456616995107667,0.000938392099430965,0.00147216295568693,8.16137222177181e-05,-0.00411259392758273,0.000747029027915326,0.000602467036276763
"T+8",0.00084055160995453,0.00142082109511792,0.000276220300336731,-0.00219365047738866,0.000941835084800024,0.00145029777109691,0.000563567877366566,0.00748950053757917,0.000751578772350021,0.000882907829910483
"T+9",0.000795003472866893,0.00138237208562528,0.000687276144595524,0.00382665222237869,0.000940268322691581,0.00143439293602893,0.00018788942064134,-0.00348158431179305,0.000749939172249027,0.000673379379681051
"T+10",0.000832674897837719,0.00136544194354364,0.000400847070768715,-0.00153502818752655,0.000940980847460247,0.00142282368746637,0.000480727030536276,0.00689280999714347,0.000750530039101003,0.000829926402659729
"T+11",0.000801518064928421,0.00135412247470765,0.000600436033127162,0.00324008199868115,0.000940656761921769,0.00141440816397998,0.000252463034466288,-0.00291734631411921,0.000750317107030179,0.000712963907212992
"T+12",0.000827286887804912,0.00134835472034075,0.000461359016350383,-0.00101262875333984,0.000940804164401872,0.00140828667431348,0.000430392542634807,0.00635925952768328,0.000750393841872394,0.000800351230719781
"T+13",0.000805974316291684,0.00134486340889502,0.000558270293656437,0.00277483327479923,0.00094073712142338,0.00140383387517405,0.00029169826573542,-0.00241281435307287,0.000750366188754364,0.000735060692239782
"T+14",0.000823601264441217,0.00134297244925487,0.000490740837881849,-0.000598278467864386,0.000940767614484813,0.00140059488903568,0.000399809071203533,0.00588216782917027,0.000750376154174608,0.000783841845431606
"T+15",0.000809022577826222,0.00134187290623509,0.000537796532129483,0.00240581312101874,0.000940753745363781,0.00139823883593827,0.000315537776668122,-0.00196167050815574,0.000750372562912314,0.000747395509375529
"T+16",0.000821080144548285,0.0013412620946127,0.000505007309523439,-0.000269629307747897,0.000940760053438162,0.00139652503230939,0.000381226410213347,0.00545556059739287,0.000750373857104086,0.000774626013883879
"T+17",0.000811107715680284,0.0013409127104526,0.000527855407646075,0.00211311834746572,0.000940757184344786,0.00139527840383503,0.000330022775561387,-0.00155826540298754,0.000750373390713105,0.000754281022973452
"T+18",0.000819355593533232,0.0013407165812001,0.000511934457214647,-8.95549249046068e-06,0.000940758489290838,0.00139437160067106,0.00036993549805342,0.00507409571177021,0.000750373558787537,0.000769481573334847
"T+19",0.000812534036821463,0.00134060514913555,0.000523028451177809,0.00188096238125826,0.000940757895763902,0.0013937119879676,0.00033882392897138,-0.00119754746189348,0.000750373498218153,0.000758124638730817
"T+20",0.000818175928808897,0.00134054232561629,0.000515297964069984,0.000197802491973853,0.000940758165716995,0.00139323218271784,0.000363075086755462,0.00473299633950492,0.000750373520045687,0.000766609855419272
"T+21",0.000813509699890364,0.00134050673083177,0.000520684701355285,0.00169682382631169,0.000940758042934576,0.00139288317021931,0.000344171551150504,-0.000874999652358725,0.000750373512179646,0.000760270213186544
