"","MCD","IBM","DD","RTX","NKE","KO","MMM","WBA","AXP","TRV"
"T+1",0.00211868955193687,-4.67509687717979e-05,0.0171860278307838,0.000620568414483828,-0.00066723482188255,-0.000913555602268359,8.18005094907377e-05,0.00327944718965405,0.00580299528911474,-0.00309087904892564
"T+2",0.00173786929479004,-2.66626328468815e-05,-0.00793599269782714,0.000252523831169784,0.000345387460129401,-0.000459195298342045,-0.00117352696116397,-0.00144722574735294,-0.0045851294843054,-0.0028206846367936
"T+3",0.00150028580451626,-5.64495123689683e-05,0.00517291939800738,-7.80546576524784e-05,0.000681315334471186,0.000595618816805999,-0.000403608318240648,0.00221810206386609,0.0052696537820134,-0.00255556721818882
"T+4",0.0013056918472758,-5.95600695593342e-05,-0.00582332227299602,7.90418746103962e-06,0.000938154123728132,0.000567911393455653,-0.000732793134375314,-0.00144857216013228,-0.00366762759733118,-0.00232104707573206
"T+5",0.00114659471847588,-6.2958913977552e-05,0.00436392967378347,3.93772033930684e-06,0.00111717847540549,0.00039967223194786,-0.000599684769393184,0.00212409365770214,0.00440297542115397,-0.00211462272288141
"T+6",0.00101651792542402,-6.38347273429795e-05,-0.00521271720035504,1.0713219832423e-06,0.00124286168521134,0.000397001509714724,-0.000652923138093741,-0.00136552395203883,-0.00288195142568511,-0.00193297416869158
"T+7",0.000910167979250075,-6.43108155926788e-05,0.00380805120888408,1.85009260094281e-06,0.0013310460169296,0.000423537568342496,-0.00063167716311434,0.00204218885639748,0.00369351640599697,-0.001773129789785
"T+8",0.000823216949864184,-6.44759248286396e-05,-0.00469143697800279,1.80861167190796e-06,0.00139292252023672,0.000425074065075877,-0.000640151970083819,-0.00128561381748354,-0.00224156093389127,-0.0016324724152897
"T+9",0.000752126349602996,-6.45498019848024e-05,0.00331719346560417,1.78381834634119e-06,0.00143633938684563,0.000420935377072073,-0.000636771772730645,0.00196414595827531,0.0031154919996206,-0.00150869892713605
"T+10",0.000694003133797615,-6.45782384997012e-05,-0.0042289654129387,1.79086377377419e-06,0.00146680369512257,0.00042051834282287,-0.000638119946516476,-0.00120940177409044,-0.00171983084267943,-0.00139978265880229
"T+11",0.000646481967804546,-6.4590179512023e-05,0.00288143301624773,1.79043939606799e-06,0.00148817958262646,0.000421156388384709,-0.000637582236699264,0.00188972115268906,0.00264457383872212,-0.00130394021561285
"T+12",0.000607628969290108,-6.45949444576684e-05,-0.00381836901724949,1.7902255051708e-06,0.00150317839905491,0.000421249217021146,-0.000637796698375444,-0.00113672235520724,-0.00129477599111926,-0.00121960227365976
"T+13",0.000575863008543625,-6.45969031017693e-05,0.00249454696248209,1.79028915485405e-06,0.00151370261678285,0.000421152049390062,-0.000637711161899644,0.00181874618264172,0.00226091561269641,-0.00114538788370706
"T+14",0.000549891364121583,-6.45976943786618e-05,-0.00345382405471759,1.79028488549339e-06,0.00152108714337634,0.000421133268649036,-0.00063774527749814,-0.00106741186245525,-0.000948482721421545,-0.00108008185953213
"T+15",0.000528657115317707,-6.45980172919103e-05,0.00215105297521822,1.79028304548388e-06,0.00152626864326729,0.0004211478713961,-0.000637731670741005,0.00175106113246583,0.00194834827932728,-0.0010226148804698
"T+16",0.000511296130586135,-6.4598148295949e-05,-0.00313016543413938,1.79028361971489e-06,0.00152990434567559,0.000421151458898751,-0.000637737097696639,-0.00100131413561606,-0.000666356713097863,-0.000972045982358576
"T+17",0.00049710190155389,-6.45982016264007e-05,0.00184608431023382,1.79028357733092e-06,0.00153245540854924,0.000421149296440735,-0.00063773493319505,0.00168651350367657,0.00169369887718189,-0.000927547150196033
"T+18",0.000485496791536516,-6.45982232932434e-05,-0.00284280745658129,1.79028356155064e-06,0.00153424541253044,0.000421148637462687,-0.000637735796490689,-0.000938280252583288,-0.000436507935956386,-0.000888389760223347
"T+19",0.000476008528510086,-6.45982321062376e-05,0.00157532007525496,1.79028356672417e-06,0.00153550140440968,0.000421148952332575,-0.000637735452171533,0.00162495786662657,0.00148623536103639,-0.000853932649441827
"T+20",0.000468250985916871,-6.4598235688483e-05,-0.00258767874372362,1.79028356630793e-06,0.00153638269608125,0.000421149069923077,-0.000637735589500712,-0.000878168194269184,-0.000249249552132311,-0.000823611617211687
"T+21",0.000461908469176144,-6.45982371451484e-05,0.00133492399735529,1.79028356617305e-06,0.00153700107190296,0.000421149024983653,-0.000637735534727972,0.00156625553280419,0.00131721430632809,-0.000796930187032282
