"","CAT","AA","BA","T","VZ","RTX","MMM","DD","MDLZ"
"T+1",0.00175471027175619,0.0160295970327188,-0.000781617765326759,0.00464634132970307,0.00251825332379006,0.000546426913519803,0.000291814122885511,-0.00263069888956813,0.00530974917668582
"T+2",-0.00664816011641112,-0.00699436951290178,-0.00358362527108742,-0.00296737955131522,-0.000879993710266346,-0.00345769818504437,-0.00535569434459021,0.000340794443794971,-0.00741970947345841
"T+3",-0.000897050619090874,-0.00769251818631665,-0.00169148432967703,-0.00232039668515993,-0.00134501685158967,-4.23760516736122e-05,-0.000882541686253868,-0.000458624954118558,0.00287590245880364
"T+4",-0.00272852458076845,-0.00509743446306868,-0.00264442715383968,-0.000823484232051488,-0.000463454730381599,-0.00108479470767092,-0.000742900936712565,-0.000565502076470755,-0.000904796704570152
"T+5",-0.00250870175257963,-0.00383784424423143,-0.0021994431411628,-0.00121408375493327,-0.000431571275422275,-0.0011358198181264,-0.00149454931987625,-0.000780736683286247,-0.000541579522921452
"T+6",-0.00240022037708423,-0.00359731819280249,-0.00240218948350183,-0.00146368173173126,-0.000651929735114822,-0.000934700535361097,-0.00138641394357923,-0.000961800214748254,-6.7383755683918e-05
"T+7",-0.00247947684884715,-0.00364796278193082,-0.00231059760617768,-0.00133888997126027,-0.000639100123699746,-0.00102718857321903,-0.0012830182512304,-0.00113516217837546,-0.000414674053369864
"T+8",-0.00245337219043307,-0.00370122453370666,-0.00235184964863846,-0.00130739788248798,-0.000585971522475871,-0.00101456186458421,-0.00131859953760874,-0.00129694951297924,-0.000295315306687911
"T+9",-0.00245682639842785,-0.00371886390234165,-0.00233329027987759,-0.00133907774423983,-0.000594123515755696,-0.00100533876166599,-0.00132921810395583,-0.00144867170777327,-0.000302724228182609
"T+10",-0.00245821497414498,-0.00372009356229892,-0.00234163692615615,-0.00134034658336132,-0.000606457860402692,-0.00101209956934243,-0.00132158413950936,-0.00159082238110539,-0.000320100016858609
"T+11",-0.00245712479349397,-0.00371841899530987,-0.00233788373978649,-0.0013334458275726,-0.000603289682370023,-0.0010102543321375,-0.00132118640762991,-0.00172402909555105,-0.000308450398826081
"T+12",-0.00245749610859953,-0.00371750771689567,-0.00233957132784591,-0.00133434931053178,-0.000600545915110949,-0.00101004362104076,-0.00132249693488774,-0.00184885034091701,-0.000312186272604701
"T+13",-0.0024574425828053,-0.0037173080561594,-0.00233881253204407,-0.0013356522309613,-0.000601584717325814,-0.00101046013670074,-0.00132233348016023,-0.00196581475145331,-0.000312096547904259
"T+14",-0.00245742498899951,-0.00371733311987353,-0.00233915370969754,-0.00133524042796381,-0.000602163700940504,-0.00101028627673897,-0.00132214883955736,-0.00207541673660891,-0.000311468430109566
"T+15",-0.00245743995540335,-0.00371736966982935,-0.00233900030621328,-0.00133503536691828,-0.000601853200995276,-0.00101030354015281,-0.00132220755833421,-0.00217811975505735,-0.000311857072912798
"T+16",-0.00245743468423787,-0.00371738299938054,-0.00233906928086336,-0.00133515707411777,-0.000601739597442732,-0.00101032413069808,-0.00132222735983924,-0.00227435806226213,-0.000311741275054105
"T+17",-0.00245743550432618,-0.00371738439607018,-0.00233903826787207,-0.00133517969111461,-0.000601826823735989,-0.00101031087638927,-0.00132221436519173,-0.00236453858464883,-0.000311739032171101
"T+18",-0.00245743572450152,-0.00371738334165236,-0.00233905221220558,-0.00133515016853213,-0.000601846644392338,-0.00101031407155529,-0.00132221340744772,-0.00244904263340644,-0.000311761479116556
"T+19",-0.00245743551945041,-0.00371738268917874,-0.00233904594243213,-0.00133515040645413,-0.000601823276107052,-0.00101031469690964,-0.00132221568711204,-0.00252822751801026,-0.000311748584029453
"T+20",-0.00245743559413616,-0.00371738252794866,-0.00233904876150258,-0.00133515659622105,-0.000601820583190841,-0.00101031384476496,-0.00132221544601615,-0.00260242805681906,-0.000311752133274863
"T+21",-0.00245743558168883,-0.00371738253764616,-0.00233904749396744,-0.00133515549544054,-0.000601826597911086,-0.00101031416776188,-0.0013222151173077,-0.00267195799283054,-0.000311752381294584
