"","NKE","GS","RTX","IBM","CAT","MMM","AXP","WBA","TRV","DOW"
"T+1",0.00409547657426418,0.00271446884065664,0.00515000380836134,0.00151286898298689,0.0047328093514789,-0.00137404616739362,0.0030799514616995,-0.00398457675724657,-0.000530822994578488,0.00444918240994407
"T+2",0.00166321222559766,0.00201349476877966,-0.000940638947172158,0.0010129996095539,-0.000722674941843245,-0.00174480893790689,0.00317862049424467,0.000620476927834888,-0.000209714635283845,-0.00190635539996798
"T+3",0.00134160861732166,0.0010895233163706,0.00167677886277225,0.00064173985134665,0.000896218776891295,-0.00170842003533474,0.00307964919474886,-0.0029074459898913,-0.00168396934186231,0.00260541538132356
"T+4",0.00129918109317372,0.0011839609812487,0.000419221878114514,0.000538837297309975,-0.000477438510984221,-0.00163153094761707,0.00299281421878389,-0.000218814739502653,-0.00138425533096796,-0.000501887732390663
"T+5",0.00129367224547187,0.00111916909107519,0.00100052413750539,0.000501713975671092,0.000303894066920421,-0.00155470712259712,0.00290799994918846,-0.00226691517737706,-0.00163255294536459,0.00165876061989448
"T+6",0.00129303840425374,0.00113374383876067,0.000728285053440296,0.000489468400564296,-0.00019832855181664,-0.00148218261312175,0.00282561659293077,-0.000706806112952545,-0.00154941006621325,0.000160947697582855
"T+7",0.00129304169869539,0.00112805347988218,0.000855214979675046,0.000485311519528668,0.000111516823260815,-0.00141415951025137,0.00274557270902035,-0.0018951914567189,-0.00159692346460831,0.00120027662035117
"T+8",0.00129312219322446,0.0011296813516942,0.000795944898055823,0.000483913595344501,-8.22177558177259e-05,-0.00135040741144002,0.00266780290455314,-0.000989960293116039,-0.00157758387167428,0.000479311618482915
"T+9",0.00129320639750537,0.00112913142763111,0.000823606866339814,0.000483442051126139,3.83841637195328e-05,-0.00129066360702085,0.00259224252213513,-0.00167950383643915,-0.00158727378113667,0.000979482113413075
"T+10",0.00129328511869548,0.00112930089540293,0.000810694470501641,0.000483283148656038,-3.68006722055084e-05,-0.00123467669112832,0.0025188287949866,-0.00115425645617725,-0.00158301270938626,0.000632498979940477
"T+11",0.00129335762596981,0.00112924599794947,0.000816721518545284,0.000483229583924228,1.00482407023242e-05,-0.00118221048595022,0.00244750073694881,-0.00155435419198794,-0.00158504412919841,0.000873213885786528
"T+12",0.00129342426840956,0.00112926330101869,0.000813908249296321,0.000483211529582826,-1.91486588508438e-05,-0.00113304360081679,0.00237819909459045,-0.00124958694475525,-0.00158412334369831,0.000706221669829291
"T+13",0.00129348550173882,0.00112925776514604,0.000815221401123392,0.000483205444041833,-9.53677389203343e-07,-0.00108696855991539,0.00231086629785233,-0.00148173790856283,-0.00158455400737786,0.00082207003491112
"T+14",0.00129354176252695,0.00112925952183792,0.000814608458804319,0.000483203392823402,-1.22926535026476e-05,-0.00104379093368002,0.00224544641222922,-0.00130490109133216,-0.00158435648143092,0.000741701981153699
"T+15",0.00129359345424999,0.00112925896189067,0.000814894562800828,0.00048320270142846,-5.22632781093963e-06,-0.00100332851909795,0.00218188509230388,-0.00143960335323702,-0.00158444818684139,0.000797456110433444
"T+16",0.00129364094792884,0.00112925913993838,0.000814761017577126,0.000483202468383361,-9.62999260963852e-06,-0.000965410570926455,0.00212012953660133,-0.00133699633029668,-0.00158440593234788,0.000758777522542764
"T+17",0.00129368458449388,0.00112925908324838,0.000814823352690714,0.000483202389831963,-6.8856735864009e-06,-0.000929877081183402,0.00206012844372582,-0.00141515538277136,-0.00158442549378488,0.000785610210919219
"T+18",0.00129372467719294,0.00112925910128516,0.000814794256431029,0.000483202363355022,-8.59590557073021e-06,-0.000896578103938948,0.00200183196974386,-0.00135561913165829,-0.00158441646453267,0.00076699543715401
"T+19",0.00129376151383468,0.00112925909554419,0.000814807837738094,0.000483202354430567,-7.53010628653163e-06,-0.000865373122566595,0.00194519168677799,-0.00140096979910332,-0.0015844206399303,0.000779909156339752
"T+20",0.001293795358854,0.0011292590973711,0.000814801498369932,0.000483202351422444,-8.1943016406204e-06,-0.000836130456784389,0.00189016054277697,-0.00136642474463216,-0.00158441871130099,0.000770950457982406
"T+21",0.0012938264552102,0.00112925909678966,0.000814804457406824,0.00048320235040851,-7.78038180426505e-06,-0.000808726706984127,0.00183669282242879,-0.0013927388179556,-0.00158441960277361,0.000777165420156511
