"","BA","VZ","MCD","AXP","UNH","RTX","MMM","NKE","DD","TRV"
"T+1",0.00410433689009503,0.00259247842887059,0.000414472873832537,0.00241284379730868,0.000887831591669125,0.00196831998297728,0.00197857023589122,0.000175853355699907,0.00282503675860946,0.00127466558649404
"T+2",0.00268162061083016,-0.000237278065501245,0.00107011104502268,0.00207047475666249,0.000767890336929062,0.0023345582006729,0.00168084236929848,0.000632623226459351,0.00145941852677503,0.000769775751015398
"T+3",0.00171181326400947,0.00102268739544658,0.000273659491353599,0.00205977892570354,0.000920562455338004,0.00137493814926567,0.0015404039856991,0.00228115791780817,0.0011123852091325,0.000890074413086155
"T+4",0.00232954781097591,0.000318431474137808,0.000240240809224992,0.0020355508951345,0.000980413225207806,0.00131707441471363,0.00146961864676344,0.00115495381012483,0.00130301936099404,0.00090835001204853
"T+5",0.00214695265311213,0.000743603335181005,0.000304319042087118,0.00201270611161638,0.00101042841127282,0.00137274756080168,0.00143395050974086,0.00220444845882721,0.00124801263732682,0.000916938392616659
"T+6",0.00216371063044805,0.000481391517170642,0.000305471533797914,0.00199057320714807,0.00102493259900493,0.00137831123890389,0.00141597761529174,0.00128502441683819,0.00125978416029323,0.000919845715067462
"T+7",0.00217632498934673,0.000644000031283734,0.000300352181613928,0.00196915631423501,0.00103197731695138,0.00137516362100902,0.0014069212148072,0.00209948080899757,0.00125790891400253,0.000920900753835869
"T+8",0.00216848649071183,0.000543017097333819,0.000300380694752869,0.00194843113178373,0.00103539651634741,0.00137471092508163,0.00140235776566604,0.00137947320847043,0.00125807132313726,0.000921277441724483
"T+9",0.00217076879642584,0.000605751925377158,0.00030078686210964,0.00192837536857713,0.00103705621148736,0.00137488373096953,0.00140005827945191,0.00201622109843217,0.00125809603090251,0.000921412435284633
"T+10",0.0021705725160047,0.000566774866668172,0.000300775067321103,0.0019089674003759,0.00103786182402649,0.00137491745804042,0.00139889958639203,0.00145314318222536,0.00125807950499645,0.000921460771414429
"T+11",0.00217040862302126,0.000590991818312504,0.000300743065802991,0.00189018630369216,0.00103825286741519,0.00137490830188653,0.00139831573005108,0.00195108070708587,0.00125808451707452,0.000921478082184379
"T+12",0.00217050805426801,0.000575945423967811,0.00030074475390586,0.00187201183076103,0.00103844267937001,0.00137490592781767,0.00139802152942224,0.00151074872065385,0.00125808340623154,0.000921484281463394
"T+13",0.0021704795393967,0.000585294012678887,0.000300747257471515,0.00185442438781862,0.00103853481385068,0.00137490639106279,0.00139787328403387,0.0019001396156812,0.00125808359129143,0.000921486501553065
"T+14",0.00217048182332336,0.000579485568342709,0.00030074706458292,0.00183740501397351,0.00103857953580979,0.00137490655141412,0.00139779858434592,0.00155579656919869,0.00125808357296058,0.000921487296611055
"T+15",0.00217048395046926,0.000583094458400363,0.000300746870149129,0.00182093536076537,0.00103860124379159,0.00137490652947758,0.0013977609437593,0.00186030326622789,0.0012580835713769,0.000921487581337192
"T+16",0.00217048268959151,0.000580852190589475,0.000300746890039528,0.00180499767238357,0.0010386117808182,0.00137490651899583,0.00139774197696306,0.00159102433276632,0.00125808357279505,0.000921487683303292
"T+17",0.00217048304569627,0.000582245351613113,0.000300746905024597,0.00178957476652485,0.00103861689547745,0.00137490651992688,0.00139773241974326,0.00182915093144887,0.00125808357234063,0.000921487719819385
"T+18",0.00217048301932541,0.000581379755794712,0.000300746903092346,0.00177465001586911,0.00103861937812651,0.00137490652059329,0.0013977276039352,0.00161857271700627,0.00125808357244498,0.000921487732896525
"T+19",0.00217048299174505,0.000581917565931818,0.00030074690194681,0.00176020733015369,0.0010386205832012,0.00137490652056203,0.0013977251772873,0.00180478956402734,0.00125808357242685,0.00092148773757971
"T+20",0.002170483007729,0.00058158341489105,0.000300746902127241,0.00174623113882656,0.00103862116814291,0.00137490652052071,0.00139772395451847,0.00164011576713833,0.00125808357242885,0.000921487739256851
"T+21",0.00217048300328383,0.000581791028898941,0.000300746902214044,0.00173270637425982,0.00103862145207286,0.00137490652052105,0.00139772333837485,0.00178573878576235,0.00125808357242893,0.000921487739857469
