"","CAT","IBM","MCD","HON","AMGN","AXP","MMM","WBA","DOW","TRV"
"T+1",0.00228703290326329,0.000345554820077114,0.00117796205747693,-0.000750297960430173,0.000511181080432175,0.00405378837390998,-0.00178036650291427,0.00104856211942527,0.00257444680722734,0.000862396233004025
"T+2",0.000607585147714107,0.00141951303428151,0.000354867775620836,0.00084069608029976,-0.000750623413137233,0.00330164505399337,0.00280981005893226,-0.000396437068199282,0.00144710041154224,0.000972877578699257
"T+3",0.000930947808036512,0.00050917569906359,0.000829937467482185,0.000989606378087236,0.000345948313387725,0.0031936854398462,-0.000816003564936693,0.000503225950951431,0.00140719681502587,0.000961945912585936
"T+4",0.000834140709193252,0.000500318624061894,0.000589723840946259,0.000774577018885498,-0.000605993191721023,0.00306124627100959,0.000804885481034332,-5.2269056191805e-06,0.00129840817274356,0.000954116064373933
"T+5",0.000857795536322835,0.000613124619043605,0.000703510565471445,0.000759650083574918,0.00022045008822012,0.00294599248473769,0.000312448561218919,0.00029823996456525,0.00120592503164909,0.000949803937743855
"T+6",0.000851487208624888,0.000598991754293023,0.000651589261412421,0.000788594136091409,-0.000497036831641256,0.00284346359559531,0.000385441219912938,0.00012264992009548,0.00112226632023146,0.000947455161623278
"T+7",0.000853105343562936,0.000587067958332243,0.000674736799434997,0.000789922648669761,0.00012585844807362,0.00275240321511285,0.000411822589623486,0.000226047632725353,0.00104698870713068,0.000946176485008752
"T+8",0.000852683133831899,0.00059040935746746,0.000664572660201677,0.000786042087620311,-0.000414915902279894,0.00267151884116987,0.000384334358652399,0.000165764391754323,0.000979222904432911,0.000945480389858235
"T+9",0.000852792471299795,0.000591420471821634,0.000668990299487325,0.000785953468755153,5.45641336614715e-05,0.0025996739354277,0.000397864545742056,0.000201109773617024,0.000918221540035369,0.0009451014450605
"T+10",0.000852764062636572,0.000590874392105735,0.000667083754724445,0.000786471707759994,-0.000353020848852698,0.00253585822466077,0.000393344200591933,0.000180452203036318,0.000863309216412294,0.000944895152643605
"T+11",0.000852771433143261,0.000590824097556849,0.000667902526140757,0.00078647172953623,8.29166598250428e-07,0.00247917439014917,0.000394213218116871,0.000192547410579878,0.000813878149420827,0.000944782849845422
"T+12",0.000852769519663919,0.000590897834453394,0.000667552124371788,0.000786402788268503,-0.000306370163127425,0.00242882539195555,0.000394329275200784,0.000185472825952345,0.000769381208232831,0.000944721713722885
"T+13",0.00085277001628696,0.000590894052846449,0.000667701711556759,0.000786404350746808,-3.96712114158128e-05,0.00238410326543932,0.000394127521936949,0.000189613219580005,0.000729325876795027,0.000944688432045674
"T+14",0.000852769887377644,0.00059088552258227,0.000667637965465258,0.000786413486451439,-0.000271209251904343,0.00234437916621337,0.000394238271802394,0.000187190858613692,0.000693268801095285,0.000944670313951298
"T+15",0.000852769920837016,0.000590887137049868,0.000667665096164885,0.00078641307116203,-7.0196597564262e-05,0.00230909452788699,0.000394197841392884,0.000188608340136877,0.000660810881978572,0.000944660450706074
"T+16",0.000852769912152176,0.000590887965085552,0.000667653559733456,0.000786411865278671,-0.000244708254999,0.00227775320798086,0.000394207128321126,0.000187778967206302,0.000631592857695042,0.00094465508128894
"T+17",0.000852769914406422,0.000590887655434041,0.000667658461988286,0.000786411947904867,-9.32037704649291e-05,0.00224991451159485,0.000394207206557107,0.000188264265134129,0.000605291327397824,0.000944652158250965
"T+18",0.000852769913821305,0.000590887595688901,0.000667656379829804,0.000786412106446119,-0.000224734289235679,0.00222518699473234,0.000394205786971993,0.000187980308378844,0.000581615171568033,0.000944650566988675
"T+19",0.000852769913973179,0.000590887641713723,0.000667657263891345,0.00078641209185462,-0.000110544419402406,0.00220322296014868,0.000394206675158705,0.000188146459918276,0.000560302329746968,0.000944649700727033
"T+20",0.000852769913933758,0.000590887642829463,0.000667656888621767,0.000786412071095363,-0.000209679787333758,0.00218371356832927,0.000394206321645053,0.000188049240778421,0.000541116899909655,0.000944649229145926
"T+21",0.00085276991394399,0.000590887637036106,0.000667657047888915,0.000786412073507812,-0.000123614174077224,0.00216638449485173,0.000394206414676236,0.000188106126317397,0.000523846527374039,0.000944648972423557
