"","VZ","CAT","MCD","UNH","AXP","RTX","MMM","NKE","DD","TRV"
"T+1",0.000674469985408711,-0.00212681186625825,0.000441592614922723,0.00153862223539921,0.00177336255376099,0.00102931358429355,0.00160316982626509,0.00135134115892545,0.00142223957603744,0.000513169014167767
"T+2",0.000616376187747365,-0.00223134542648786,0.000466719954057704,0.00159351196540958,0.00238809698971413,0.0010976641883958,0.00116341611134281,0.00198272983426158,0.0018019355977374,0.00115324489336103
"T+3",0.000593897921982442,-0.00218497621277502,0.000451717227731447,0.00138845381182664,0.00185604771968596,0.00132376735720723,0.0013855758733687,0.00208400980847335,0.00114521252383623,0.001060737197261
"T+4",0.000614411180181943,-0.00212352922248132,0.000452916006261567,0.0013404629689258,0.00193107605596881,0.00129879762550605,0.00155230469634026,0.00206692271226895,0.00135600375101194,0.00104121243275724
"T+5",0.000601234597832495,-0.0020621824894591,0.00045342926471624,0.0013203993124742,0.00190097502249472,0.00129508549239079,0.00161882846287128,0.00203694131036151,0.00133496328595119,0.00106216419529788
"T+6",0.000609252461647544,-0.00200258162630224,0.000453291779974822,0.00131354085999453,0.0019069839772595,0.00129615576684304,0.0016370834143018,0.00201514234438499,0.00132440426489031,0.00105276741535317
"T+7",0.000604424633466408,-0.00194485598293005,0.000453289502331617,0.00131104810787677,0.00190512155474572,0.00129614931636593,0.00163988831865611,0.00200206945190358,0.00133015945526036,0.00105563843528255
"T+8",0.000607325479741404,-0.00188896657357473,0.000453296306729793,0.00131015968354851,0.00190555325041364,0.00129612033947721,0.00163946669633924,0.00199483359316405,0.00132894249681287,0.0010550912119971
"T+9",0.000605583229149328,-0.00183485723253175,0.000453295335656123,0.0013098410855509,0.0019054326037982,0.00129612347560354,0.00163894115985701,0.00199098781913976,0.00132889280800706,0.00105507654463285
"T+10",0.000606629534548671,-0.00178247151668056,0.000453295170567263,0.00130972705607382,0.00190546242894633,0.00129612395786843,0.00163870190221324,0.0019889893464677,0.00132901733216321,0.00105514491061672
"T+11",0.000606001188970214,-0.00173175454907053,0.000453295242229626,0.00130968621855427,0.00190545444541938,0.00129612382180878,0.00163862838090767,0.00198796437413124,0.00132897541880645,0.00105510884626085
"T+12",0.000606378532652038,-0.00168265317485444,0.000453295238615616,0.00130967159621661,0.00190545647420079,0.00129612382234204,0.00163861404198801,0.00198744281002227,0.0013289801304337,0.00105512119205005
"T+13",0.000606151924629674,-0.00163511592952027,0.000453295235829416,0.00130966636019949,0.00190545594092257,0.00129612382605502,0.00163861409600145,0.00198717867949747,0.00132898203389668,0.00105511836047582
"T+14",0.000606288010618495,-0.00158909298763563,0.000453295236440133,0.00130966448530499,0.00190545607804139,0.00129612382566129,0.0016386156469971,0.00198704531349466,0.00132898091634132,0.00105511856109614
"T+15",0.00060620628625767,-0.00154453611092529,0.000453295236473978,0.00130966381394525,0.00190545604227508,0.00129612382559867,0.00163861647943739,0.00198697809707041,0.00132898116545783,0.0010551187624494
"T+16",0.000606255364573288,-0.0015013985977447,0.000453295236439994,0.00130966357354612,0.00190545605151753,0.00129612382561596,0.00163861676468706,0.00198694425864961,0.00132898117035119,0.00105511862937266
"T+17",0.000606225891341114,-0.00145963523413418,0.000453295236443791,0.00130966348746443,0.00190545604911457,0.00129612382561593,0.00163861683049084,0.0019869272356702,0.00132898114682071,0.00105511868053725
"T+18",0.000606243591040128,-0.00141920224642898,0.000453295236444782,0.00130966345664046,0.00190545604973684,0.00129612382561545,0.00163861683577794,0.00198691867578645,0.00132898115513267,0.00105511866699745
"T+19",0.000606232961756468,-0.00138005725537856,0.000453295236444447,0.00130966344560307,0.00190545604957528,0.0012961238256155,0.00163861683165131,0.00198691437270733,0.00132898115409681,0.00105511866882367
"T+20",0.000606239345010276,-0.00134215923172744,0.000453295236444454,0.00130966344165082,0.00190545604961716,0.00129612382561551,0.00163861682886012,0.00198691220991319,0.00132898115375702,0.00105511866930868
"T+21",0.000606235511644785,-0.00130546845321095,0.000453295236444468,0.00130966344023561,0.00190545604960629,0.00129612382561551,0.00163861682778969,0.00198691112297787,0.00132898115397349,0.00105511866884019
