"","HD","GS","AXP","UNH","CAT","RTX","DD","NKE","MMM","TRV"
"T+1",0.00435472805657907,-0.0010171861231331,0.00280036020292219,-0.000489046054353789,0.000190208765717612,-0.000244126347888884,0.00584437220995109,0.00108887439159721,0.00087071989835376,0.000684821407616781
"T+2",0.000923585677137302,0.00115169594808927,0.000649736615115714,0.00160541263812335,0.000647102254395153,8.59462192364572e-05,0.00372798908254604,-0.000379847013119684,0.000177560639990053,0.000678309075592551
"T+3",0.000565025903085643,-4.02589745496532e-05,0.000145210531864329,0.00150199053262983,-0.00153169920187239,-0.000282293778198379,0.00350617805447218,0.000898110891604967,0.000245793771288963,0.000676353591112069
"T+4",0.000696769401127281,0.000813885624122638,-4.03999487005446e-05,0.0014016676775435,-0.000791864757514572,-0.000378349068831104,0.00338635768205298,0.00143012103483835,0.000215898684643768,0.000675153024656891
"T+5",0.000828008259374456,0.000185543360671085,-0.000149283517591796,0.00147717979840313,-0.00130049137152674,-0.000421571517671782,0.00327530732348816,0.00152319381002595,0.000221818610713836,0.000674456266114771
"T+6",0.000904500831127213,0.000648796285170607,-0.000228786407672397,0.00143476442092964,-0.00104724238226254,-0.000438235880916858,0.00316807380163551,0.0015185152339267,0.000220146881007464,0.000674050599876688
"T+7",0.000943043416181703,0.000307195213514189,-0.000290609808862085,0.00145703830178924,-0.00119117762180954,-0.000444908247085823,0.00306429206885926,0.00151060779172858,0.000220542073310382,0.000673814457292461
"T+8",0.000961314101184285,0.00055909443080209,-0.000339417069155214,0.00144556496988533,-0.00111392908194839,-0.000447554183030901,0.00296383883830628,0.00150825150298093,0.000220440350618162,0.000673676994714633
"T+9",0.000969721929352277,0.000373341809267028,-0.000378081863716468,0.00145144046031886,-0.00115640759808934,-0.000448605995154515,0.00286660672531266,0.00150799200823889,0.000220465463707303,0.00067359697548224
"T+10",0.000973531799242932,0.000510317383556965,-0.000408735774147814,0.00144843703701617,-0.00113329066786755,-0.000449023852990084,0.00277249240917656,0.00150806438112836,0.000220459137069756,0.000673550394966361
"T+11",0.00097524389376185,0.000409310420876277,-0.000433042834808283,0.00144997146612571,-0.00114592688942132,-0.000449189883123383,0.00268139591445934,0.00150810649227595,0.000220460715259814,0.000673523279679324
"T+12",0.000976009783956102,0.000483793821073829,-0.000452317915787561,0.0014491876719478,-0.00113903272423017,-0.000449255850325124,0.00259322047315767,0.00150811581555001,0.000220460319683498,0.000673507495423239
"T+13",0.000976351534594847,0.000428869123230494,-0.000467602859824143,0.00144958801652227,-0.00114279713655835,-0.000449282060720327,0.00250787242026829,0.0015081161067642,0.000220460418603958,0.000673498307147274
"T+14",0.00097650381423199,0.000469371066283508,-0.000479723690027421,0.00144938353285027,-0.00114074236836884,-0.000449292474729881,0.00242526109420631,0.00150811557164572,0.000220460393839091,0.000673492958500195
"T+15",0.000976571614810858,0.000439504586257542,-0.000489335409308699,0.00144948797626957,-0.0011418641089762,-0.000449296612464701,0.00234529874049493,0.00150811537088156,0.000220460400035576,0.000673489844964458
"T+16",0.00097660178890222,0.000461528384670717,-0.000496957424914041,0.00144943463015026,-0.00114125176598951,-0.000449298256485341,0.00226790041854731,0.0015081153393509,0.000220460398484718,0.000673488032523921
"T+17",0.000976615214330598,0.000445287846913255,-0.000503001621745187,0.00144946187750629,-0.00114158604469207,-0.000449298909693942,0.00219298391143786,0.00150811534233128,0.000220460398872816,0.000673486977472373
"T+18",0.000976621186914047,0.00045726375868394,-0.000507794621053259,0.00144944796049966,-0.00114140356367473,-0.000449299169229292,0.00212046963856669,0.00150811534548203,0.00022046039877569,0.000673486363309454
"T+19",0.000976623843737746,0.000448432618676071,-0.00051159543082761,0.00144945506882474,-0.00114150317960666,-0.000449299272348875,0.00205028057112455,0.00150811534634505,0.000220460398799996,0.000673486005795083
"T+20",0.000976625025538952,0.000454944777026259,-0.000514609442308952,0.00144945143813849,-0.00114144879963152,-0.000449299313320743,0.00198234215026843,0.00150811534642279,0.000220460398793913,0.000673485797680068
"T+21",0.00097662555121183,0.000450142655630818,-0.000516999529092959,0.00144945329256727,-0.00114147848548872,-0.000449299329599844,0.00191658220792088,0.00150811534639043,0.000220460398795435,0.000673485676532883
