"","NKE","GS","RTX","IBM","CAT","MMM","AXP","WBA","DOW","TRV"
"T+1",0.00558380645808973,0.00311874155724616,-0.000156709458267571,0.00103162368591288,0.00196237747987069,-0.00267397623481035,-0.00225079202758448,0.00071691975889927,-0.00605507859098427,0.0115434926173452
"T+2",0.00628738233784463,0.00133556219356246,0.000913023653706754,0.000646040322214967,-0.00358617476083963,0.0011400804020864,-0.00112858185481525,0.00192121049226102,-0.00228361408795093,-0.00977271998596327
"T+3",0.00616732900025455,0.00139948014450501,0.00074057369061695,0.000688350156846945,0.0025058575454012,0.000346408831544261,-0.00057159162968879,-0.00315948685261132,-0.00106573353068313,0.00243869420142781
"T+4",0.00600672940132252,0.00138241843387953,0.000628968528911439,0.000710887527492519,-0.000736255446679846,-0.000286057704296935,-0.000163761526163204,-2.99648253969578e-05,-0.000536429352180014,-0.00285176533057065
"T+5",0.00584858744772401,0.00137184543376779,0.000570835312066167,0.000725663785063987,0.00134059973836769,-0.000454792125315909,0.000136328603289188,-0.00156305247144738,-0.000252652755889536,-0.000129176658629966
"T+6",0.00569512988268064,0.00136321299973273,0.000540909693641324,0.000735293393891315,8.4123205794401e-05,-0.000463008353114519,0.000357152585182668,-0.000870280848369372,-8.47391321850963e-05,-0.00138652097778012
"T+7",0.00554634080196988,0.00135628820597976,0.000525515793976406,0.000741569952132415,0.000857199334074774,-0.000451343259300536,0.000519647954852888,-0.00117251587903584,1.83698773694492e-05,-0.00076544491437683
"T+8",0.00540208494489525,0.00135072771111252,0.000517597440589111,0.000745660982192035,0.000383937361764321,-0.000446232103461021,0.00063922167633109,-0.00104283643083648,8.24940156071814e-05,-0.00105957308246304
"T+9",0.00526222456840116,0.00134626297928682,0.00051352438891382,0.000748327495931346,0.000674094060355708,-0.000445327821789881,0.000727211105801957,-0.00109802408211253,0.000122541287916731,-0.00091657352678843
"T+10",0.00512662576259115,0.00134267806549418,0.000511429288285937,0.000750065516771518,0.000496278680550898,-0.000445434378399006,0.000791958941721946,-0.0010746340437649,0.000147586375349946,-0.000984964941726415
"T+11",0.00499515867777604,0.00133979959372125,0.00051035160822064,0.0007511983504024,0.000605262980246018,-0.000445553598343454,0.000839604235952543,-0.0010845268347884,0.000163256316560887,-0.000951918959455164
"T+12",0.0048676974197061,0.00133748835269462,0.000509797270015144,0.000751936725918731,0.000538468388705684,-0.000445589170336476,0.000874664466616089,-0.00108034709866708,0.00017306195334374,-0.000967784519451146
"T+13",0.0047441199300921,0.00133563256410215,0.000509512128945956,0.00075241799553172,0.000579406122893483,-0.000445592137016437,0.000900463861793118,-0.00108211210266311,0.00017919823045597,-0.000960136870156882
"T+14",0.00462430786978046,0.00133414247662949,0.000509365457782881,0.000752731684752536,0.000554315885390466,-0.000445590142698251,0.000919448585478709,-0.00108136698714827,0.000183038315808061,-0.000963814062334388
"T+15",0.00450814650543363,0.00133294602532831,0.000509290012915752,0.000752936145879106,0.000569693401821802,-0.000445589132246335,0.000933418670085157,-0.00108168150177303,0.000185441455352676,-0.000962043212684216
"T+16",0.00439552459966037,0.00133198534634648,0.000509251205505647,0.000753069412658787,0.000560268702775617,-0.00044558892619991,0.000943698686120334,-0.00108154875403959,0.000186945351403706,-0.000962895182567021
"T+17",0.00428633430449364,0.00133121397846444,0.00050923124370922,0.000753156275305316,0.000566044990566118,-0.00044558893699558,0.000951263331049881,-0.00108160478106632,0.00018788649714471,-0.000962485043795672
"T+18",0.0041804710581142,0.00133059461609607,0.000509220975739378,0.000753212891960871,0.000562504771451848,-0.000445588959083231,0.000956829845023624,-0.00108158113494213,0.000188475471003782,-0.000962682409877617
"T+19",0.00407783348472104,0.00133009730508236,0.000509215694090251,0.000753249794424869,0.000564674530289293,-0.000445588966456067,0.00096092601584307,-0.00108159111465937,0.000188844053903678,-0.000962587411282194
"T+20",0.00397832329745286,0.00132969799402154,0.000509212977310018,0.000753273847273553,0.000563344710510046,-0.000445588967300341,0.000963940221046043,-0.00108158690279476,0.000189074715000984,-0.0009626331303686
"T+21",0.00388184520426747,0.00132937737107351,0.000509211579849744,0.00075328952480473,0.000564159741478493,-0.000445588966973363,0.000966158251837752,-0.00108158868037615,0.000189219063917191,-0.00096261112553643
