"","MCD","KO","NKE","IBM","RTX","MMM","WBA","AXP","DOW","TRV"
"T+1",0.000415640000233356,0.00105582711685345,0.00481836211167281,0.0026479420277537,-0.000909783988810043,-0.000477339834851985,-0.00259022590853236,0.00235686888322103,-4.58974250256358e-05,0.000511536878875025
"T+2",0.00101501089148974,0.000517003608285006,-0.00159945684096975,-0.00239620787199118,-0.00297987984457861,-0.000309994192986772,-0.00188824805602494,-0.000604188374430174,-0.00288610064511079,0.000448713700501065
"T+3",0.0011216113127074,0.000797296084200207,0.000341724176014524,0.00120115086044763,-0.00238590809605533,-0.000485338448921348,-0.00015257426889328,0.00214925770200979,-0.00191981893868256,0.000596838261351573
"T+4",0.00110960531148251,0.00057093694363139,3.38781197766993e-05,-0.000415043119623965,-0.00222118586776603,-0.000592698681027513,-0.00138624825327975,0.00080972428097905,-0.00161889945544599,0.000497839753535106
"T+5",0.0011032115930476,0.000763489266511042,0.000190193352916658,0.000424020288471372,-0.00201242007801791,-0.000642568882389071,-0.000275535227930518,0.00156452634760645,-0.00140073102258187,0.00057112009742194
"T+6",0.00110286646159913,0.000598934729878724,0.000189728612370372,9.74485757981826e-06,-0.00182994025428856,-0.000664254565565054,-0.00124111334228213,0.00115586045503586,-0.00126943153931386,0.000517590421705744
"T+7",0.00110310345370926,0.000739618701584696,0.000207820449216079,0.000217774027724605,-0.00166139154793188,-0.000673502514643475,-0.000397703778994034,0.00137944199835912,-0.00118791947354168,0.000556757300777911
"T+8",0.00110315140013022,0.000619338446116537,0.000211860317779298,0.000113911007107338,-0.00150715521378488,-0.000677422451315741,-0.00113392028295263,0.00125745704773093,-0.00113759445809046,0.000528105400720822
"T+9",0.00110314745008022,0.000722174487804462,0.000214880603312256,0.000165868098521002,-0.00136579751494444,-0.000679080799445046,-0.000491215432375867,0.00132405976322314,-0.00110649395530545,0.000549065780518028
"T+10",0.00110314477373558,0.000634252707698795,0.000216034348468375,0.000139893964113416,-0.00123627641577312,-0.000679781940632244,-0.00105227923471491,0.00128770222408518,-0.00108727735089085,0.000533732204260764
"T+11",0.00110314458141663,0.000709423236048495,0.000216647025558725,0.000152881744905796,-0.00111759570121,-0.000680078321395831,-0.000562485011009465,0.00130755032393969,-0.0010754032983259,0.000544949494155319
"T+12",0.00110314467403859,0.000645154651673927,0.000216919977209785,0.000146387993124239,-0.00100884884906708,-0.000680203597230452,-0.000990062631934373,0.00129671510686202,-0.00106806629052108,0.00053674347723823
"T+13",0.00110314469533237,0.000700102395541976,0.000217053066056084,0.000149634883781029,-0.000909204253204704,-0.000680256548440629,-0.000616798475468086,0.00130263014867904,-0.00106353273017883,0.00054274659516657
"T+14",0.00110314469414,0.00065312369536345,0.000217114957403424,0.000148011445337273,-0.000817900060615513,-0.000680278929554273,-0.000942648386860102,0.00129940107748252,-0.00106073142935671,0.000538355009675478
"T+15",0.00110314469302866,0.000693289098255448,0.00021714445585498,0.000148823163538125,-0.000734238164203555,-0.000680288389455571,-0.000658189879449939,0.00130116385510164,-0.00105900049694797,0.000541567677385444
"T+16",0.00110314469292888,0.000658948863567258,0.000217158335916552,0.000148417305359115,-0.000657578892874526,-0.000680292387901555,-0.000906514766468185,0.00130020153976515,-0.0010579309484851,0.000539217447875973
"T+17",0.0011031446929646,0.000688308751269889,0.000217164910791366,0.000148620234057646,-0.000587336116436895,-0.000680294077936836,-0.000689733591333882,0.00130072687592353,-0.00105727007119741,0.000540936760063182
"T+18",0.00110314469297395,0.000663206913331444,0.00021716801441694,0.000148518769915701,-0.000522972764745911,-0.000680294792269121,-0.000878977925467347,0.00130044009043066,-0.00105686171308698,0.000539678995923479
"T+19",0.00110314469297365,0.000684668244323915,0.000217169482126654,0.000148569501885022,-0.000463996721213817,-0.000680295094198086,-0.000713772538147906,0.00130059664907926,-0.00105660938735349,0.000540599114237589
"T+20",0.00110314469297319,0.0006663194393839,0.000217170175552033,0.000148544135951528,-0.000409957060144205,-0.000680295221815305,-0.000857992549406566,0.00130051118237661,-0.00105645347450604,0.000539926000984288
"T+21",0.00110314469297314,0.000682007126361228,0.000217170503325381,0.000148556818892749,-0.000360440598991104,-0.000680295275755656,-0.000732092226269825,0.00130055783937913,-0.00105635713547765,0.000540418417497275
