"","DIS","T","MCD","VZ","RTX","MMM","HON","DD","MO"
"T+1",0.000395880892526791,0.00247188212090539,0.00112370180557564,0.00337145146962167,0.00369052788917265,0.000167410657146492,0.000505331264383067,0.00263360956097524,0.000692541070242422
"T+2",0.000585426397312612,0.00222568987508974,0.0007840382524248,-0.000600703379072853,0.00273071363936995,-5.87326642113362e-06,0.00172971505974843,0.00277234992199878,0.000289316812393688
"T+3",-0.000697331894565098,-3.82743028986003e-06,0.00135126965158116,0.000864828274201123,0.00273642930207322,0.000251531285001016,0.00139353469991349,-0.000695181204309113,0.000921910793504312
"T+4",7.91480387995206e-05,0.00147203692469438,0.0013997295967025,0.000654678799292613,0.00264327367296649,0.000336395185131292,0.00144223767385973,0.000873621920371719,0.000676015738058508
"T+5",-0.000103750454426226,0.000739136471045343,0.00143652774064395,0.000743543516385601,0.00256522339479504,0.000375196868612823,0.00141146123244846,0.000758560105471663,0.000813136358196486
"T+6",-0.00017726742390391,0.00106547409705859,0.00144353268445019,0.000732813743067116,0.0024898306850369,0.000391808316212282,0.00140645166223734,0.000537399937605778,0.000746001046506239
"T+7",-8.51360237152134e-05,0.000927893273944772,0.00144637641082163,0.000738271182027962,0.00241822325236233,0.00039900487480581,0.00139985490307031,0.000659102032992343,0.000780331293025015
"T+8",-0.000126179761673679,0.000984125673236133,0.00144709630500211,0.000737754882666347,0.00235008230736291,0.000402115799398267,0.00139647349479782,0.000641820063712264,0.000763036568012643
"T+9",-0.000122491852104169,0.000961570606368334,0.0014473371766479,0.000738094928914947,0.00228525387557638,0.000403461130912043,0.00139413841810282,0.000628502077194935,0.000771793665429487
"T+10",-0.00011476889305775,0.000970510620298953,0.0014474050854886,0.000738072739748938,0.0022235754425365,0.000404042881594943,0.00139270127461299,0.000637639188492422,0.000767367254282024
"T+11",-0.000120630833912796,0.000966994316443774,0.00144742630754493,0.000738094269696052,0.00216489410979056,0.000404294446712786,0.00139177883729654,0.000635767699798532,0.000769605980357586
"T+12",-0.000118767998322117,0.000968370356621334,0.00144743253618173,0.000738093553096275,0.0021090642240891,0.000404403230168099,0.00139119597340282,0.000635031519906946,0.000768473939219385
"T+13",-0.000118522305220437,0.000967833684288208,0.00144743443498329,0.000738094939850963,0.00205594722956999,0.000404450271052486,0.0013908255344012,0.000635696623313693,0.000769046410210198
"T+14",-0.000119137870813721,0.000968042519737038,0.00144743500063805,0.000738094940407279,0.0020054113009669,0.000404470612791119,0.00139059060849801,0.000635519652477648,0.000768756919580881
"T+15",-0.000118803292859166,0.000967961379333824,0.00144743517151795,0.000738095031329905,0.00195733101890696,0.000404479409103996,0.00139044150357439,0.000635484782614836,0.000768903312150836
"T+16",-0.000118866655652681,0.000967992872969786,0.00144743522270353,0.000738095034482702,0.00191158705838268,0.000404483212865385,0.00139034689633557,0.00063553171368712,0.000768829283068594
"T+17",-0.000118908244549974,0.000967980657628695,0.00144743523811476,0.000738095040550858,0.00186806589264104,0.000404484857713735,0.00139028686133891,0.000635516243520782,0.0007688667187811
"T+18",-0.000118865983597636,0.000967985393316376,0.00144743524274041,0.000738095040965511,0.00182665951143127,0.000404485568990236,0.00139024876643314,0.000635515153346549,0.000768847787949063
"T+19",-0.000118882876773202,0.000967983557956884,0.00144743524413141,0.000738095041377498,0.00178726515294681,0.000404485876565254,0.00139022459313622,0.000635518356348225,0.000768857361065663
"T+20",-0.000118882425871353,0.000967984269112397,0.00144743524454923,0.0007380950414188,0.00174978504879232,0.000404486009568934,0.00139020925394604,0.000635517075260004,0.000768852520044527
"T+21",-0.000118878562545913,0.000967983993598373,0.00144743524467482,0.000738095041447222,0.00171412618134343,0.000404486067083289,0.00139019952042703,0.0006355171043463,0.000768854968096391
