"","GS","AMGN","IBM","HON","AXP","MMM","CAT","WBA","TRV","DOW"
"T+1",0.000134709197148252,0.00170424391599093,0.000689301093213222,0.00138139747413096,0.00165688907973822,-0.00258652367333714,0.000293115107552469,0.00108112885425521,-0.00270357792315116,0.0031765370844369
"T+2",0.000894003167951022,0.0018069505553018,-0.000657571051366198,-0.00103509898580457,0.000899337659847605,-0.000824069116321048,0.000354051242014225,0.000788244780556486,-0.000447020479655319,-0.00190908736107215
"T+3",0.00132119794310583,0.00183924145541715,0.000425015651351856,0.0011973906366959,0.00179794682220782,-0.000503227604636229,0.00146379553174933,0.000485455669566813,-0.00130741807636078,0.00426240297437748
"T+4",0.0012901228751608,0.00185218091940532,0.000393940794603796,0.000387269878391082,0.00125140840024309,-0.000369631926250059,0.00104893247745037,0.000228924905788965,-0.00088202010799699,-0.000159489834029734
"T+5",0.00132809941623703,0.0018574996907652,0.00047748159786487,0.000798173454616809,0.00160238234038192,-0.000269070533667527,0.0013387140099125,1.17301047141295e-05,-0.0010584215780526,0.0033383392198662
"T+6",0.00131803905620651,0.00185969100768905,0.000480852052935784,0.000617551989013797,0.00137828967690866,-0.000181635416635128,0.00117915122219313,-0.000172159986750778,-0.000976154865251477,0.000631427114973839
"T+7",0.00132290624773502,0.00186059400804459,0.00048770131536275,0.000701674665441075,0.00152145563381723,-0.000103916516552531,0.00127430721186102,-0.000327852320381704,-0.00101159905643128,0.00273614368065723
"T+8",0.0013211669250644,0.00186096612421582,0.000488446199025194,0.000663422854694848,0.00142999695377228,-3.46218278095839e-05,0.00121913629173414,-0.000459670748212853,-0.00099549558613912,0.0011013194596779
"T+9",0.00132188265888898,0.00186111946930324,0.00048904045192912,0.00068098828786289,0.00148842386106927,2.71877604755087e-05,0.00125143834286053,-0.000571276101608507,-0.00100255515474214,0.00237143714378749
"T+10",0.00132160764385316,0.00186118266117993,0.000489140900820187,0.00067295473302885,0.00145109879572242,8.23239470289449e-05,0.00123259025892338,-0.000665767859032014,-0.000999385223660783,0.00138471189324283
"T+11",0.0013217168263668,0.00186120870187937,0.000489194959297786,0.000676635001800753,0.00147494329930095,0.000131507626310239,0.00124360111468369,-0.000745770224055936,-0.00100078584123802,0.00215128393429657
"T+12",0.00132167415662018,0.0018612194329743,0.000489206684938077,0.000674950180456546,0.001459710630811,0.000175381478653449,0.0012371713554119,-0.000813505004146167,-0.00100016024878368,0.00155574693755659
"T+13",0.00132169095855585,0.00186122385514425,0.000489211783196157,0.000675721706408232,0.00146944177026353,0.000214518754075118,0.00124092653916856,-0.000870853314193003,-0.00100043764651502,0.00201840989056026
"T+14",0.00132168436640114,0.00186122567747339,0.00048921306735916,0.000675368444444092,0.00146322519205205,0.000249430809351696,0.00123873350316737,-0.000919407818405564,-0.00100031404113003,0.00165897464618825
"T+15",0.00132168695729186,0.00186122642843583,0.000489213560621726,0.000675530201759513,0.00146719655068361,0.000280573795005409,0.00124001426379871,-0.000960516961419582,-0.00100036893769089,0.00193821398649559
"T+16",0.00132168593985109,0.00186122673789945,0.000489213696717425,0.00067545613515059,0.0014646595136121,0.000308354615931246,0.00123926628805617,-0.000995322416994799,-0.00100034450274281,0.0017212775284823
"T+17",0.00132168633955896,0.00186122686542611,0.00048921374526833,0.000675490049578648,0.00146628025797174,0.000333136247979457,0.00123970311356015,-0.00102479079431868,-0.00100035536283744,0.00188981190051091
"T+18",0.00132168618256136,0.00186122691797849,0.000489213759431772,0.000675474520521387,0.0014652448721239,0.000355242480499249,0.00123944800317657,-0.00104974048245667,-0.0010003505312644,0.00175888031432752
"T+19",0.00132168624423269,0.00186122693963477,0.000489213764264134,0.00067548163112188,0.00146590631132469,0.000374962146874282,0.0012395969901843,-0.00107086437846702,-0.00100035267935557,0.00186059891365526
"T+20",0.00132168622000821,0.00186122694855909,0.000489213765722743,0.000675478375250638,0.00146548376178217,0.000392552898332928,0.00123950998029412,-0.00108874913038006,-0.00100035172389615,0.00178157540412107
"T+21",0.00132168622952378,0.00186122695223671,0.000489213766207129,0.000675479866081125,0.00146575370059993,0.00040824457034172,0.00123956079493456,-0.0011038914294538,-0.00100035214875093,0.00184296747106247
