"","IBM","KO","NKE","UNH","RTX","AXP","DD","CAT","MMM","TRV"
"1",0.000609908093822492,0.00171012174441491,-0.00136948035742471,-0.00399358156799856,-0.000724957822771582,-0.00123378706446191,-2.10096960558027e-05,0.000586750256280535,0.00109793819096018,0.000726576323178536
"2",-0.00164249341812765,-0.000326324554215022,0.000315155581147665,-0.00289749546661924,-0.00076032227935125,-0.0016887763572459,0.00160143992058933,-5.83950019195501e-05,-0.000616265133674394,0.000102421525743729
"3",0.000235282477468124,0.000266543485635698,0.000670717485365088,-0.00243902141184485,-0.00102180580203872,-0.0013847636925078,0.00123552206705329,-0.00062858455289702,-0.000260259221408068,1.60308294317097e-05
"4",-0.00141433103658232,0.000194129619203607,0.00084128499215467,-0.00206991731443227,-0.000812642551802922,-0.00141356274339446,0.00116104647509127,-0.000322849749502204,-0.000292139298496438,0.000132542950272041
"5",3.66923215648616e-05,0.000179537599604619,0.000952731618942026,-0.00175770495339912,-0.000971796654753039,-0.00142316746789886,0.00119511736866554,-0.0005629504036693,-0.000265570335536476,3.72035707705393e-05
"6",-0.00123968688043132,0.000189665062359698,0.00102959135989177,-0.00149295106351176,-0.000850982038352138,-0.00142021687110101,0.00119663546369332,-0.0003862037108679,-0.000256701228814139,0.000112167065084314
"7",-0.000116930983365369,0.000187052730911762,0.00108300298579107,-0.00126841373187106,-0.000942682350958949,-0.00142025111356494,0.00119405903055863,-0.000517563572699015,-0.000249382936226074,5.34729499974414e-05
"8",-0.0011045534890919,0.000187293189842688,0.00112015839929445,-0.00107798282787254,-0.000873080675345476,-0.00142038491711717,0.00119423514509167,-0.000420076854830607,-0.000244873013539753,9.94076224141025e-05
"9",-0.000235799900927869,0.000187385478841213,0.00114600891517304,-0.000916477656694093,-0.000925909196543267,-0.00142036115777367,0.0011943979669198,-0.000492440932185747,-0.00024187679771958,6.34604201177591e-05
"10",-0.000999991474711245,0.000187336241179604,0.00116399449957418,-0.000779504507064289,-0.000885811704785656,-0.0014203587646152,0.00119436759819333,-0.000438727079813147,-0.000239927458434931,9.15915528920749e-05
"11",-0.000327776971775139,0.000187347488089291,0.00117650806317385,-0.000663337058081276,-0.00091624618994132,-0.00142036028368028,0.00119435942515181,-0.000478597584426547,-0.000238651950039456,6.9577039505514e-05
"12",-0.00091908464050603,0.000187346836653315,0.00118521444294362,-0.000564815002918015,-0.000893146044619023,-0.00142036014543789,0.00119436247198319,-0.00044900268710673,-0.000237818656570662,8.68048835662419e-05
"13",-0.000398945968143594,0.000187346302654281,0.00119127195419054,-0.000481258073342764,-0.000910679336579807,-0.00142036009650952,0.00119436271473407,-0.000470970255739448,-0.000237274029325263,7.33229317416475e-05
"14",-0.00085648144889868,0.000187346537161477,0.00119548650073103,-0.000410393123677691,-0.000897371354197317,-0.00142036011114028,0.00119436247256151,-0.000454664266967963,-0.000236918111659652,8.38734698253877e-05
"15",-0.000454014323739566,0.000187346490027446,0.00119841879451194,-0.000350292290430693,-0.000907472275090482,-0.00142036011103206,0.00119436248203966,-0.000466767803547114,-0.000236685509488142,7.56169610278818e-05
"16",-0.000808041046577588,0.000187346490839717,0.00120045895393027,-0.000299320545244176,-0.000899805552971566,-0.0014203601103584,0.00119436249812265,-0.000457783644431166,-0.000236533498796239,8.20782369345337e-05
"17",-0.000496624504334842,0.000187346493760496,0.00120187840599178,-0.000256091214351513,-0.000905624688540527,-0.00142036011047498,0.00119436249568286,-0.00046445236596537,-0.000236434156187075,7.70218520428406e-05
"18",-0.000770559370056262,0.00018734649266517,0.00120286599751861,-0.000219428254458947,-0.000901207893690692,-0.00142036011048754,0.00119436249481395,-0.000459502337106084,-0.000236369233468186,8.09788148072102e-05
"19",-0.000529594936640521,0.000187346492856269,0.001203553119719,-0.000188334258777602,-0.000904560294835904,-0.00142036011047995,0.00119436249508209,-0.000463176622436806,-0.000236326804944981,7.7882224129485e-05
"20",-0.000741557214674955,0.00018734649286282,0.00120403118874396,-0.000161963322817586,-0.000902015781490703,-0.00142036011048061,0.00119436249511403,-0.000460449290319089,-0.00023629907690891,8.03055155265427e-05
"21",-0.000555106431575229,0.000187346492847472,0.00120436380787995,-0.000139598031764803,-0.000903947098145082,-0.00142036011048086,0.00119436249509156,-0.000462473722231912,-0.000236280955986078,7.84091263016782e-05
