"","HD","CAT","BA","T","VZ","RTX","MMM","DD","MDLZ"
"T+1",0.00944858161755893,0.00532138933348624,0.0028360267539819,0.00713307601201425,0.00220307310940248,0.00865893667268782,0.00263729602247731,0.0125202225492235,0.00429532461104518
"T+2",-0.00459667517097514,-0.000658941280507888,-0.00956548890962454,-0.00659572099339037,0.00231140069791141,-0.00346237491683004,0.00726346679053903,0.00215508196290452,0.00614190076414021
"T+3",0.000895812603333869,-0.0018770852625373,0.00343834663120194,0.00200263195714008,0.000572882986350029,-0.000905482419142007,-0.00221235111119512,-0.00436901153528939,-0.00211134758091237
"T+4",-0.00105976522712668,-0.000813745344158551,-0.00508858130984447,-0.00201018701608986,-0.000332112324415139,5.74593756925948e-05,-0.00213804078297326,-0.0015524744065002,0.000856848888099656
"T+5",-0.000413114925961369,-0.00111935091867438,3.47194810927263e-06,-0.000568454580185601,-0.000576170823767377,-0.00104886335163087,-0.000516576238965653,-0.00141305506357986,0.000998720249937142
"T+6",-0.000612876581790422,-0.0011004902296733,-0.00295934083020168,-0.000904759844068115,-0.000586818367378028,-0.000582348788408491,-0.000678088082080735,-0.00179302232987761,0.000469648552297938
"T+7",-0.000555459586537758,-0.00107844803017562,-0.00124881681175729,-0.000925786785596751,-0.000561405578384522,-0.000634629454168746,-0.000941897093433615,-0.00172055432351244,0.000656179432652665
"T+8",-0.000570560378410004,-0.0010890486218312,-0.00223399733862431,-0.000843213263588571,-0.000547030272251882,-0.000699422271030653,-0.000889943498968317,-0.00169082999826582,0.000666754165594483
"T+9",-0.00056708124900022,-0.00108695916758722,-0.00166699877546395,-0.000903549156291242,-0.000542874948217134,-0.000649684561809454,-0.000849377650213415,-0.00170677306467317,0.000632849796227865
"T+10",-0.000567693870818231,-0.00108676606581752,-0.00199324760665183,-0.000872683158605201,-0.000542562986624044,-0.00066622308579805,-0.000862026367966687,-0.00170667434668845,0.000644566851570317
"T+11",-0.000567668762293708,-0.00108704500584183,-0.00180553852337919,-0.000884913952357179,-0.000542928668305641,-0.00066653897374558,-0.000867836706489535,-0.0017047330232963,0.000645337939658813
"T+12",-0.000567622356434768,-0.00108695261056392,-0.00191353562867989,-0.000881436106584198,-0.000543155604492905,-0.000662937778516981,-0.000865130205600721,-0.00170520321742313,0.000643165986228255
"T+13",-0.000567653388870787,-0.00108696242691575,-0.00185140067184218,-0.000881745587412927,-0.000543225692864167,-0.000665037701148189,-0.000864380060480441,-0.00170533150463286,0.000643901669716165
"T+14",-0.00056763901465482,-0.00108696745289221,-0.00188714926675299,-0.000882188090732915,-0.000543232919677673,-0.000664517996462506,-0.000864913946712208,-0.0017052432964104,0.000643956966167263
"T+15",-0.000567644710294731,-0.00108696450240614,-0.00186658175896259,-0.000881781711411097,-0.00054322775904127,-0.000664397313064357,-0.000864993872947249,-0.00170524829953181,0.00064381787450763
"T+16",-0.000567642663156598,-0.00108696519121666,-0.0018784150154243,-0.000882011959743188,-0.000543224199181662,-0.00066457706493103,-0.000864894800457092,-0.00170525798873737,0.000643864044856767
"T+17",-0.000567643345533419,-0.00108696520225908,-0.00187160690083858,-0.000881912125791566,-0.000543223026914914,-0.000664493888593137,-0.000864890154568728,-0.00170525508617915,0.000643867958694562
"T+18",-0.000567643133071798,-0.00108696513125404,-0.00187552386346588,-0.00088194478157044,-0.000543222876218938,-0.000664506819032619,-0.000864907604917025,-0.00170525457702841,0.000643859054198802
"T+19",-0.000567643194682529,-0.00108696515845901,-0.00187327028856801,-0.000881938923168037,-0.00054322294724369,-0.000664516201281371,-0.000864906802462912,-0.00170525505482899,0.000643861950404752
"T+20",-0.000567643178287976,-0.00108696515449275,-0.00187456685437529,-0.000881937073469312,-0.000543223002718101,-0.000664507893502551,-0.000864903877486679,-0.00170525500483937,0.000643862224511689
"T+21",-0.000567643182138393,-0.0010869651534413,-0.00187382089164149,-0.000881939670117324,-0.000543223022174305,-0.000664510953023783,-0.000864904283695178,-0.00170525495775587,0.000643861654640056
