"","WMT","GS","AXP","CAT","UNH","RTX","DD","NKE","MMM","TRV"
"1",0.0002491492509887,0.00213348863431203,0.000119336327952626,0.00159633392784837,0.00115205245329245,0.000907119095805139,0.000523875727713752,0.00139281808223873,0.000695920611164709,0.00149099582198225
"2",4.27212837737e-05,0.00114655022581549,6.33053418014433e-05,-7.40436903648424e-05,0.00142512067619815,2.02551413280936e-05,-0.000379890221181396,0.00154846791505248,0.000330370934832831,0.000939721983936398
"3",2.99222934577772e-05,0.0011554562453788,-4.77542750241905e-05,-0.000270578266804386,0.00187373059277061,9.02455462271722e-05,0.00102542847108786,0.00167326173811286,0.000384917819663563,0.000907018700022982
"4",1.96196478386491e-05,0.00116675623782022,-0.000136770899636857,-0.000547118267560995,0.00155413525339816,3.53418700220204e-05,-0.000263561595625424,0.00176178821523936,0.000372865491595083,0.00097627740950959
"5",1.51972590545829e-05,0.00116468076913385,-0.000203445572465238,-0.000556780688069915,0.00171238913409779,1.47752876148462e-05,0.000962651019698402,0.00182425689553536,0.000372599147568519,0.000929926941235335
"6",1.3177591720048e-05,0.001164893619163,-0.000252973775811456,-0.000604628209855776,0.00164454747501759,-1.17905817668797e-06,-0.000200192460795002,0.00186832719749302,0.000371112227186986,0.000956986452442422
"7",1.22623629156246e-05,0.0011648837192404,-0.000289726131326178,-0.000602011475377211,0.00167133675285678,-1.13155714134654e-05,0.000902849040371539,0.00189941749321832,0.000370297849809408,0.000941683662059015
"8",1.18472251094233e-05,0.0011648826658977,-0.000316994483958564,-0.000610677263799091,0.00166133581613473,-1.80494154579096e-05,-0.000143442449855305,0.00192135076676293,0.000369702010983373,0.000950266929117134
"9",1.16589450919132e-05,0.00116488297740224,-0.00033722584343927,-0.000609434028876015,0.00166491144654825,-2.24758057873662e-05,0.000849020628746625,0.00193682403472855,0.000369296621724576,0.000945463081005592
"10",1.15735520685931e-05,0.00116488293709201,-0.000352236174195164,-0.000611072955159697,0.00166367871490835,-2.53926228864869e-05,-9.23831893709283e-05,0.00194773996211095,0.000369016142739139,0.000948150119148719
"11",1.1534822756143e-05,0.00116488294002828,-0.000363372843731198,-0.000610705987101244,0.00166408992327947,-2.73135771789369e-05,0.000800588226858196,0.00195544082212816,0.000368822852157526,0.000946647354184007
"12",1.15172573871266e-05,0.0011648829400437,-0.000371635513342365,-0.000611027851457492,0.00166395707163294,-2.85788490505921e-05,-4.64424882663451e-05,0.00196087354835718,0.000368689523312722,0.000947487762414745
"13",1.15092907551105e-05,0.00116488294000281,-0.000377765865739003,-0.000610934146969499,0.00166399859569942,-2.94122171004001e-05,0.000757011037115589,0.00196470617409165,0.000368597575192738,0.000947017776628898
"14",1.15056775531432e-05,0.0011648829400097,-0.000382314180297457,-0.000610999310108808,0.00166398608379446,-2.99611169111297e-05,-5.10721422597443e-06,0.0019674099768237,0.000368534161385395,0.000947280608401622
"15",1.15040388144109e-05,0.00116488294000904,-0.000385688727792049,-0.000610976919587502,0.00166398969260293,-3.03226504196698e-05,0.000717802338946036,0.00196931742871709,0.000368490427347094,0.000947133624198735
"16",1.15032955776205e-05,0.00116488294000907,-0.000388192418037477,-0.000610990420879847,0.00166398870948228,-3.05607749897031e-05,3.20843140235384e-05,0.0019706630789313,0.00036846026559544,0.000947215822599279
"17",1.15029584885436e-05,0.00116488294000907,-0.000390049990009746,-0.00061098525749482,0.00166398895568516,-3.07176160682212e-05,0.000682524203274429,0.00197161239487751,0.000368439464162627,0.000947169854552799
"18",1.15028056045002e-05,0.00116488294000907,-0.000391428185111341,-0.00061098810217852,0.00166398890259649,-3.08209196645781e-05,6.55474954264359e-05,0.00197228210886128,0.00036842511818964,0.000947195561394431
"19",1.15027362651702e-05,0.00116488294000907,-0.000392450714394951,-0.000610986935734747,0.0016639889103506,-3.08889607228563e-05,0.000650782602186805,0.00197275457203,0.000368415224307075,0.000947181185284184
"20",1.1502704816874e-05,0.00116488294000907,-0.000393209363249987,-0.000610987542190385,0.0016639889110671,-3.09337760611466e-05,9.56560863423788e-05,0.00197308788065309,0.000368408400865185,0.000947189224877246
"21",1.15026905537518e-05,0.00116488294000907,-0.000393772230342864,-0.000610987281948441,0.00166398890976666,-3.09632937464432e-05,0.000622223007967185,0.00197332301990961,0.000368403694991749,0.000947184728872731
