"","GS","AMGN","IBM","HON","AXP","CAT","MMM","WBA","DOW","TRV"
"T+1",0.00164290340859314,0.000982081505194555,0.00225013316759185,0.00335744557741605,0.00200239963394874,0.00375769599542407,0.00433446448202522,-0.00317278478969919,0.00405029849255161,0.00268259418001058
"T+2",-0.000398468324394037,0.000475145533989418,0.0017137068501001,-0.000158996957048338,0.00154994637260028,0.00237240300116324,0.00335662341655379,-0.0024908963947508,-0.0029427731873124,-0.00302127583743025
"T+3",0.000936580915819877,0.000414086946427845,0.000702142585544703,0.000813864400486056,0.00172063260346659,0.00208865560032608,0.0029219656030958,-0.00196612075398709,0.00284553030676242,0.00102085212152449
"T+4",0.000340694488054336,0.000392218986082138,0.00067916493994866,0.000199381512615337,0.00161146272296409,0.00194253869900438,0.00259662537402749,-0.00255234360223346,-0.00100150153370476,-0.000984783742198704
"T+5",0.00066159362702517,0.000385958627953338,0.000634059700425506,0.00045175121189562,0.00166801629613096,0.00182843425012312,0.00232110795032019,-0.00198256137351553,0.00166220432078563,0.000173094161727887
"T+6",0.000504729582839694,0.000384109181829654,0.000633077132703869,0.000324727400146286,0.0016363999491751,0.00173250251550365,0.00208318073460025,-0.00253132694042284,-0.000167089101291795,-0.000451335262290094
"T+7",0.000585246400497852,0.000383565422509681,0.000631065868842197,0.000382471674525851,0.00165357446361974,0.00165105854081637,0.00187712999575192,-0.00200314556731593,0.00109121342482242,-0.000104349224020636
"T+8",0.000544935174438509,0.000383405435645038,0.000631023930074248,0.000354883959647582,0.00164414486691444,0.00158182929036656,0.00169861211611958,-0.00251149132448282,0.000225952527550913,-0.000294615146306396
"T+9",0.000565374052582102,0.000383358368828244,0.000630934245106322,0.000367744187652968,0.00164930154208977,0.0015229737722257,0.00154393903946102,-0.00202223788269399,0.000820979654681524,-0.000189669094361009
"T+10",0.000555077463208824,0.000383344521932369,0.000630932458656943,0.000361676449277042,0.00164647736345866,0.001472936558645,0.00140992466603151,-0.00249311596210871,0.000411793464201856,-0.000247403993645292
"T+11",0.000560281613100395,0.000383340448233188,0.000630928459404474,0.000364522346887419,0.00164802323576377,0.00143039630308061,0.00129380960368315,-0.0020399231115347,0.00069318190836156,-0.000215605080069866
"T+12",0.000557655677527111,0.000383339249767385,0.000630928383476376,0.000363183643322364,0.00164717689562035,0.00139422974302766,0.00119320315610348,-0.00247609495419004,0.000499677290958291,-0.000233110155489388
"T+13",0.000558981805426376,0.000383338897183618,0.000630928205137284,0.000363812457962825,0.00164764021742457,0.00136348192315371,0.00110603395220468,-0.00205630484481817,0.000632746155063308,-0.000223471552762328
"T+14",0.000558312383200413,0.000383338793454907,0.000630928201918046,0.000363516881691743,0.00164738656848951,0.00133734096780473,0.00103050728052341,-0.00246032848571289,0.000541237629391223,-0.000228778204624987
"T+15",0.00055865037776819,0.000383338762938342,0.000630928193965195,0.000363655769606386,0.00164752542897597,0.00131511664264074,0.000965068135928465,-0.00207147915658982,0.000604166026348083,-0.000225856432013036
"T+16",0.000558479741604765,0.000383338753960492,0.000630928193829073,0.000363590496510026,0.00164744940929166,0.00129622212932103,0.000908369203613499,-0.00244572409043728,0.000560891554254394,-0.000227465089863068
"T+17",0.000558565891937166,0.000383338751319245,0.000630928193474417,0.000363621170276243,0.00164749102648537,0.00128015853094594,0.000859243119438813,-0.00208553504028166,0.000590650455256673,-0.000226579393753186
"T+18",0.000558522397835004,0.000383338750542201,0.000630928193468679,0.000363606755160024,0.00164746824302088,0.00126650169901857,0.000816678435276232,-0.0024321961173422,0.000570185914709083,-0.000227067039134383
"T+19",0.000558544356711746,0.000383338750313598,0.000630928193452862,0.00036361352939492,0.00164748071589807,0.00125489103408925,0.000779798794484627,-0.00209855493003555,0.000584258928352778,-0.000226798551532646
"T+20",0.000558533270411161,0.000383338750246344,0.000630928193452621,0.000363610345880961,0.00164747388758284,0.00124501996436986,0.000747844888760276,-0.00241966522834559,0.000574581226937746,-0.00022694637521862
"T+21",0.000558538867533714,0.000383338750226558,0.000630928193451916,0.000363611841948145,0.00164747762576505,0.00123662785091227,0.000720158824874503,-0.00211061518415548,0.000581236368974114,-0.000226864986546209
