"","MCD","CAT","AMGN","IBM","AXP","HON","MMM","DOW","WBA","TRV"
"T+1",0.00171219565923485,0.0059718056980245,-0.00060918480381429,0.00163694268768281,0.000228385957997892,-0.00337128859877263,-0.00304112396032475,0.00139108766886066,-0.000440449828311456,-0.000594889217030022
"T+2",0.000492840901872336,-0.00211673302204239,0.00081599584140257,-0.00066368790964386,0.000462299367641276,-0.00286356327135405,-0.00219176285033246,-0.000459759916324246,-0.000343043819037857,0.00115550092337899
"T+3",0.000733378922794244,-0.00159700723470838,-0.000214466650792926,0.000432447756573594,8.68973124714665e-05,-0.0019492108379201,7.69432627970134e-05,-0.000330189257895032,-0.000557577203265942,0.000898954852397527
"T+4",0.000632625339656065,-0.00058533634310968,0.000810678157160991,-0.00010362287600519,-8.35388671771181e-05,-0.00141827748773356,-0.00239768284142035,-0.000357322737282033,-0.000424750280932113,0.000844651709724947
"T+5",0.000657137693926974,-0.000137690419417772,-0.000194930580598591,0.000158490070709646,-0.000180397382625048,-0.00113700384277965,-0.00013105034593206,-0.000353214624000721,-0.000511794500835006,0.000780589660751788
"T+6",0.000648409175957199,-1.27473068174611e-05,0.000792041011278877,3.03291394281555e-05,-0.000233706573984396,-0.000990022578171503,-0.00215347332310478,-0.000353882456420365,-0.000454994452036341,0.000725834648577264
"T+7",0.000650773265948518,6.66327404442293e-06,-0.000176619096922343,9.29938200363115e-05,-0.000263170499397677,-0.000913383717471151,-0.000356885954831549,-0.000353775737971009,-0.000492070392886816,0.000677555031681666
"T+8",0.000649996169834199,4.49596928704134e-06,0.000774070004078181,6.23537321649855e-05,-0.000279446099455577,-0.00087343668724667,-0.00195165138737716,-0.000353792860708228,-0.000467869811440844,0.000635130135330827
"T+9",0.000650218543532055,1.61685599610657e-06,-0.000158981468007687,7.73352971494499e-05,-0.000288437254647046,-0.000852615973061651,-0.000536219540198354,-0.000353790116049284,-0.000483666284853988,0.00059783617861553
"T+10",0.000650148323805836,4.07287007812412e-07,0.000756759597744458,7.00100149790362e-05,-0.0002934042039401,-0.000841764146603243,-0.00179245611224237,-0.000353790556100147,-0.000473355435811923,0.000565053933169775
"T+11",0.000650168990747411,8.32957371598962e-08,-0.000141992212371524,7.35917341740485e-05,-0.000296148080201428,-0.000836108146220563,-0.000677514207940535,-0.00035379048555067,-0.000480085647431373,0.000536237460138883
"T+12",0.000650162595737279,3.75249838041851e-08,0.000740085534709349,7.18404415830636e-05,-0.000297663870920944,-0.000833160224685593,-0.00166705284983674,-0.000353790496861391,-0.000475692629142733,0.000510907019402154
"T+13",0.000650164505077594,4.53834067549748e-08,-0.000125627494335691,7.26967414693053e-05,-0.00029850123432181,-0.000831623760671304,-0.000788812818496089,-0.000353790495048025,-0.000478560088708115,0.000488640891964204
"T+14",0.000650163920311115,5.35203865341665e-08,0.00072402442256005,7.22780510123525e-05,-0.000298963816295669,-0.000830822951821717,-0.00156827256366149,-0.000353790495338749,-0.000476688408733476,0.000469068377080722
"T+15",0.000650164096182014,5.67767369113792e-08,-0.000109864355434822,7.24827709960404e-05,-0.000299219358969739,-0.000830405568266361,-0.000876482767454848,-0.00035379049529214,-0.000477910112421911,0.000451863618859387
"T+16",0.000650164042599103,5.7612864679159e-08,0.000708553728768839,7.23826725318284e-05,-0.0002993605275884,-0.000830188026923823,-0.00149046331594232,-0.000353790495299612,-0.000477112668455763,0.000436740181365668
"T+17",0.000650164058774322,5.77183743050411e-08,-9.46806811751084e-05,7.24316159830592e-05,-0.000299438512914989,-0.00083007464383744,-0.000945540398676382,-0.000353790495298414,-0.000477633184915823,0.000423446279836473
"T+18",0.000650164053859235,5.76919075196238e-08,0.000693651749120321,7.24076849323958e-05,-0.000299481594098476,-0.000830015548292071,-0.00142917296079596,-0.000353790495298606,-0.000477293427645476,0.000411760588806163
"T+19",0.00065016405534577,5.7669053458052e-08,-8.00551700078902e-05,7.24193860930506e-05,-0.000299505393298298,-0.000829984747547498,-0.000999937104254596,-0.000353790495298575,-0.000477515197774974,0.000401488557336998
"T+20",0.000650164054894672,5.76603186391999e-08,0.000679297577262108,7.24136647746432e-05,-0.000299518540613815,-0.000829968694123161,-0.00138089453965397,-0.00035379049529858,-0.00047737044151917,0.000392459170009381
"T+21",0.000650164055031234,5.76581719384897e-08,-6.5967303445185e-05,7.24164622308345e-05,-0.000299525803543099,-0.000829960327038647,-0.00104278539668662,-0.00035379049529858,-0.000477464928426139,0.000384522099746614
