"","CAT","MCD","IBM","AXP","HON","AMGN","MMM","DOW","WBA","TRV"
"T+1",-0.0010593974304172,0.000620096724017189,-0.00010155252374236,0.00132502467705122,0.00014352070737111,-0.00136398120513551,0.00194088259161835,6.26526109846082e-05,0.000518686445341636,0.00279650730191305
"T+2",-0.000171545222368593,8.94447240059033e-05,0.00138175590811292,0.00162967055636972,0.00123506566027401,-0.000839596764745017,0.000822407896360843,0.00029957614436676,-0.00326601135001655,0.00179317166883827
"T+3",-5.90557579559352e-05,0.000474928633232813,-0.00036458227582512,0.000866902268996795,-0.000175697104136018,-0.000544989202438781,-0.00152123021242284,-2.58290162802743e-05,0.000956310264353122,0.0014099962636901
"T+4",-0.000120230867810404,0.000389057771373525,0.000596099255275254,0.00111055316154468,-0.000547585019000238,-0.000357015332116037,-0.000875890990769877,0.00026435722203089,-0.00170448245359233,0.00117767273150567
"T+5",-0.000138320603964102,0.000418477273538721,0.000117775216085769,0.00106023194041069,-0.000383605803171851,-0.000235079636723701,-0.000692233362878276,7.07963547356677e-06,3.31276517165856e-05,0.0010392569171586
"T+6",-0.000135522670679343,0.000410176793146427,0.000351017374572492,0.00106706496537677,-0.00030258383792108,-0.00015582515523628,-0.000818805815532754,0.000235158432509581,-0.00109840711694512,0.000956746518435427
"T+7",-0.000133578568039168,0.00041271860302979,0.000237815241528203,0.00106684962453432,-0.000316191742895478,-0.000104300078087445,-0.000817213454425594,3.29649426826355e-05,-0.000361387485471313,0.00090756243121113
"T+8",-0.000133553461999698,0.00041196751748571,0.000292698100286843,0.00106663950727391,-0.000330653197942772,-7.08015653411643e-05,-0.000800299342230191,0.000212210917086733,-0.000841433364993546,0.000878243997749926
"T+9",-0.000133717736680857,0.000412192887417927,0.00026609623277328,0.00106671899560668,-0.000330640134015657,-4.9022771335836e-05,-0.000804073735912386,5.3308079250892e-05,-0.000528762785078957,0.000860767399603772
"T+10",-0.000133742419949659,0.000412125710064295,0.000278989501695833,0.00106670097800196,-0.000328407419084068,-3.48634545857676e-05,-0.000805584920757977,0.000194176581073791,-0.000732415988816572,0.000850349670999425
"T+11",-0.00013373163149409,0.000412145791362948,0.000272740533182921,0.00106670374499728,-0.000328087360168826,-2.56578824132521e-05,-0.000804752720929802,6.92956470635002e-05,-0.000599769585873853,0.000844139705629466
"T+12",-0.000133728023299591,0.000412139795876037,0.000275769205875679,0.00106670356025288,-0.000328385610538346,-1.9672949596209e-05,-0.000804721808902836,0.000180003487904237,-0.000686166793870055,0.000840437970696574
"T+13",-0.000133728459429073,0.000412141586846993,0.000274301307292318,0.00106670350793574,-0.000328478006255893,-1.57818909877588e-05,-0.000804841720731002,8.1860195489336e-05,-0.00062989329240817,0.000838231381658302
"T+14",-0.000133728830485769,0.000412141051971456,0.000275012749607991,0.00106670353314798,-0.000328445326312969,-1.3252148790414e-05,-0.000804820713399283,0.000168864925894054,-0.000666546177845251,0.000836916042966557
"T+15",-0.000133728843722601,0.00041214121172851,0.000274667936855874,0.00106670352684084,-0.000328426359153408,-1.1607456117015e-05,-0.00080480879035532,9.17346103469024e-05,-0.000642672880894392,0.000836131974957518
"T+16",-0.000133728813526264,0.00041214116401419,0.000274835056284145,0.00106670352791745,-0.000328428664320283,-1.05381716686729e-05,-0.000804814160853395,0.000160111186525347,-0.000658222388129839,0.000835664595227374
"T+17",-0.000133728808245274,0.000412141178265194,0.0002747540589803,0.0010667035278165,-0.000328431922728196,-9.84298450698673e-06,-0.000804814656172298,9.94948628824282e-05,-0.00064809445415562,0.000835385992083728
"T+18",-0.000133728810126411,0.00041214117400883,0.000274793315716008,0.00106670352780591,-0.000328432037164826,-9.39101385453534e-06,-0.000804813820116602,0.000153231667170406,-0.000654691129216313,0.000835219917890426
"T+19",-0.000133728810839848,0.000412141175280088,0.000274774289264199,0.00106670352781364,-0.000328431551029126,-9.09716856806333e-06,-0.000804813928455548,0.000105593605975948,-0.000650394485698776,0.000835120921743721
"T+20",-0.000133728810775356,0.000412141174900399,0.000274783510761145,0.00106670352781148,-0.000328431463249911,-8.90612728714498e-06,-0.000804814019605465,0.000147825087814823,-0.000653193038810296,0.000835061910545969
"T+21",-0.000133728810704968,0.000412141175013801,0.000274779041404126,0.00106670352781188,-0.000328431525579068,-8.7819232495267e-06,-0.000804813985670542,0.000110386577229201,-0.000651370243997081,0.000835026734212586
