"","DIS","MRK","T","VZ","BA","RTX","MMM","DD","TRV","MDLZ"
"T+1",0.00387706055639744,0.00323629744507331,0.00206138905027304,-9.51836896182911e-05,0.00178540317964062,0.00266248422721871,0.000337040157288535,0.00246498733406357,-0.00224406853428626,0.00339506065950728
"T+2",0.00334253943328191,0.000205624685164615,0.00108918896720599,-0.000384107564600185,0.000608643437200299,0.00133243257735994,0.000721891899534723,-0.00315854375716812,0.00104986784242179,-0.00014836771219706
"T+3",-0.000751995782479058,0.00112090798814861,-3.93367055864763e-05,-0.000308388355258391,0.000566895290769225,0.0012628365705773,0.00099630000785919,-0.00215493961509054,0.00140286807749976,0.0025286516609154
"T+4",0.000424194749301715,0.00117393344277542,0.000123359139366896,-0.000274128254667796,0.000610926081339128,0.00136704488157162,0.000915258480196087,-0.00237292036652715,0.00163852255095144,0.000718002780289258
"T+5",0.000613891593366561,0.00106030613471915,0.00027830041333912,-0.000281761915944908,0.000590961429416925,0.00134057962653555,0.000883463399970876,-0.00236343190314258,0.00172654771620277,0.00189497426100038
"T+6",0.000416404274143361,0.00108830063445112,0.000251854629790358,-0.000285790984576255,0.000599495896219416,0.0013418610970764,0.000898087930817523,-0.00239413756686942,0.00176332443012472,0.00114190556648457
"T+7",0.00044637409190544,0.00109216177173441,0.000230676535797534,-0.000285035691279378,0.000595871167617886,0.00134314554191723,0.000901280310602946,-0.00241572244077395,0.00177829811571403,0.00162060689781448
"T+8",0.000462776766157296,0.00108802291304784,0.000234882944214439,-0.000284565404356441,0.000597409511435791,0.00134268485490307,0.000898880275221598,-0.00243739168932879,0.00178442984907966,0.00131714658583456
"T+9",0.000454608941018113,0.00108883617200641,0.000237764038530747,-0.000284638353991802,0.000596756689799912,0.00134274045004541,0.00089864725207453,-0.00245753957891457,0.00178693755435908,0.00150929404574929
"T+10",0.000454785757195455,0.00108903797940349,0.000237106202143765,-0.000284692869387664,0.000597033722766651,0.0013427529570678,0.000899013801380325,-0.0024765509699797,0.00178796343209099,0.00138768849412732
"T+11",0.000455752191207291,0.00108889118333728,0.000236716225617357,-0.000284686049628001,0.000596916160518284,0.00134274576073758,0.000899012836691975,-0.00249443799579334,0.00178838308136192,0.0014646336498995
"T+12",0.000455468284123653,0.00108891308899188,0.000236817708566599,-0.000284679770916833,0.000596966049456205,0.00134274710424752,0.000898960288178122,-0.00251127672634267,0.00178855474712066,0.00141595140966167
"T+13",0.000455425214976867,0.00108892230258225,0.000236870208160461,-0.000284680379076909,0.000596944878492523,0.00134274715902308,0.000898965362383494,-0.00252712683009082,0.00178862497013388,0.00144675089219759
"T+14",0.000455472147031404,0.00108891722920175,0.000236854729047614,-0.000284681097808601,0.00059695386264254,0.00134274705835482,0.000898972432129389,-0.00254204667726689,0.0017886536961608,0.00142726549281632
"T+15",0.000455464775015053,0.00108891774675358,0.000236847703274015,-0.000284681047523385,0.000596950050111721,0.00134274708470407,0.000898971039404302,-0.00255609080516691,0.00178866544707334,0.00143959291415152
"T+16",0.000455460944697041,0.00108891813615158,0.000236850041676795,-0.000284680965729867,0.000596951668004479,0.00134274708323439,0.000898970154950848,-0.00256931062519653,0.0017886702540016,0.00143179400415461
"T+17",0.00045546289841865,0.00108891796540798,0.000236850975756268,-0.000284680969331659,0.000596950981432461,0.00134274708201294,0.000898970438029344,-0.00258175451733404,0.00178867222036455,0.00143672795753461
"T+18",0.000455462844555545,0.00108891797434088,0.000236850625429296,-0.000284680978587251,0.000596951272787455,0.00134274708246681,0.00089897053845482,-0.00259346802449219,0.0017886730247417,0.0014336065106643
"T+19",0.000455462616522928,0.00108891798996011,0.00023685050215123,-0.00028468097841371,0.000596951149147502,0.00134274708240927,0.000898970488370148,-0.0026044940160032,0.00178867335378706,0.00143558128173408
"T+20",0.000455462685019561,0.00108891798437659,0.00023685055425165,-0.000284680977372184,0.000596951201615585,0.00134274708239777,0.000898970478652576,-0.00261487284510288,0.00178867348838916,0.00143433195071197
"T+21",0.000455462694773095,0.00108891798436002,0.000236850570386592,-0.000284680977365739,0.00059695117935013,0.00134274708240479,0.000898970486757828,-0.00262464249650762,0.00178867354345064,0.00143512233495646
