"","AA","MRK","T","VZ","BA","RTX","MMM","DD","TRV","MDLZ"
"T+1",-0.00467011446094786,0.000231549137223879,-0.00293317848009341,-0.00167758602835315,4.43861755636613e-05,-0.00176881513581469,-0.00287567170562932,0.0145032191847888,-0.00492214576488435,0.00259309302980035
"T+2",-0.00644656495450378,0.000175264783505266,0.00107110211546763,0.0011081304471514,8.16141824876892e-05,0.00076138402604057,5.95985133391302e-05,0.00811432002554178,0.000549309088664018,0.00193206049849093
"T+3",-0.00442751458114103,0.000456314295829564,0.000654200334958134,-1.54716492508219e-05,-0.000411872620529028,0.000614490484025338,0.0013670419087429,0.00871892502671056,1.9434394507357e-05,0.000476662546345986
"T+4",-0.00340326091418284,0.00036095140052723,-0.000167322273593301,-0.000477702827450138,0.000108249249127769,0.000381667975641515,0.00061991570057023,0.00806026026259759,0.000220325017635244,0.00188569733304943
"T+5",-0.00314953915806083,0.000360875675981725,-4.83079787531433e-05,-0.000261771698840909,-0.000413178073530214,0.000474778232972097,0.000559933800585265,0.00766033779475763,0.000239624770808578,0.000921557484017765
"T+6",-0.00313440682811615,0.000372710516267639,0.000118940368968428,-0.000186024328966843,0.000108061461627791,0.000469953335240817,0.000694123959201798,0.00723715869492073,0.000257041942939034,0.00150240081581194
"T+7",-0.00315104292324765,0.000368410760867323,8.7569235652375e-05,-0.00022709994397792,-0.000412902390382749,0.000461194052781231,0.000676373795789248,0.00684159932962897,0.000262747568959398,0.00117447870298691
"T+8",-0.00315952740887543,0.000368511005931958,5.37967186764344e-05,-0.000239329592427217,0.000107780739080224,0.000464619073511036,0.000658125004726061,0.00646317845296462,0.000265302403676489,0.00135263813565202
"T+9",-0.00316163722397842,0.000369006876378938,6.16666614810486e-05,-0.000231586177687089,-0.000412621513396853,0.000464463269340519,0.000664765249063048,0.00610278598373982,0.000266317008549369,0.00125820230394613
"T+10",-0.00316176603021083,0.000368813915441694,6.84269299573561e-05,-0.000229647476934956,0.000107499995586614,0.000464133913982147,0.000666379706105047,0.00575926299272777,0.000266737799468357,0.00130743081913081
"T+11",-0.00316162896368133,0.000368822777851928,6.65189080308906e-05,-0.000231095418349806,-0.000412340920294415,0.000464259849735845,0.000664965172565161,0.00543187523620298,0.000266909536085205,0.0012820668306901
"T+12",-0.00316155868315073,0.000368843442278802,6.51785791117547e-05,-0.000231395648827446,0.000107219553794785,0.00046425493044669,0.000664992055446204,0.00511985462610928,0.000266980040876462,0.00129502584073789
"T+13",-0.00316154113955533,0.000368834820954942,6.5629606546899e-05,-0.00023112690495375,-0.000412060629790559,0.000464242553298388,0.000665217298506157,0.004822481734155,0.000267008923195809,0.00128844528780908
"T+14",-0.0031615400439278,0.000368835401480031,6.58925321685994e-05,-0.000231081844863545,0.000106939414500764,0.000464247181925173,0.00066516669400225,0.00453906857962296,0.000267020764295712,0.00129177174913704
"T+15",-0.00316154117316954,0.000368836257548846,6.57880029533138e-05,-0.000231131381264329,-0.000411780641625003,0.000464247031365703,0.00066514033291485,0.00426895990712845,0.000267025617454729,0.00129009591390581
"T+16",-0.00316154175532108,0.000368835873972254,6.57370475935479e-05,-0.000231137847642111,0.000106659577382156,0.000464246566483757,0.000665153997448696,0.00401153114228502,0.000267027606771308,0.0012909380339392
"T+17",-0.00316154190119593,0.000368835907641257,6.57608867483704e-05,-0.000231128776070308,-0.000411500955471857,0.000464246736530951,0.000665155493945542,0.00376618704515946,0.000267028422162522,0.00129051567597632
"T+18",-0.00316154191050913,0.000368835942874366,6.57706233359144e-05,-0.000231127911345831,0.00010638004211303,0.000464246732130027,0.00066515295771252,0.00353236031591,0.000267028756384111,0.00129072719677108
"T+19",-0.00316154190120625,0.000368835925877098,6.57652594747401e-05,-0.000231129562325194,-0.000411221571005353,0.000464246714678352,0.000665153234007043,0.00330951028636442,0.000267028893377825,0.00129062138286568
"T+20",-0.00316154189638423,0.000368835927703543,6.5763430304444e-05,-0.000231129663854369,0.000106100808367792,0.000464246720922852,0.000665153591059791,0.00309712166924147,0.000267028949530136,0.00129067427172988
"T+21",-0.00316154189517132,0.000368835929143025,6.57646231875075e-05,-0.000231129365183857,-0.000410942487900072,0.000464246720803505,0.000665153472720805,0.00289470336678571,0.000267028972546373,0.0012906478534564
