"","MMM","AXP","BA","CAT","KO","XOM","GE","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL","DD","WMT"
"T+11",0.000652282284879505,0.00105282966734223,0.00310573989772075,0.00237136395150602,0.000419852843874179,7.9932023733115e-05,-0.00224767774343006,0.000799178223817383,0.00182112209088242,-0.000475174739547578,0.00313945332597748,0.000792628333158574,0.00136412930622173,-0.00201161364842815,0.00149862761985294,0.00071917466398927,-0.000196765461645721,0.000928252318500805,0.000134900335888251,-0.000535049543301075,-8.88764601544251e-05,0.00103925791259675,-8.97394197823366e-05,0.000942188383280829,0.000854868227609407,-0.000104217999019976,0.00106441575238703,0.000990771115066695,0.000578376274989035,0.000949222436003914
"T+12",0.000492785985112428,0.00105352658797032,0.00429755648606472,0.00237216753795689,0.000419852367028046,0.000118519730880143,-0.00224769039176111,0.000799171131985519,0.00181927941535585,-0.000475176718916587,0.00300202438629366,0.000792701939555538,0.00136331345830024,0.00201009280225346,0.00149837612927138,0.000719201067400241,-0.000472836558296021,0.00092825121305181,0.00015523627902212,-0.00053428111676391,-8.89911366535041e-05,0.00104946367562952,0.000100240127132383,0.00210339093562302,0.00085471725237565,-0.000103932300168102,0.00106415799041704,0.00099076961727406,0.000575540470775948,0.000949201325455681
"T+13",0.000644659236624219,0.00105324962614443,0.00310788800318467,0.00237203211643326,0.000419852349730345,8.68044863460693e-05,-0.00224767540809456,0.000799173524126432,0.00182027361229951,-0.000475176300244499,0.00287205376695312,0.000792692937629516,0.00136341170596304,-0.00208060635718069,0.0014984244904635,0.0007192091841981,-0.000226442922862405,0.000928250794387103,0.000170827913489125,-0.00053438568676387,-8.88807929883534e-05,0.00104209386819065,-5.65941243984684e-05,0.00102519897447764,0.000854799245731172,-0.000103920634872105,0.00106415465053938,0.000990769026231823,0.000575281055484982,0.000949242903824162
"T+14",0.00050004469348948,0.00105319093249143,0.0042954122522293,0.00237188021655738,0.000419852371128245,0.000112871252428422,-0.0022476795194191,0.000799173363817945,0.0018197372033938,-0.000475176256663694,0.00274913670210219,0.000792689385642244,0.00136355568975369,0.00208026908666459,0.00149844697605564,0.000719208900279377,-0.000446349404630379,0.000928251001090534,0.000182782070901565,-0.000534433030201647,-8.8910670877553e-05,0.00104741576930785,7.28776153371975e-05,0.00202631450142315,0.000854754708277638,-0.000103965737133579,0.00106420096817839,0.00099076907049413,0.000575893369803364,0.000949262084720656
"T+15",0.000637747454693706,0.00105324424491426,0.00311002837230446,0.00237186030359018,0.000419852373183273,9.1446971960961e-05,-0.00224767938577979,0.000799173238476643,0.00182002661739367,-0.000475176294608587,0.00263289039268079,0.000792691821631121,0.00136355576124234,-0.0021519865215893,0.00149843308390397,0.000719208049965646,-0.000250082724939307,0.000928250959277573,0.000191947362695944,-0.000534381670413036,-8.89131575857773e-05,0.00104357270668563,-3.40054872157072e-05,0.00109676546525088,0.000854778901564955,-0.000103946043005244,0.00106417169895249,0.00099076912320207,0.000575734741319675,0.000949264884722481
"T+16",0.000506626130155907,0.00105324385959441,0.00429327574086582,0.00237187716205071,0.000419852372297317,0.000109055592535463,-0.00224767907707404,0.000799173284637239,0.00181987046699716,-0.00047517628932291,0.00252295281427795,0.000792691131994626,0.00136353229590009,0.0021528737837322,0.00149843395376141,0.000719207843522617,-0.000425250865720175,0.000928250960114533,0.000198974422050935,-0.000534411519973993,-8.89081541407546e-05,0.00104634786728953,5.4229965823376e-05,0.00195986406615373,0.000854765759263759,-0.000103949098396673,0.00106418262028228,0.000990769126369739,0.000575674962698327,0.000949263748088056
"T+17",0.00063148057459983,0.00105323567348149,0.00311216103286415,0.00237188444332634,0.000419852372149332,9.4583063621006e-05,-0.00224767919583087,0.00079917328072681,0.0018199547163643,-0.000475176287891704,0.00241898158968392,0.000792691182952266,0.00136352966225754,-0.00222583675827554,0.00149843573817024,0.000719207867754673,-0.000268913184800912,0.000928250962451042,0.00020436209156396,-0.000534398007984482,-8.89098708423087e-05,0.00104434386237613,-1.86112503001793e-05,0.00115846557517363,0.000854772898473153,-0.000103950383832356,0.00106418059898666,0.000990769122572945,0.000575724490317021,0.000949262961733679
"T+18",0.000512593487756022,0.00105323718773467,0.00429114692416935,0.00237188389326511,0.000419852372182362,0.000106478038147465,-0.00224767918125127,0.000799173278534828,0.00181990926047035,-0.000475176288562284,0.00232065292262914,0.000792691230592681,0.0013635331934758,0.00222799092737286,0.00149843507289075,0.000719207894052043,-0.000408444667901992,0.000928250961630528,0.0002084928354947,-0.000534403062544467,-8.89098354336894e-05,0.00104579099869224,4.15215260794955e-05,0.0019025746962791,0.000854769020279474,-0.000103949353071133,0.00106418002996709,0.000990769121838393,0.000575718838699417,0.000949262780001763
"T+19",0.000625798423961199,0.00105323818615598,0.00311428601262548,0.00237188269324639,0.000419852372191232,9.67015561088784e-05,-0.00224767917605706,0.000799173279420674,0.00181993378573819,-0.000475176288513824,0.0022276605893896,0.000792691204958795,0.0013635340174061,-0.00230224254276483,0.00149843501032072,0.000719207898966345,-0.000283912727413241,0.000928250961754368,0.000211659890448628,-0.000534401549145345,-8.89096209402875e-05,0.00104474598951916,-8.12002286162186e-06,0.0012116595144509,0.000854771127010423,-0.000103949661973569,0.00106418074291034,0.000990769122047584,0.000575711580732125,0.000949262799724936
"T+20",0.000518004062761526,0.00105323777428822,0.00428902577442756,0.00237188246049684,0.000419852372190196,0.000104736848730835,-0.00224767917912034,0.000799173279330482,0.00181992055337798,-0.000475176288478758,0.0021397149851182,0.000792691211180649,0.00136353353378504,0.00230570745945173,0.00149843512714891,0.000719207897813249,-0.000395057566249787,0.000928250961764901,0.000214088081895343,-0.000534401839962627,-8.89097134766508e-05,0.00104550061377927,3.28606790057592e-05,0.00185318341859484,0.000854769982581776,-0.000103949658855209,0.0010641803810736,0.000990769122132671,0.000575715075874703,0.00094926282906323
