"","MMM","AXP","BA","CAT","KO","XOM","GE","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL","DD"
"1",0.00135978406570185,0.00118868853855066,0.00176111389000352,0.0018041738373798,0.00156235825106319,0.00173805391829816,0.0010612948148323,0.00422334486236218,0.00527713866968303,-0.00206979409682981,0.00107009988169815,0.00186965834036264,0.00177797109812052,0.00164373059030964,-0.00419592574582549,0.00113458973278329,7.0295341225791e-05,0.000354495924053984,-0.000296780730409691,0.000972471868506485,0.000126332561552625,0.0016307902526106,-0.000124992473020874,0.0024976826308069,0.00132779178679045,0.000292381976290675,0.00135808725817558,0.000722260912090591,0.00186348940298759,0.00387402046100212
"2",0.00107033247744991,0.00119972701759401,0.00251928279457145,0.0018757518015569,0.00137568767203287,0.000123852251673737,-0.00133789504857185,-0.000103945225216101,0.00153179916313381,0.00186377483950771,0.000822845001881228,0.00121604842465357,0.00157308256240718,5.68668146376271e-05,-0.00357997346171404,0.000631750312154988,4.52979922298293e-05,0.000773548504173036,0.000196539980426055,-0.000392050144414384,0.000293791210881545,-5.18556937552294e-05,0.000745897295205805,0.00123563511810114,0.0017139163189047,-7.41301584947391e-05,0.00141032244119623,0.000738114969040035,0.00121467751865281,0.00125253819253305
"3",0.00147173133623039,0.00136012212950694,0.00262741048586527,0.00191269281724517,0.00124395814984419,5.28351226990649e-05,-0.00167063114332272,0.000891959912760433,0.00184493853295818,-0.00173199136686508,0.000983676369226001,0.00154045990617512,0.00180328850670258,-0.000121799018284037,-0.0032137614096679,0.000784368420075285,4.64823154352289e-05,0.000855442858094047,0.000146296185785435,0.000634960374904761,0.000257574650083353,0.000698242723244826,0.000463019341677676,0.00134047294976219,0.0016633233209531,0.000157018365477269,0.00141124036496962,0.000988483256546747,0.00167737323596385,0.000976850207413396
"4",0.00109238418042118,0.00144035678890606,0.00263881933921208,0.00194063813319526,0.00113767899015209,0.00039052984624736,-0.00156295555864911,0.00130204815211582,0.00160141977070369,0.00189627047939331,0.000854310471981296,0.00148574685897594,0.00164363442037414,-0.000144232400059202,-0.00286899218601421,0.00063297961978548,4.82748361812059e-05,0.000882458448617482,0.000200165857640745,0.00119939099590845,0.000248717529554538,0.000335654771566725,0.000554390306609454,0.00131388531978929,0.0016944472109925,0.000298565727138774,0.00141189756515691,0.00116276013516525,0.00181272103613303,0.0014210737711291
"5",0.00146457807743586,0.00147361917246497,0.00263603694211805,0.0019623779604687,0.00104925199817296,0.000192572713492771,-0.00145100819165826,0.00116042542602057,0.00150018208300592,-0.00175471078809797,0.000954572933422236,0.00151469648946041,0.00174971232684255,-0.000146922823143019,-0.00255165474792062,0.000743951511844334,4.97853236872669e-05,0.000893596127581061,0.000184919065885352,0.00121453801632628,0.0002436373691254,0.000515875345521379,0.000524876541842162,0.00130188336204182,0.00166672429806287,0.000366264530191986,0.00141252499964352,0.00126283146223043,0.00183516335121315,0.00119802747298575
"6",0.00110095300263306,0.00148679872129113,0.00263136223292766,0.00197931790137183,0.000975206443455609,0.000254811436235953,-0.00139465456571763,0.00112505341507554,0.00141631633641477,0.00191940133364963,0.000876396203551588,0.00151014677118577,0.00167958500878725,-0.000147251659194957,-0.00225930557099496,0.000658131818377798,5.10336650052932e-05,0.000898454354975205,0.000192755541343901,0.00112579832880894,0.000241173500428652,0.000425497370486091,0.000534409792009123,0.00129002825372618,0.00169205739707692,0.000397352054375161,0.00141312495912905,0.00131758539641226,0.00183734363092162,0.00127653341706489
"7",0.00145637570573179,0.00149195556585007,0.00262661861409264,0.00199251894910575,0.000913122800433634,0.000251923289549542,-0.0013739288537102,0.00114349730011527,0.00135807650584164,-0.00177798097353565,0.00093729172211711,0.00151273577383243,0.00172591761580983,-0.00014729153504175,-0.00198998660223103,0.000723808981056053,5.20644601605571e-05,0.00090059903740718,0.000189832636997281,0.00109409060507961,0.000239948905664285,0.00047094671693785,0.00053133045396207,0.0012795601789158,0.00166887516378663,0.00041151507993313,0.0014136986509745,0.00134712544662246,0.00183731118729372,0.00125620466214275
"8",0.00110898888960216,0.00149396600405771,0.0026220673978318,0.00200280638751421,0.00086105497720148,0.000242416008011306,-0.0013683156352237,0.0011460880380402,0.00131611616812934,0.00194281909541838,0.000889849611420445,0.0015123605023476,0.0016953082376686,-0.000147296386400841,-0.0017418832516552,0.000673445544936618,5.29155871255847e-05,0.00090154812789743,0.000191113746018449,0.00109839480145231,0.000239342562618011,0.000448071438290286,0.000532325111884809,0.00127020734834521,0.0016900908006861,0.000417957345289256,0.00141424722525816,0.00136299458560816,0.00183724558718489,0.00125919657777531
"9",0.00144852353558733,0.00149474896045177,0.00261773741202432,0.00201082328312794,0.000817384827610082,0.000248877404406814,-0.00136751844251611,0.00114383501322943,0.00128612888650768,-0.0018015470489919,0.000926809532392649,0.00151259257356702,0.00171552997387955,-0.000147296975821667,-0.00151332427066756,0.000712050932004117,5.36183609229385e-05,0.000901968337683796,0.000190597689897963,0.00110507575252356,0.00023904216408034,0.000459587940563665,0.000532003827125503,0.00126186174762226,0.00167067484687712,0.000420886773579811,0.00141477178168532,0.00137150844131775,0.00183722966831743,0.00125971708759267
"10",0.00111666379533681,0.0014950537849805,0.00261362331300635,0.00201707076805744,0.000780757554433423,0.000246570549563202,-0.0013677585614241,0.00114371192847211,0.00126466036696144,0.00196653442921126,0.000898015666519598,0.00151256193281127,0.0017021707289705,-0.000147297047474476,-0.00130277004885748,0.000682456301877831,5.41986397660908e-05,0.000902154404024885,0.00019081477738949,0.00110655887389952,0.000238893351986467,0.000453789510222527,0.000532107605413699,0.00125441385275565,0.00168844378552633,0.000422218758384513,0.00141527337181354,0.00137607431390071,0.00183722732263471,0.0012590927360712
