"","MMM","AA","AXP","BA","CAT","C","KO","DD","XOM","GE","HPQ","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T","BAC","CVX","MDLZ"
"T+16",-0.000702782726113859,-0.00517183890597328,-0.00292620878241484,-0.0018066706190342,-0.00323680215807165,-0.00510929163142184,0.000148144626284473,-0.0044365724543346,-0.00128030130275461,-0.00201376086806767,7.15983042525267e-05,0.00132610208811956,-0.000693691176442208,0.000245187843972203,0.000270877799694911,-0.000845836205569256,0.000196213975625292,-0.000788429558050792,-0.000623579474871205,-0.00074671847394812,-0.000562570455948567,-6.66297707552408e-05,-0.00122986391648711,-0.000275257508620423,-0.000107689653987355,-0.001718206308575,-0.00716065714090293,-0.00176115688546407,0.00023274664359548
"T+17",-0.000702768278275449,-0.00517183836375713,-0.00292620760550497,-0.00162249810448175,-0.00323679951050631,-0.00510929163148951,0.000148136313100833,-0.00443657245407122,-0.00128043102878946,-0.00201376085375508,7.15980916704337e-05,0.001326093689714,-0.000693662243586368,0.000245187745378787,0.000270890973187641,-0.000842148871165828,0.000196199199002228,-0.00078842918045678,-0.000623572900907732,-0.00074663035704393,-0.000562473722457118,-6.66307591091822e-05,-0.0012298903778556,-0.000275257499299081,-0.000107663226166128,-0.00171807610197216,-0.00714047277988436,-0.00170958718417966,0.000232737191452043
"T+18",-0.00070277404132127,-0.00517183798414957,-0.00292620825194489,-0.00179597656752636,-0.00323680017954177,-0.00510929163147521,0.00014813800664548,-0.00443657245410075,-0.0012804389101832,-0.00201376084454487,7.15980968384652e-05,0.00132609483354938,-0.00069367384490707,0.000245187834321316,0.000270885011304606,-0.000839730144043747,0.000196195326614336,-0.00078843055961728,-0.00062357763703913,-0.000746662129099522,-0.000562487221848942,-6.66336475325003e-05,-0.00122989536333842,-0.000275257502528795,-0.000107663644179882,-0.00171801103450927,-0.007155705072058,-0.00176028050259734,0.00023273551113539
"T+19",-0.00070277558665625,-0.00517183781310295,-0.00292620829205795,-0.0016325712015658,-0.00323680022445843,-0.00510929163147823,0.000148138231934835,-0.00443657245410123,-0.00128040183184417,-0.00201376084621952,7.15981189150253e-05,0.00132609571766695,-0.000693671431081668,0.00024518781852947,0.000270885638019928,-0.000838143566790093,0.000196197813357869,-0.000788429937272209,-0.000623576356515602,-0.000746672938390326,-0.000562502223997478,-6.66320493492823e-05,-0.00122988997552761,-0.000275257504337532,-0.00010766876676659,-0.00171804901933393,-0.00714420989890639,-0.00171044867399393,0.000232738152274738
"T+20",-0.000702774236664924,-0.00517183775216409,-0.00292620820533311,-0.00178648836889647,-0.00323680012120917,-0.00510929163147759,0.000148137879132739,-0.00443657245409994,-0.00128042303793814,-0.00201376084683269,7.15981151151788e-05,0.00132609524502964,-0.000693670814018179,0.000245187813796065,0.000270886390934592,-0.000837102842783309,0.00019619858166638,-0.000788430056070514,-0.000623576230413625,-0.000746664328588056,-0.000562493238250335,-6.66323454435634e-05,-0.0012298884944633,-0.000275257504631723,-0.000107667836263154,-0.00171806064829046,-0.0071528848247993,-0.00175943365299828,0.00023273697506901
"T+21",-0.000702774211365621,-0.00517183773472274,-0.0029262082145561,-0.00164150846410671,-0.0032368001599152,-0.00510929163147773,0.000148138038190467,-0.00443657245410034,-0.00128041898299829,-0.00201376084666513,7.15981133021358e-05,0.00132609527125746,-0.000693671735088164,0.000245187816856276,0.000270885902062977,-0.000836420174192288,0.000196198167059328,-0.000788430081527534,-0.000623576496870365,-0.000746663999954011,-0.000562493724694981,-6.66324726016509e-05,-0.00122988955716099,-0.000275257504570404,-0.000107666984023689,-0.00171805033397434,-0.00714633822143326,-0.00171128113211906,0.000232737159469143
"T+22",-0.000702774463348941,-0.00517183773115981,-0.00292620822380013,-0.00177807005211782,-0.003236800156249,-0.0051092916314777,0.000148138000832177,-0.00443657245410026,-0.00128041625936753,-0.00201376084662773,7.15981139767957e-05,0.00132609533393258,-0.000693671206535543,0.000245187816454435,0.000270886012005122,-0.000835972374004988,0.000196198017245585,-0.000788430053181012,-0.000623576385915557,-0.000746665782704271,-0.000562495431548033,-6.66323589968114e-05,-0.00122988995753528,-0.000275257504526093,-0.000107667307968281,-0.00171804862333973,-0.00715127866889775,-0.00175861534178868,0.000232737267895164
"T+23",-0.000702774419894617,-0.00517183773102732,-0.00292620822114322,-0.00164943796791856,-0.00323680015296622,-0.0051092916314777,0.000148137999188431,-0.00443657245410027,-0.00128041896569494,-0.00201376084664304,7.15981140724e-05,0.00132609530873307,-0.000693671396143433,0.0002451878162499,0.000270886044444472,-0.000835678637028681,0.000196198085648426,-0.000788430063600208,-0.000623576397964073,-0.000746665470786443,-0.000562494631733609,-6.66323934271966e-05,-0.00122988975589966,-0.000275257504517372,-0.000107667421742534,-0.00171805127314193,-0.00714755032004497,-0.00171208553682518,0.000232737173997967
"T+24",-0.000702774382054102,-0.00517183773136991,-0.0029262082204319,-0.00177060097815024,-0.00323680015483617,-0.0051092916314777,0.000148138005181092,-0.00443657245410027,-0.00128041795039609,-0.00201376084664501,7.15981139858749e-05,0.00132609530777914,-0.000693671367859625,0.000245187816352535,0.000270886008544248,-0.000835485958656279,0.00019619811444644,-0.000788430062315981,-0.00062357640974929,-0.000746665182066894,-0.000562494596251316,-6.66323958453003e-05,-0.0012298896539742,-0.000275257504518398,-0.000107667339259884,-0.00171805140665672,-0.00715036394882413,-0.00175782460725743,0.000232737207093425
"T+25",-0.000702774397230813,-0.00517183773159843,-0.0029262082208778,-0.0016564733470869,-0.00323680015444504,-0.0051092916314777,0.000148138002180868,-0.00443657245410027,-0.00128041791374273,-0.0020137608466437,7.15981139883218e-05,0.00132609531191752,-0.000693671349866198,0.000245187816343889,0.000270886020705628,-0.000835359570226542,0.00019619810329712,-0.000788430061545938,-0.000623576402028064,-0.000746665305238997,-0.000562494780331806,-6.66323887538374e-05,-0.00122988969032066,-0.000275257504519462,-0.000107667330569092,-0.00171805075781886,-0.00714824062098666,-0.00171286283349445,0.000232737205442412
"T+26",-0.000702774401262448,-0.00517183773169947,-0.00292620822089301,-0.00176397411111732,-0.00323680015437836,-0.0051092916314777,0.000148138002976063,-0.00443657245410027,-0.00128041818830153,-0.00201376084664362,7.15981139972569e-05,0.00132609531066025,-0.000693671368281104,0.000245187816335606,0.000270886021042277,-0.00083527666504641,0.000196198097828006,-0.00078843006209383,-0.000623576403945215,-0.000746665336620263,-0.000562494712721827,-6.66323918480879e-05,-0.00122988971516478,-0.00027525750451971,-0.000107667348212366,-0.0017180507934995,-0.00714984300760524,-0.00175706052008512,0.000232737200415125
"T+27",-0.000702774397714548,-0.00517183773173495,-0.00292620822083523,-0.0016627154224067,-0.00323680015445608,-0.0051092916314777,0.000148138002958352,-0.00443657245410027,-0.00128041802589344,-0.00201376084664373,7.15981139956808e-05,0.00132609531045953,-0.000693671358848133,0.000245187816338958,0.000270886018698265,-0.000835222282941125,0.00019619809961947,-0.00078843006192971,-0.000623576404234657,-0.000746665305469533,-0.000562494701283682,-6.6632391531507e-05,-0.00122988970908962,-0.000275257504519697,-0.000107667346997683,-0.00171805094524458,-0.00714863375351358,-0.00171361393565399,0.00023273720352803
"T+28",-0.000702774397653486,-0.00517183773174494,-0.0029262082208428,-0.00175809448442427,-0.00323680015443107,-0.0051092916314777,0.000148138002859155,-0.00443657245410027,-0.00128041805928036,-0.00201376084664373,7.15981139949526e-05,0.00132609531071787,-0.000693671361835608,0.000245187816338845,0.000270886019810985,-0.000835186610702425,0.000196198100647269,-0.000788430061936348,-0.000623576403786214,-0.000746665305818118,-0.000562494720288732,-6.66323911583269e-05,-0.00122988970323896,-0.000275257504519672,-0.000107667343732786,-0.00171805092086868,-0.00714954632694701,-0.00175632218226909,0.000232737202688509
"T+29",-0.000702774398314686,-0.00517183773174691,-0.00292620822084873,-0.00166825364619902,-0.00323680015443206,-0.0051092916314777,0.00014813800291496,-0.00443657245410027,-0.00128041807868289,-0.00201376084664372,7.15981139952289e-05,0.00132609531066076,-0.000693671361611575,0.000245187816338524,0.000270886019673501,-0.000835163211302801,0.000196198100364382,-0.000788430061955109,-0.000623576403960623,-0.000746665311942779,-0.000562494714957095,-6.66323913971512e-05,-0.00122988970412934,-0.000275257504519665,-0.000107667344512134,-0.00171805088705174,-0.00714885764598479,-0.00171433972604568,0.000232737202598914
"T+30",-0.000702774398199688,-0.00517183773174694,-0.00292620822084682,-0.00175287783983524,-0.00323680015443477,-0.0051092916314777,0.000148138002898491,-0.00443657245410027,-0.00128041805828809,-0.00201376084664372,7.15981139952666e-05,0.00132609531064099,-0.000693671361171127,0.000245187816338631,0.000270886019543243,-0.000835147862338938,0.000196198100173021,-0.000788430061945065,-0.000623576403946409,-0.000746665310577163,-0.000562494713103284,-6.66323913428964e-05,-0.00122988970546735,-0.000275257504519665,-0.000107667345024459,-0.0017180508964194,-0.007149377364673,-0.0017556087260689,0.000232737202800084
