"","MMM","AXP","BA","CAT","KO","DD","XOM","GE","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T","CVX","CSCO","TRV","UNH","NKE","GS","V"
"T+11",0.000984095166217845,0.00146718865762513,0.00208092533321714,-0.000114112298620364,1.6928567584635e-05,-0.000337661963136692,0.000267604363259329,0.000553272696489232,0.000671876846370472,0.000752822730941959,-0.000547588127068516,0.00153207382560997,0.000685135558420548,5.0950932480497e-05,0.00153628339739516,0.00139186831505098,0.000507756664532798,0.000352017715018696,0.00102923714101164,0.000490088030652081,0.000148313901221181,0.00114455957980819,5.25438288610002e-07,-9.20111467640856e-05,0.000493511046802655,0.000266476866584763,0.00109979040967591,0.00115940271354706,0.000527106446864828,0.00127662753224776
"T+12",0.000984092200163082,0.00146711305349243,0.00208100141161465,-0.000114111601183836,4.08594879461593e-05,-0.000257027767770565,0.000110983010710932,0.000553316079298963,0.000394020440985941,0.000735242822025585,-0.000547588121408137,0.00111886010532744,0.000685135511536595,5.09509322356791e-05,0.000802778246005361,0.00139897892369741,0.000506819626996719,0.000352017434529574,0.00102923706297296,0.000489321730946964,0.000155636701670198,0.00114505025046524,5.2543175603155e-07,-8.69512405045141e-05,0.000493511042934397,0.000266477218794696,0.00109979040240144,0.00115939787964753,0.000526980595382445,0.00127649945353427
"T+13",0.000984091370242005,0.00146713775141628,0.00208103006383399,-0.000114111715069845,5.97081044390803e-05,-0.000180318178393691,0.00024430915161644,0.000553271283470768,0.000666483431224696,0.000747293098997984,-0.000547588116628594,0.0015032883328573,0.000685135520765078,5.09509322216507e-05,0.00144312218477309,0.00140538605990625,0.000507231193096085,0.000352017269751591,0.00102923707036026,0.000488655680871013,0.00016177934445071,0.00114536211415082,5.25432991607521e-07,-8.38368042095292e-05,0.000493511042726949,0.000266477220553132,0.00109979187487812,0.00115939773802204,0.000527032400790524,0.00127660623710553
"T+14",0.000984091138371706,0.00146712974462438,0.00208104084566925,-0.000114111758010382,7.45532493951835e-05,-0.000107342177633094,0.000130813389004746,0.000553256763990686,0.000399309165628382,0.000739033148809762,-0.00054758811632333,0.00114564032925098,0.000685135518948574,5.09509322232208e-05,0.000884107215158153,0.00141115932017691,0.000507050424826272,0.000352017259610228,0.00102923707180285,0.000488076765467531,0.000166932026213877,0.0011455603301162,5.2543275790991e-07,-8.19198292936545e-05,0.000493511042780013,0.000266477205433207,0.00109979202819559,0.00115939802317452,0.000527011075651913,0.00127655249027935
"T+15",0.000984091073654285,0.00146713235331146,0.00208104490442464,-0.000114111754108408,8.62453783596743e-05,-3.79180452622831e-05,0.000227428261702062,0.000553259357507985,0.000661297364959157,0.000744694991895381,-0.000547588116154385,0.00147837368576199,0.000685135519306128,5.09509322235718e-05,0.00137212266644041,0.0014163614156321,0.000507129821956943,0.00035201726659807,0.00102923707129518,0.000487573585516758,0.000171254291125116,0.0011456863133131,5.25432802111622e-07,-8.07399069954131e-05,0.000493511042795045,0.000266477209399562,0.00109979217532329,0.00115939812554007,0.000527019853915682,0.00127657465442013
"T+16",0.000984091055602967,0.00146713150614032,0.00208104643205139,-0.000114111751621762,9.54541475886618e-05,2.8127094306975e-05,0.000145183485231818,0.000553261687372213,0.000404394566198254,0.000740814040270156,-0.000547588116140037,0.00116881936022758,0.000685135519235748,5.09509322235904e-05,0.000946089208241118,0.00142104885320745,0.000507094949109151,0.000352017268165244,0.00102923707133282,0.000487136233079192,0.000174879970882106,0.00114576638640269,5.25432793751282e-07,-8.00136499024148e-05,0.00049351104279663,0.000266477208968807,0.00109979220435731,0.00115939813926856,0.000527016240437889,0.00127656663607082
"T+17",0.000984091050570232,0.00146713178184477,0.00208104700706259,-0.000114111751704136,0.000102707017776501,9.09577025085219e-05,0.000215195514102692,0.000553261841043818,0.000656310676083255,0.000743474266859101,-0.00054758811613398,0.00145680936357999,0.000685135519249602,5.0950932223588e-05,0.00131801289842008,0.00142527254944909,0.000507110265978953,0.00035201726803877,0.00102923707134401,0.000486756096401744,0.00017792132858928,0.00114581727969577,5.25432795332562e-07,-7.95666294791863e-05,0.000493511042796572,0.000266477208918909,0.00109979222049213,0.00115939813671658,0.000527017727887128,0.00127656922269666
"T+18",0.000984091049167514,0.00146713169224367,0.0020810472234936,-0.000114111751840879,0.000108419411456714,0.000150730236153281,0.0001555967845908,0.000553261583438618,0.000409284459453147,0.000741650795147055,-0.00054758811613335,0.00118888145823499,0.000685135519246875,5.09509322235875e-05,0.000993326588802518,0.00142907838358659,0.00050710353849567,0.000352017267939009,0.00102923707134076,0.000486425690346743,0.000180472534796931,0.00114584962673379,5.25432795033478e-07,-7.9291482756752e-05,0.000493511042796523,0.000266477208950157,0.00109979222476416,0.00115939813494675,0.000527017115594659,0.00127656848859221
"T+19",0.000984091048776628,0.00146713172138952,0.00208104730495839,-0.000114111751843397,0.000112918519061389,0.000207593537028124,0.000206331045784441,0.00055326151182451,0.000651515699568919,0.000742900707127658,-0.000547588116133131,0.00143814484108483,0.000685135519247412,5.09509322235875e-05,0.00127677505534775,0.00143250769588878,0.000507106493344272,0.000352017267930632,0.00102923707134093,0.000486138509004722,0.000182612583334664,0.00114587018604144,5.25432795090047e-07,-7.91221264702549e-05,0.000493511042796515,0.000266477208943884,0.00109979222664736,0.00115939813454646,0.000527017367638263,0.00127656866101982
"T+20",0.000984091048667717,0.00146713171191444,0.00208104733562156,-0.000114111751836234,0.000116462036902019,0.00026168920253228,0.000163142788585921,0.000553261529163104,0.000413986361636804,0.000742043945847001,-0.000547588116133104,0.00120624576379483,0.000685135519247306,5.09509322235875e-05,0.00102932688520015,0.00143559773671584,0.000507105195514178,0.000352017267934529,0.00102923707134101,0.000485888897588838,0.000184407737223093,0.00114588325323883,5.25432795079347e-07,-7.90178855346467e-05,0.000493511042796515,0.00026647720894426,0.00109979222722461,0.00115939813453764,0.000527017263887227,0.00127656863513731
