"","MMM","AXP","BA","CAT","KO","DD","XOM","GE","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","CVX","CSCO","TRV","UNH","NKE","GS","V","AAPL"
"T+11",9.36353352262792e-05,-0.000646751442687856,0.000677197731427748,-0.00116313576269097,-0.000336523093818723,0.000532388653200816,-0.000243697889951822,-0.000110827491237846,0.00117724172701476,-0.000259957299842679,-0.0009380838402875,-7.63415211379747e-05,0.000851295015523313,0.000887525598354473,-0.000220630714076426,0.000675018803096718,0.000664125245948967,-0.000600102026534131,-0.000551795700013854,-0.000132107295152358,-0.0015172119077684,0.00122755793218504,-0.00103375890996631,-0.000293537324358676,0.000467059138848711,0.000707079922628012,0.00148670190643372,0.000261254341041434,0.000651884216203322,-0.000149604490749799
"T+12",8.8537287452619e-05,-0.000674514719070713,0.000695023796592343,-0.00100365890064332,-0.000307357102585649,0.000532388653432995,-0.000747255620664372,-0.000110961029482104,0.00117732280170603,-0.000260069722269537,-0.000415619950316837,-7.68276707439443e-05,0.000851714468840219,0.000888641573949994,-0.000228145184620675,0.000695130709986988,0.000620181777464715,-0.000594454533602868,-0.000555219773545827,-0.000132048153065244,-0.00150744719894344,0.00122730926570501,-0.00165594298157226,0.000175625348332047,0.00046705000555162,0.000672384284512865,0.0014861720220989,0.000261341837317556,0.000646333914610101,-0.000138740436397042
"T+13",8.44387987499707e-05,-0.000699009469092779,0.000684329632621372,-0.00112967714158431,-0.00028013869601007,0.000532388653439413,-0.000254528371044676,-0.000110906312597947,0.00117734800323318,-0.000260116547325795,-0.000841558479783021,-7.70457308503875e-05,0.000851463504812833,0.000889302189634364,-0.000234970610770224,0.000680678875866399,0.000583345176938621,-0.000597890881010609,-0.000558005611975738,-0.000132077398977044,-0.00149867279536482,0.00122722498663456,-0.00105078879075062,-0.000184026376027567,0.00046705480194728,0.000648681356446737,0.00148592125423644,0.000261399144519015,0.000643028761855134,-0.000129834129063076
"T+14",8.11438885428669e-05,-0.000720620491159401,0.000690745246049352,-0.0010300978242717,-0.000254737822415041,0.000532388653434991,-0.000736658080728854,-0.000110928729965149,0.00117735225146964,-0.000260136050412725,-0.000494312094402706,-7.7143540662005e-05,0.000851551214288134,0.000889693249335405,-0.000241170174910865,0.000691063545534399,0.00055246606949497,-0.000595799956125812,-0.000560272180051775,-0.000132062936799621,-0.00149078826347173,0.00122719644973137,-0.00163937922786857,9.16762114292069e-05,0.000467052903511985,0.000632488289268209,0.00148580257832444,0.000261436678863156,0.000641060574262075,-0.00012253277472965
"T+15",7.84950015846422e-05,-0.000739687281975241,0.000686896408892094,-0.00110878516637711,-0.000231033114440902,0.000532388653435328,-0.000264897979903184,-0.000110919545222162,0.00117735145752148,-0.000260144173637602,-0.000777404737524125,-7.71874127806543e-05,0.000851537195654859,0.000889924742007185,-0.000246801265877458,0.000683601422511561,0.000526580964571028,-0.000597072227626655,-0.000562116267917083,-0.000132070088382969,-0.00148370335535048,0.00122718679270401,-0.00106689917580792,-0.000119672467248088,0.000467053546017367,0.000621425714049179,0.00148574641494179,0.000261461262631937,0.000639888536934709,-0.000116547154303223
"T+16",7.63654740174491e-05,-0.000756509369838267,0.000689205392690663,-0.00104660661389541,-0.000208911309140098,0.000532388653435366,-0.000726511500623228,-0.00011092330829318,0.00117735043314262,-0.000260147557039426,-0.00054661343165115,-7.7207091407427e-05,0.000851531849839716,0.000890061776984059,-0.000251916010197332,0.000688963488112892,0.00050488219438254,-0.000596298084670288,-0.000563616624377111,-0.000132066551906899,-0.00147733697573947,0.00122718352585659,-0.00162370980224648,4.23436545099281e-05,0.000467053353931841,0.000613868123561398,0.00148571983561776,0.000261477364197084,0.000639190599653941,-0.000111640167153559
"T+17",7.46534765894901e-05,-0.000771351020056415,0.000687820193482637,-0.00109573995968234,-0.000188266706797788,0.000532388653435357,-0.000274826328141258,-0.000110921766520393,0.00117734993297226,-0.000260148966259062,-0.000734766068422984,-7.72159181603355e-05,0.000851537376606244,0.000890142896549281,-0.000256561754621083,0.000685110462985193,0.000486692713251836,-0.000596769129817881,-0.000564837319740655,-0.000132068300703268,-0.00147161625379673,0.00122718242095687,-0.00108213971155264,-8.18550103398674e-05,0.000467053404449936,0.000608705024296526,0.00148570725695119,0.000261487910196052,0.000638774984522485,-0.000107617439153525
"T+18",7.32771454076394e-05,-0.000784445386403294,0.000688651198380595,-0.00105691490551389,-0.00016900066589033,0.000532388653435357,-0.000716796690538418,-0.000110922398200797,0.00117734977211227,-0.000260149553212691,-0.000581374610889347,-7.72198773576805e-05,0.000851534824813771,0.000890190916288563,-0.000260781504407394,0.000687879135310089,0.00047144497243907,-0.000596482511526975,-0.000565830481839314,-0.000132067435919036,-0.00146647570900585,0.00122718204730975,-0.00160888641717877,1.33534675763557e-05,0.00046705339329393,0.000605177763318039,0.00148570130409653,0.00026149481748073,0.00063852748959385,-0.000104319623188514
"T+19",7.21706673889236e-05,-0.00079599817382963,0.00068815266420845,-0.00108759437191376,-0.000151021131768371,0.000532388653435357,-0.000284332192835044,-0.000110922139394539,0.00117734974272789,-0.000260149797684563,-0.000706427013345891,-7.72216532365092e-05,0.0008515355155302,0.000890219342172679,-0.000264614321419029,0.000685889647520991,0.000458663211473993,-0.000596656911040698,-0.000566638522062674,-0.000132067863557028,-0.00146185650167302,0.00122718192096214,-0.00109655736382853,-5.96316508875707e-05,0.0004670533950109,0.000602768053689755,0.00148569848690774,0.000261499341526462,0.00063838010867563,-0.000101616087145565
"T+20",7.12811332258926e-05,-0.000806190869969517,0.00068845174345745,-0.00106335152979184,-0.000134242196812535,0.000532388653435357,-0.000707495277254193,-0.000110922245430217,0.00117734974645803,-0.000260149899509465,-0.000604478028611947,-7.72224497983723e-05,0.00085153549684951,0.000890236169229634,-0.000268095685715163,0.000687319235857385,0.000447948613464079,-0.000596550793631754,-0.000567295946468467,-0.000132067652088959,-0.00145770575943621,0.00122718187824008,-0.00159486339232994,-3.68256280446324e-06,0.000467053395058318,0.000601121818685296,0.00148569715367298,0.00026150230462857,0.000638292344715475,-9.93997393526379e-05
