"","MMM","AA","AXP","AIG","BA","CAT","C","KO","DD","XOM","GE","HPQ","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T","BAC","CVX"
"1",-0.00033248883256389,0.000912056134114055,0.0105536034554343,-0.00497140966434926,0.00127621577254217,0.000318608138016875,0.000803275841269192,0.00188160185995838,0.00369486956538362,0.00648116380240238,0.0022424187624929,0.00264870466290556,-0.00616679001649475,0.00175422070617344,-0.00317650820103473,0.000286466263727842,0.00815074973278636,0.000795703170288371,-0.00181629307162003,0.000833837516154873,-0.000964472420135577,0.00219643835858223,0.00389620656836771,0.00389548115986318,-0.000787047702411052,0.00149682394987054,0.00156652533758145,0.0116780856606181,0.00403689607007539
"2",0.000130040168890437,0.00145774773068007,0.00245377300174869,0.000336257764629458,0.000992998949624739,-0.000547153780686512,-0.00174985945668721,0.00221137861173111,0.000842225717152296,0.0024227452587325,-0.00179313303608858,0.00377317051172466,-0.00446780110842265,0.00275437020362809,-0.00188088795666112,-0.000145818210155608,0.000364613358315052,0.000972871278163359,-0.00112999161440742,-0.00160615957194951,0.000116682481471892,0.00112239403852821,-0.000211782303113037,-0.00104008173373853,0.00151374047049055,-0.000375110242293639,0.00391203584570374,-0.00648797812018387,-0.00122243930181174
"3",0.000587339733088282,0.00108161597131636,-0.0013937248067874,0.000729308203725645,0.000249405480104339,0.000965591291510769,-0.00176598108937509,0.00198229332155913,-0.00115679288351028,0.00171431468454703,0.000386000209440481,0.00281282736276943,-0.00106341435068491,0.00110793969872747,-0.00129386370441555,0.000298094340896358,-0.000356825438965278,0.00134757882287932,-0.000565797384641117,-0.00125942053662929,-0.000304347867833829,0.00025577700415678,0.00127033607578975,0.0013134485835857,0.00146423372287671,0.000331314437672143,-0.00261311767001585,0.00465839245745892,0.00131297184285907
"4",0.000868244996201494,0.00127483732202385,0.000952056033175628,0.000708599331791264,0.000970015346321278,0.00125491480229958,-0.00162682093521053,0.00180353494860393,0.000279848966019194,0.00191751026726193,-1.4705778319218e-05,0.00217269103786222,-0.00163170203316443,0.00222098178091095,-0.000845957162714163,0.000445132347073638,0.000655023074982183,0.00136849856719699,-0.00046031906279278,-0.00118271210776004,-5.3146619581787e-05,0.00103178446858397,0.000720965917170296,0.000647766538043085,0.00119699770236485,2.07123317342918e-05,0.00273041683225193,-0.00467450215174523,0.00092141762497903
"5",0.00104257125390628,0.00117574935665389,0.000530796731989279,0.00065821632335039,0.000312527313748716,0.00141119099983235,-0.0017672169047403,0.00167629525164682,-0.000273371826702198,0.00192117061383098,0.00018831573184448,0.00189100633721256,-0.00115637348928336,0.00150207121809774,-0.000477373069531402,0.000522807772187296,0.000237766576825347,0.00138285304028663,-0.000429718655835356,-0.0010882890943852,-0.000199400200621178,0.000554066223879143,0.000924702794993682,0.000890150116304306,0.000966510177187205,0.000182485388598146,-0.00102806119508406,0.00384350926901327,0.00113039034156483
"6",0.00115072632174008,0.0012265631507796,0.00041641114272918,0.000610395056245537,0.000910731379357925,0.00146386014344927,-0.00163148539765719,0.00158612162804131,-0.000139267728752637,0.00191409267971828,0.000148757824946757,0.00178550400302479,-0.00131881757585143,0.00196469813084469,-0.000171714957635837,0.000559524946134933,0.000348353510900636,0.00138416527990766,-0.000422293974017466,-0.00100264779399371,-0.000114150774293295,0.000819351922949054,0.000849145154640914,0.000812701505716909,0.000789543627637299,8.58375014394421e-05,0.0015144388868147,-0.00407622578272111,0.0011017311985728
"7",0.00121782811164318,0.00120050507744529,0.000506873409485529,0.000567356478731231,0.000366540177921747,0.00148514546180574,-0.00176242558483072,0.00152223037697188,-0.000147515141082398,0.00191466040480732,0.000167710861896401,0.00174954490487303,-0.0012343013420722,0.00166708439231962,8.19508016499709e-05,0.000577284349438341,0.000331874445860281,0.00138473496722575,-0.000420367490006923,-0.0009228005367897,-0.000163838898763185,0.000677590775053124,0.000877166385252679,0.000839125399779434,0.000656129890883746,0.000148719285341969,-0.000186214192289589,0.00331484287415157,0.00111904299161048
"8",0.00125945953423934,0.00121386804703284,0.000486724909498589,0.00052881181438293,0.000861592148655807,0.0014931168156167,-0.00163612160579258,0.00147696162757908,-0.000158853502284684,0.0019148392933179,0.000163824430080997,0.00173809386060692,-0.00126951899757172,0.00185853813894673,0.000292483453137921,0.000585832145925566,0.000330163898391947,0.00138480446826634,-0.000419880485716486,-0.000848564442329148,-0.000134877810542616,0.000752155429412051,0.000866774459777516,0.000830406593472149,0.00055586170631894,0.000105946651825994,0.000947515295390723,-0.00358798623295348,0.00111699439750557
"9",0.00128528858229948,0.00120701531644504,0.000483749859311559,0.000494307942899165,0.00041124239226182,0.00149619595589649,-0.00175795283210988,0.00144488746234729,-0.00015164383319569,0.00191480310390306,0.000165597117411028,0.00173464765567992,-0.00125310805575688,0.00173537696230359,0.000467218549998076,0.000589950588902143,0.000332392438151499,0.00138482775241769,-0.000419756136481834,-0.000779525598239261,-0.000151757991384621,0.000713199471315454,0.000870628398834809,0.000833332541659529,0.000480544485439636,0.00013565875846356,0.000192487683101419,0.00285980830773327,0.00111843646974484
"10",0.00130131349045775,0.00121052949914233,0.000487158263676145,0.000463422628579961,0.000820926449522419,0.00149737027808681,-0.0016404360015572,0.00142216202679374,-0.000154265494887439,0.0019148007081417,0.000165216826649381,0.00173366387004673,-0.00126032557691948,0.00181460587776032,0.000612242966944764,0.000591934469672426,0.000331483920659594,0.00138483116659009,-0.000419724507949763,-0.000715321987672173,-0.000141919255188911,0.000733492185221252,0.000869199130862012,0.000832359028375557,0.000423974566791344,0.000114822860474375,0.000695157891260871,-0.00316312416232582,0.00111829501187067
