"","MMM","AA","AXP","BA","CAT","C","KO","DD","XOM","GE","HPQ","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T","BAC","CVX","MDLZ"
"T+13",-0.000797804500495822,-0.00390294273297108,-0.00383246640898687,-0.00184457914601014,-0.00248947176489941,-0.00597813948975274,-0.000745554142265402,0.0122313610433938,-0.00109829230873856,-0.0023742440157962,-0.000153440236881523,0.000384368310940167,-0.000894011167483209,7.37002528292824e-05,-0.000462325231357168,-0.0031697961347008,-0.000519956193106909,-0.00182037663302891,-0.00211432481201305,-0.00159324623355598,-0.000509533984982236,-0.00126895294818421,-0.00103755382178524,-5.40507958571181e-05,-0.00127147734600109,-0.00195217081008868,-0.00833511502617513,-0.000815195454258446,-3.23698584852115e-05
"T+14",-0.000797993793828192,-0.00390299316623745,-0.00383255950476369,-0.00184396800325685,-0.00248904718791493,-0.00597813948963349,-0.000745489964893062,0.0119129920816866,-0.00109819359740079,-0.00237426149376693,-0.000153440919485365,0.00038436220974133,-0.000894959797618191,7.36998842572307e-05,-0.000462187356612147,-0.00316671815783661,-0.000519721275608933,-0.0018203743244193,-0.0021142337025871,-0.00159323849529772,-0.00050854157187782,-0.0012689599215768,-0.0010376584477267,-5.40508821644721e-05,-0.00126307030167204,-0.00195152050569202,-0.00944606328498468,-0.000815193262659599,-3.23819597070046e-05
"T+15",-0.000798079778510205,-0.00390300158715004,-0.00383262611452107,-0.00184424353231899,-0.00248920791188282,-0.0059781394896127,-0.000745503520329376,0.011602550268293,-0.00109815724827542,-0.00237426226402647,-0.000153441127309933,0.000384363304287488,-0.000894736780154107,7.36995392324964e-05,-0.000462192994043479,-0.0031648442278245,-0.000519671235000613,-0.00182034984488708,-0.00211429081499765,-0.00159320126783341,-0.000508232059643698,-0.00126899844422912,-0.00103809855886072,-5.40508981260774e-05,-0.00126646006700961,-0.00195096922822094,-0.00847771540345115,-0.000815190584655393,-3.23894848303341e-05
"T+16",-0.000798024807811356,-0.00390299880728489,-0.0038325977091469,-0.00184411931249533,-0.00248919443302592,-0.00597813948960909,-0.000745507314536564,0.0112998382351716,-0.0010981814608834,-0.00237426027335835,-0.000153441190460575,0.000384363690868428,-0.000894699052774703,7.36996817971315e-05,-0.000462211436780031,-0.003163703344106,-0.000519704671912385,-0.00182035862685746,-0.00211427994099027,-0.00159321259811529,-0.00050855451168413,-0.00126897825672496,-0.00103810108027179,-5.40509005539061e-05,-0.00126813422228178,-0.00195119568879301,-0.009321766971321,-0.000815192057947512,-3.23836197349818e-05
"T+17",-0.000798018327608328,-0.00390299661661512,-0.00383259215928388,-0.00184417531583292,-0.00248917594010633,-0.00597813948960846,-0.000745503442496956,0.0110046635143495,-0.00109818116725801,-0.00237426060097194,-0.000153441209625455,0.000384363352224263,-0.000894767953298104,7.36996662675378e-05,-0.000462202530721325,-0.00316300875271212,-0.000519717608619207,-0.00182035912216719,-0.0021142748016375,-0.001593216578511,-0.000508513543618554,-0.00126898142334422,-0.00103799499192768,-5.4050900798991e-05,-0.00126702940340864,-0.00195132088881554,-0.00858605714760009,-0.000815191659083793,-3.23855829542273e-05
"T+18",-0.000798030655265462,-0.00390299605772799,-0.00383259795673622,-0.00184415006726688,-0.00248918726687489,-0.00597813948960835,-0.00074550463447597,0.0107168384324765,-0.00109817748411976,-0.00237426074249449,-0.000153441215436754,0.000384363452130593,-0.000894729482288837,7.36996588022895e-05,-0.00046220362255541,-0.00316258587245129,-0.000519713616001109,-0.00182035768607938,-0.00211427923813852,-0.00159321339590047,-0.000508456584146104,-0.00126898341254045,-0.00103798768707889,-5.40509007879464e-05,-0.00126675676140946,-0.00195124845367261,-0.00922733188166102,-0.000815191687752737,-3.23854404721199e-05
"T+19",-0.000798029534185521,-0.00390299609882822,-0.00383259775278796,-0.00184416145033801,-0.00248918452454327,-0.00597813948960833,-0.000745504690828654,0.0104361799887605,-0.00109817843184592,-0.00237426067910969,-0.000153441217197933,0.000384363455500196,-0.000894741572412916,7.36996625459057e-05,-0.00046220449619289,-0.00316232841502154,-0.000519710884878181,-0.00182035811040762,-0.00211427804206508,-0.00159321349334431,-0.000508484820373286,-0.00126898187687686,-0.0010380128368573,-5.4050900772908e-05,-0.00126707826640957,-0.00195122204120871,-0.00866837062915922,-0.000815191716745946,-3.23852143290769e-05
"T+20",-0.000798027275814839,-0.00390299618507573,-0.00383259682916617,-0.00184415631839114,-0.00248918411423256,-0.00597813948960832,-0.000745504478241012,0.0101625097390583,-0.00109817877090645,-0.00237426067727354,-0.000153441217731488,0.00038436343933375,-0.000894741074376856,7.3699661999009e-05,-0.000462203949260734,-0.00316217167011222,-0.000519711205199361,-0.00182035817082787,-0.00211427781137044,-0.00159321406479528,-0.000508487788273797,-0.00126898228317875,-0.00103801618774536,-5.4050900767541e-05,-0.00126710265664594,-0.00195124389793064,-0.00915558408885666,-0.000815191700271648,-3.23853565666939e-05
"T+21",-0.000798027945324342,-0.00390299621555321,-0.00383259704244802,-0.00184415863207939,-0.00248918474874467,-0.00597813948960832,-0.000745504567473054,0.00989565368234832,-0.00109817854087315,-0.00237426068429643,-0.000153441217893092,0.000384363446309155,-0.000894739032616407,7.3699661847495e-05,-0.000462204055572792,-0.00316207624087322,-0.000519711712875243,-0.00182035808884462,-0.00211427813887346,-0.00159321389487772,-0.000508480586064197,-0.00126898235307388,-0.00103801032782585,-5.40509007661118e-05,-0.00126701686417552,-0.00195124883707046,-0.00873090893606584,-0.000815191704832651,-3.23853156687532e-05
"T+22",-0.000798028267780693,-0.00390299621743018,-0.00383259715447989,-0.0018441575889756,-0.00248918449699767,-0.00597813948960832,-0.000745504559594827,0.00963544215011109,-0.00109817854463615,-0.00237426068304823,-0.000153441217942031,0.000384363445450943,-0.000894740489882983,7.36996619436858e-05,-0.000462204092084142,-0.00316201814176368,-0.000519711725224024,-0.00182035810843798,-0.00211427802362023,-0.00159321383271492,-0.000508482367357681,-0.00126898224726309,-0.00103800914901573,-5.4050900765791e-05,-0.0012670227427513,-0.00195124253366893,-0.00910107314604046,-0.000815191704465308,-3.2385315552318e-05
"T+23",-0.000798028069749442,-0.00390299621442551,-0.00383259709728345,-0.00184415805924877,-0.00248918452289615,-0.00597813948960832,-0.000745504549259945,0.00938170969845143,-0.00109817857938959,-0.00237426068256791,-0.00015344121795685,0.000384363444827347,-0.0008947399203793,7.36996619261181e-05,-0.000462204060026336,-0.00316198276993671,-0.000519711640333592,-0.00182035811348557,-0.00211427801952059,-0.0015932138810991,-0.000508483346970799,-0.00126898228706232,-0.0010380104892575,-5.40509007657288e-05,-0.00126704388544362,-0.00195124182335057,-0.00877842290044527,-0.000815191704152082,-3.23853219045785e-05
"T+24",-0.000798028043851382,-0.00390299621295349,-0.00383259708977892,-0.0018441578472307,-0.00248918454947785,-0.00597813948960832,-0.000745504555260071,0.00913429500290856,-0.00109817857029311,-0.00237426068279733,-0.000153441217961337,0.000384363445240921,-0.000894740013509593,7.369966192335e-05,-0.00046220406848581,-0.0031619612349054,-0.000519711627036099,-0.00182035810892073,-0.00211427804238301,-0.00159321387992739,-0.000508482624946734,-0.00126898228606795,-0.00103801085842901,-5.40509007657186e-05,-0.001267039391587,-0.00195124357249783,-0.00905965803387369,-0.000815191704336168,-3.23853185426614e-05
"T+25",-0.000798028088763674,-0.00390299621271888,-0.00383259710073961,-0.00184415794281698,-0.00248918453217355,-0.00597813948960832,-0.000745504554110431,0.00889304075588506,-0.00109817856713149,-0.00237426068280063,-0.000153441217962696,0.00038436344514106,-0.000894740063296689,7.36996619257682e-05,-0.000462204069653178,-0.00316194812397467,-0.000519711639749908,-0.00182035810976918,-0.00211427803216085,-0.00159321387115763,-0.000508482653762256,-0.0012689822795628,-0.00103801055818205,-5.40509007657174e-05,-0.00126703461156897,-0.00195124359355077,-0.00881452200390229,-0.000815191704284063,-3.23853193544154e-05
"T+26",-0.000798028085139666,-0.00390299621280463,-0.00383259709985756,-0.00184415789972284,-0.00248918453662512,-0.00597813948960832,-0.000745504553701414,0.00865779356662995,-0.00109817856931668,-0.0023742606827759,-0.000153441217963107,0.000384363445126712,-0.000894740011864008,7.36996619252358e-05,-0.000462204067860974,-0.00316194014179427,-0.000519711643692426,-0.00182035811013394,-0.00211427803291858,-0.00159321387370451,-0.000508482802558281,-0.00126898228293958,-0.00103801045010895,-5.40509007657174e-05,-0.00126703643814077,-0.00195124312512022,-0.0090281925807523,-0.000815191704288696,-3.2385319439588e-05
"T+27",-0.00079802807682142,-0.00390299621286909,-0.00383259709820779,-0.00184415791915141,-0.00248918453712144,-0.00597813948960832,-0.000745504554070036,0.00842840386371192,-0.00109817856927174,-0.00237426068278062,-0.000153441217963232,0.000384363445147943,-0.000894740036336712,7.36996619251953e-05,-0.000462204068466387,-0.00316193528209321,-0.000519711642045556,-0.00182035810988581,-0.00211427803440849,-0.00159321387467462,-0.000508482745967546,-0.00126898228242069,-0.00103801051577032,-5.40509007657174e-05,-0.00126703740426072,-0.0019512431645918,-0.00884194857811939,-0.000815191704292072,-3.23853192694187e-05
"T+28",-0.000798028079185825,-0.00390299621288504,-0.00383259709867477,-0.00184415791039223,-0.002489184536176,-0.00597813948960832,-0.000745504553964042,0.00820472579992108,-0.00109817856894385,-0.00237426068278225,-0.000153441217963269,0.000384363445140234,-0.000894740030138248,7.36996619252547e-05,-0.000462204068473813,-0.00316193232341611,-0.000519711641156524,-0.00182035810991891,-0.00211427803355651,-0.00159321387393921,-0.000508482732413972,-0.00126898228208265,-0.00103801054600477,-5.40509007657174e-05,-0.00126703679988424,-0.00195124328569819,-0.00900428645836519,-0.000815191704290017,-3.23853193468601e-05
"T+29",-0.000798028080393504,-0.00390299621288363,-0.00383259709885818,-0.00184415791434122,-0.00248918453656915,-0.00597813948960832,-0.000745504553955226,0.00798661715953848,-0.00109817856903114,-0.00237426068278142,-0.000153441217963281,0.00038436344514069,-0.000894740029461309,7.36996619252392e-05,-0.000462204068378782,-0.00316193052211804,-0.000519711641319965,-0.00182035810994323,-0.00211427803369501,-0.00159321387395228,-0.000508482749417676,-0.00126898228234024,-0.00103801053206178,-5.40509007657175e-05,-0.00126703663785714,-0.00195124326351704,-0.00886278613089079,-0.000815191704290611,-3.2385319331829e-05
"T+30",-0.000798028079680597,-0.00390299621288107,-0.00383259709874497,-0.00184415791256085,-0.00248918453652158,-0.00597813948960832,-0.000745504553975885,0.0077739392679146,-0.00109817856906061,-0.00237426068278142,-0.000153441217963284,0.000384363445141607,-0.000894740031128848,7.3699661925239e-05,-0.000462204068419142,-0.003161929425454,-0.000519711641493024,-0.00182035810993006,-0.00211427803378305,-0.00159321387408683,-0.000508482746649624,-0.00126898228227285,-0.0010380105238828,-5.40509007657175e-05,-0.00126703681555285,-0.00195124323335931,-0.0089861235962134,-0.000815191704290554,-3.23853193279157e-05
