"","MMM","AXP","BA","CAT","KO","DD","XOM","GE","HD","INTC","IBM","JNJ","JPM","MCD","MRK","MSFT","PFE","PG","RTX","VZ","WMT","DIS","T","CVX","CSCO","TRV","UNH","NKE","GS","V"
"T+11",0.0024049985937603,0.000943792285170342,0.000832605903753063,0.00118149397621166,0.000305722553131181,0.00194478494425102,0.000397971458362284,0.000570358537053951,9.85784083980956e-05,0.00120077218234286,-7.36113942313241e-06,0.000861531766060447,0.00047487017281289,0.000177725242130283,0.00108349479460751,-0.00095427788179751,0.0005445308134559,-0.000658572003484833,0.00100239205922573,-1.96848536782656e-05,0.000119066116897606,0.00114400673049508,0.000284175562172591,0.000576721750598808,5.43977432429192e-05,0.000745352208294763,0.000932452275187775,0.00090728019172646,-0.000494084006314335,0.000496114759408127
"T+12",0.00238139881710861,0.000954695455981886,0.000832760647594318,0.00118291706407112,0.000305523111212284,0.00194465691685172,0.000436683372441898,0.000570290914706992,0.000120823709074915,0.00120141706281934,-2.12190619505087e-05,0.000863532123634232,0.000475508108902996,0.000177752768554391,0.00190333408761032,-0.000916822223242967,0.000551209227602345,0.000650277833864211,0.000683979593670911,-1.98187433917234e-05,0.000119105939451327,0.00114400672489997,0.000284175567064399,0.000581413952669708,6.60702813269588e-05,0.000745352208292582,0.000919247158303586,0.000907406236264228,0.00134229631998234,0.000496753465420532
"T+13",0.00235904799853646,0.000947284457353967,0.000832697850185523,0.00118410071218101,0.000305431198078493,0.00194461127814766,0.000467133952735745,0.000570265477015602,0.000141371063700947,0.00120180612997304,-3.38493454895903e-05,0.000864799494649086,0.00047506099560762,0.000177763755986848,0.00111202499273421,-0.000881242052116718,0.000547348161816142,-0.000500182553691423,0.000959380177984902,-1.98719594662448e-05,0.000119122246198433,0.00114400672397598,0.000284175567916843,0.000584637465303577,7.67230981711109e-05,0.000745352208292738,0.000928941072618703,0.000907462448959303,-0.000489012652580576,0.000497106420323043
"T+14",0.0023378800401181,0.000952321790219088,0.00083272333433093,0.00118508520715703,0.000305388839760794,0.00194459500904184,0.0004910862129708,0.00057025590804658,0.000160350073616864,0.0012020408606799,-4.53607435337384e-05,0.000865602465733027,0.000475374366025131,0.000177768141724404,0.00187579673309589,-0.00084744345862704,0.000549580402686278,0.000511055760717056,0.0007211813320059,-1.98931108341455e-05,0.000119128923570333,0.00114400672382339,0.00028417556806539,0.000586851997743508,8.644527734911e-05,0.000745352208292727,0.000921824742216407,0.000907487518408116,0.00133723897131514,0.000497301466495753
"T+15",0.00231783234199221,0.00094889786266654,0.000832712992476392,0.00118590405724405,0.000305369318860958,0.00194458920949494,0.000509926930120736,0.000570252308460173,0.000177880447912936,0.00120218247763271,-5.58523753740519e-05,0.000866111205915727,0.000475154732613227,0.000177769892333018,0.00113860405434064,-0.00081533723525259,0.000548289852465634,-0.000377808331944501,0.000927203735215615,-1.99015176993286e-05,0.000119131657855423,0.00114400672379819,0.000284175568091276,0.000588373367281811,9.53181200302462e-05,0.000745352208292728,0.000927048860848823,0.000907498698752039,-0.000483969270303494,0.000497409250830856
"T+16",0.00229884561723568,0.000951225141843636,0.000832717189358554,0.00118658513280194,0.000305360322622413,0.00194458714209526,0.000524746935382886,0.000570250954393473,0.000194072758487717,0.00120226791750375,-6.54145795694526e-05,0.000866433529569305,0.000475308668125098,0.000177770591104999,0.00185014261604886,-0.000784838641289356,0.00054903597260629,0.000403490560676283,0.000749011307582913,-1.99048591088553e-05,0.000119132777504751,0.00114400672379403,0.000284175568095787,0.00058941853836639,0.00010341582485576,0.000745352208292728,0.000923213820323337,0.000907503684904354,0.00133220951685855,0.000497468813460219
"T+17",0.00228086371653484,0.000949643265975931,0.00083271548619982,0.0011871516149003,0.000305356176691198,0.00194458640511675,0.000536404270622427,0.000570250445030336,0.000209029137474385,0.00120231946480383,-7.41296918099719e-05,0.000866637744886257,0.000475200778612253,0.000177770870026443,0.00116336541466283,-0.000755867179187263,0.000548604609877907,-0.000283260051312821,0.000903133096140608,-1.99061871921993e-05,0.0001191332359846,0.00114400672379335,0.000284175568096573,0.000590136564177041,0.00011080610842075,0.000745352208292728,0.000926029134612116,0.000907505908602934,-0.000478953705204285,0.00049750172832501
"T+18",0.00226383346213546,0.000950718483459701,0.000832716177367587,0.00118762278430883,0.000305354266032033,0.00194458614240154,0.000545573866886613,0.000570250253421749,0.000222843921433705,0.00120235056415023,-8.20727538710584e-05,0.000866767130040634,0.000475276395647208,0.000177770981360574,0.00182624294474538,-0.000728346382086098,0.000548853998405704,0.000320383967028723,0.000769830429894966,-1.99067150548736e-05,0.000119133423725321,0.00114400672379323,0.00028417556809671,0.0005906298432893,0.000117550771550344,0.000745352208292728,0.000923962404288947,0.000907506900316597,0.00132720780275982,0.000497519917386438
"T+19",0.0022477044905805,0.000949987646950335,0.000832715896881175,0.00118801467773701,0.000305353385501638,0.00194458604874986,0.000552786621252891,0.0005702501813438,0.000235604246376849,0.00120236932690492,-8.93121597633815e-05,0.000866849104881812,0.00047522339757701,0.000177771025800646,0.00118643338350551,-0.000702203611989976,0.00054870981664473,-0.000210210537756819,0.000885126268299703,-1.99069248602327e-05,0.000119133500602371,0.00114400672379321,0.000284175568096734,0.000590968722865748,0.000123706216105569,0.000745352208292728,0.000925479596968191,0.000907507342595959,-0.000473965803855082,0.000497529968831513
"T+20",0.00223242910377067,0.000950484404128752,0.000832716010706835,0.00118834063365917,0.000305352979707769,0.00194458601536528,0.000558460134464315,0.000570250154230032,0.000247390597371124,0.00120238064678795,-9.59102446418261e-05,0.000866901041864988,0.00047526054258602,0.00017777104353932,0.00180397773533016,-0.000677369868047664,0.000548793174048462,0.000256174483802897,0.000785404854408735,-1.99070082498923e-05,0.000119133532082387,0.00114400672379321,0.000284175568096738,0.000591201530954474,0.000129323916640709,0.000745352208292728,0.000924365821455175,0.000907507539841435,0.00132223367601481,0.000497535523353856
"T+21",0.00221796212790708,0.000950146753106743,0.000832715964514648,0.00118861174630244,0.000305352792697002,0.00194458600346447,0.000562922888985761,0.000570250144030569,0.000258277316195231,0.0012023874762623,-0.000101923821544501,0.000866933947695395,0.00047523450858725,0.00017777105061988,0.00120792376931643,-0.000653779604432721,0.00054874498170631,-0.000153771315434456,0.000871655672530243,-1.99070413941139e-05,0.000119133544972988,0.00114400672379321,0.000284175568096738,0.00059136146861358,0.000134450850856324,0.000745352208292728,0.000925183447265241,0.000907507627807959,-0.000469005413674261,0.000497538592834734
"T+22",0.00220426077989912,0.000950376258019036,0.000832715983260142,0.00118883724324955,0.000305352706512785,0.00194458599922212,0.000566433267330979,0.000570250140193807,0.000268333070246059,0.00120239159659815,-0.000107404670583367,0.000866954795915845,0.000475252755159536,0.000177771053446152,0.00178323520945988,-0.000631370557342794,0.000548772843680629,0.000206565210276275,0.00079705581141352,-1.99070545676828e-05,0.000119133550251499,0.00114400672379321,0.000284175568096739,0.000591471344756374,0.0001391298924476,0.000745352208292728,0.000924583225804567,0.000907507667038817,0.00131728698446324,0.000497540289058511
"T+23",0.00219128454084231,0.000950220261142577,0.000832715975652935,0.0011890247995086,0.000305352666794648,0.00194458599770982,0.000569194511774822,0.000570250138750522,0.00027762128565462,0.00120239408246553,-0.000112399984798685,0.00086696800476943,0.000475239966597812,0.000177771054574286,0.0012279444605811,-0.000610083580661427,0.000548756735527792,-0.000110165469737604,0.000861578553340377,-1.9907059803676e-05,0.000119133552412971,0.00114400672379321,0.000284175568096739,0.000591546828959549,0.000143400169633175,0.000745352208292728,0.000925023850106563,0.000907507684534793,-0.000464072382921776,0.000497541226407598
"T+24",0.00217899503619197,0.000950326293842365,0.000832715978740055,0.00118918079873947,0.000305352648490479,0.00194458599717072,0.000571366491581226,0.000570250138207597,0.00028620054734298,0.00120239558223081,-0.00011695277651632,0.000866976373532292,0.000475248929777767,0.000177771055024591,0.0017639112331408,-0.000589862489848657,0.000548766048313198,0.000168236292238053,0.000805771690385956,-1.99070618847844e-05,0.000119133553298062,0.00114400672379321,0.000284175568096739,0.000591598686121477,0.000147297392362642,0.000745352208292728,0.000924700386538147,0.000907507692337559,0.00131236757678413,0.00049754174439545
"T+25",0.00216735592227851,0.000950254222313245,0.000832715977487255,0.00118931055052783,0.000305352640054974,0.00194458599697855,0.000573074959040508,0.000570250138003364,0.00029412496854552,0.00120239648706423,-0.000121102247706863,0.000866981675748066,0.000475242647711289,0.000177771055204334,0.00124659596745686,-0.000570653913648345,0.00054876066420908,-7.64748960426475e-05,0.000854040035155681,-1.99070627119459e-05,0.000119133553660493,0.00114400672379321,0.000284175568096739,0.000591634311658082,0.000150854150938967,0.000745352208292728,0.000924937842074799,0.000907507695817396,-0.000459166560694515,0.000497542030640371
"T+26",0.00215633277882847,0.000950303210081359,0.00083271597799566,0.00118941847110212,0.000305352636167457,0.00194458599691004,0.000574418830217771,0.000570250137926536,0.000301444532125269,0.00120239703296533,-0.00012488412753555,0.000866985035084753,0.000475247050653039,0.000177771055276081,0.00174590879394339,-0.000552407153220853,0.000548763776981026,0.000138622757236532,0.000812291888360333,-1.99070630407112e-05,0.000119133553808904,0.00114400672379321,0.000284175568096739,0.000591658786172521,0.000154100188553036,0.000745352208292728,0.000924763525281836,0.000907507697369316,0.00130747530249109,0.000497542188821985
"T+27",0.00214589300717372,0.000950269912585745,0.000832715977789341,0.00118950823364413,0.000305352634375889,0.00194458599688562,0.000575475911949861,0.000570250137897636,0.000308205405838144,0.00120239736231658,-0.000128330980009483,0.0008669871634672,0.000475243964742356,0.000177771055304719,0.00126397192636545,-0.000535074048329253,0.00054876197735959,-5.04450200533996e-05,0.000848400600377719,-1.99070631713829e-05,0.000119133553869676,0.00114400672379321,0.000284175568096739,0.000591675600006475,0.000157062650009401,0.000745352208292728,0.000924891491741315,0.000907507698061434,-0.000454287796921681,0.000497542276234621
"T+28",0.00213600573384762,0.000950292545239912,0.000832715977873069,0.00118958289330937,0.000305352633550241,0.00194458599687692,0.00057630740666991,0.000570250137886765,0.000314450233533595,0.00120239756101968,-0.000131472484371133,0.000866988511951219,0.000475246127579223,0.00017777105531615,0.00172913751396948,-0.000518608850225894,0.000548763017794729,0.000115742866538551,0.000817169535440968,-1.99070632233199e-05,0.000119133553894561,0.00114400672379321,0.000284175568096739,0.000591687151002224,0.000159766308723152,0.000745352208292728,0.000924797551195065,0.0009075076983701,0.00130261001192777,0.000497542324539659
"T+29",0.00212664171928315,0.000950277161589424,0.000832715977839091,0.00118964499121222,0.00030535263316974,0.00194458599687381,0.000576961455877725,0.000570250137882675,0.000320218404128413,0.00120239768090058,-0.000134335690652487,0.000866989366313251,0.000475244611701483,0.000177771055320713,0.00128015957007726,-0.00050296810090381,0.0005487624162764,-3.03339216152913e-05,0.000844181836976784,-1.99070632439629e-05,0.000119133553904751,0.00114400672379321,0.000284175568096739,0.000591695086461987,0.000162233773886198,0.000745352208292728,0.000924866513220471,0.000907507698507758,-0.000449435942360208,0.000497542351233475
"T+30",0.00211777327134287,0.000950287618016699,0.00083271597785288,0.00118969664091526,0.000305352632994386,0.00194458599687271,0.000577475927414259,0.000570250137881137,0.000325546300050209,0.00120239775322672,-0.000136945252590284,0.000866989907613311,0.00047524567414191,0.000177771055322534,0.00171351319612684,-0.000488110518394292,0.000548762764038876,9.80654971085047e-05,0.000820818418670698,-1.99070632521677e-05,0.000119133553908924,0.00114400672379321,0.000284175568096739,0.000591700538071789,0.000164485679535338,0.000745352208292728,0.000924815887999116,0.00090750769856915,0.00129777155626324,0.000497542365984726
